[00:00.090] 李露过来办手续。
[00:02.230] 正常过来这能不能给我姐姐给他会吗？干啥自己我这掉地下摔了一下。
[00:09.510] 摔开了。
[00:10.630] 了安进去。
[00:15.740] 你把他们都不快乐。
[00:17.390] 我没有炉灶，售后车间找去，
[00:20.140] 你售后车间有这小楼行还按就行，他是你整个接下来把前面远场上在售后有着小娄子到。
[00:27.310] 你给我。
[00:31.880] 没法行，我问一下。
[00:45.950] 等会儿。
[00:48.320] 说
[01:01.270] 作为
[01:03.280] 换人了，在车上不显。
[01:07.490] 明白。
[01:08.460] 咱这有这个能给你手机控这俩螺丝拧来的小螺丝吗？
[01:12.630] 逗你呢。
[01:15.780] 那有吗？
[01:18.030] 咱马姐你怎么试试？
[01:20.600] 出来了给修仪表。
[01:32.010] 的
[01:33.900] 坏。
[01:45.670] 马姐。
[02:19.320] 马姐。
[02:20.510] 收益表小改锥在哪感觉我真不知道您那手机。
[02:25.670] 你查一下我呆不住不要给卖了，你我不知道。
[02:29.760] 为什么？
[02:30.970] 而且
[02:32.340] 手机摔了他
[02:35.880] 我怎么就这些
[02:40.450] 还得上面不是吧，上面什么凉的东西，
[02:44.330] 里边发展了不用人家。
[02:48.800] 小吗？
[02:51.910] 你修哪？
[02:57.710] 还有钱。
[02:59.510] 您那钱
[03:02.450] 这不行，这笔投资都大。
[03:05.460] 这边
[03:07.410] 出来了，这是开了光了是吧？
[03:10.240] 这打有吗？还有比这更小的吗？
[03:12.890] 大哥你这有点难为人，
[03:16.640] 所以要拿这钱。
[03:19.190] 我真不知道他搁哪呢。
[03:21.010] 应该
[03:22.750] 还是充实点，不是。
[03:48.040] 你们班还叫郑超，我这到这儿来三就纯属混蛋了。
[03:52.940] 真不知道，你等晚点回去下午再说，满减去了，吃饭，哥哥中午吃饭，
[03:59.380] 他这里头都是啥？
[04:01.820] 这里说小公寓应该不在这块。
[04:06.390] 你等会再说你那么着急吗？
[04:08.060] 吗？你没法使你找找。
[04:12.700] 摔了就一掉地下自己就蹦出来了。
[04:16.610] 你看着屏幕现在是弯着的擦，
[04:20.250] 一会再崩折了我就
[04:23.730] 贵了，你在哪开的光明正大？
[04:26.070] 太过。
[04:27.670] 泰国这太过一师傅，然后给我写的，然后它输送给
[04:33.710] 这手机壳，壳里还写。
[04:36.490] 壳上还写吗？
[04:39.830] 壳和前面都写着
[04:43.890] 专门去淘宝就问他和叫什么寺，
[04:49.860] 叫什么来的，专门的
[04:52.010] 知道。
[04:53.760] 我估计妈这一块说我不知道。
[04:59.030] 我不受他考虑。
[05:00.790] 小家伙都不一样，是有是吧？
[05:04.320] 好像是。
[05:05.870] 我记得
[05:06.840] 比小一点的好像
[05:08.730] 也就这样。
[05:14.910] 这就是单据什么单据文件。
[05:17.970] 这底下不没有工具。
[05:21.340] 这不是吧？
[05:24.840] 简单的
[05:35.760] 是这个吗？
[05:36.860] 那就应该了，三
[05:43.600] 今天在
[05:44.630] 这太牛逼了。
[05:56.240] 我大哥还旁边滚了。
[05:58.220] 很快好这边。
[06:00.450] A
[06:01.120] 上班了。
[06:04.980] 什么车？
[06:10.060] 我得给你问问。
[06:18.000] 谁知。
[06:26.080] 行。
[06:26.920] 好了。
[06:29.310] 好好勒。
[06:34.040] 快乐这也就这么小了。
[06:36.770] 我还有一个是我拿着回来，
[06:42.560] 你这可别掉了，掉了找不着。
[06:48.810] 这么小。
[06:54.250] 你这是挺广不是吧？是。
[06:57.700] 这壳子吗？
[07:06.310] 怎么着多去。
[07:07.900] 你紧张了。
[07:15.580] 这没有效果了。
[07:17.680] 你再拆开您装上你。
[07:35.560] 要想
[07:36.940] 这怎么说来着？
[07:39.200] 必先要想立其事，必先利其器，要想子宫。
[07:42.900] 我说要练此功，对。
[07:44.950] 对不对？
[07:46.360] 等他们这颗心去。
[07:50.630] 咱这又学一章，那以后手机坏了着火，
[07:54.400] 没有什么地方说的不对，你要不要先关个机？
[07:58.680] 这啥玩意儿？
[08:00.420] 这就是俩啥玩意了。
[08:02.750] 都要到这里。
[08:18.320] 都搁这儿。
[08:21.810] 这么点小螺蛳，
[08:25.810] 我得带个放大镜干活，
[08:36.560] 三眼的。
[08:38.810] 这个是吗？
[08:57.590] 我们的工具还可以，
[08:59.950] 是不是？对。
[09:02.480] 还真是可以。
[09:09.050] 这还俩从哪来了？
[09:11.120] 这不正找着了吗？
[09:13.750] 看上了。
[09:16.480] 操都给哥出坑来。
[09:18.680] 还能吃吗？
[09:43.050] 只有马姐这能救我。
[09:47.720] 好吧，这个吧。
[09:48.960] 这么大概给我想。
[09:54.410] 说着用。
[10:00.650] 相哪呢？
[10:03.790] 吗。
[10:04.480] 我觉得是
[10:07.520] 就完了我走了，这全拿这事。
[10:12.250] 还着啥？
[10:13.430] 过来。
[10:14.500] 你要不你万一那一盒都拿来，
[10:24.370] 上回修手机。
[10:26.560] 稍微修的哥们给你装螺丝，
[10:33.130] 俩螺丝找不着地儿了。
[10:35.680] 你看一个这儿的
[10:39.530] 已经到账了。
[10:42.420] 可能
[10:44.120] 了
[10:53.510] 听懂。
[10:54.940] 是吧？对。
[10:57.760] 你别用这套东西还真好使。
[11:00.280] 好多人都用了，
[11:01.680] 他干啥的主要市场
[11:08.440] 手指、
[11:10.300] 紧张，
[11:13.210] 我说。
[11:19.610] 把退休我到了我刚好了。
[11:21.600] 谢谢麻烦了兄弟，这工具全
[11:25.010] 我也没
[11:27.160] 要。
[11:52.480] 调哪去了？
[11:54.150] 了
[11:57.560] 到了没有？
[12:00.290] 历来好像
[12:06.360] 管教丈夫。
[12:29.430] 我操了勒。
[12:32.040] 真够坑的。
[13:03.730] 妈见着我都没空调。
[13:05.970] 我没有我这还严重。
[13:08.300] 不行我这都出了。
[13:09.880] 我着急，
[13:10.750] 对吧？
[13:11.560] 你穿过。
[13:23.980] 可以。
[13:24.720] 自己修手机。
[13:26.000] 什么自己就是手机坏了，撒在哪的？
[13:34.590] 你知道哪坏了？
[13:36.250] 我就知道有螺丝口没螺丝就不对。
[13:40.250] 修过。
[13:42.690] 谁知
[13:49.330] 没有了。
[13:52.000] 操这孙子有多少个螺丝都没给我装。
[14:35.990] 你时常吃什么？
[14:41.710] 你这边面条
[15:26.810] 知道这些逻辑都到哪。
[15:45.570] 招商先讲的。
[15:50.480] 你等会儿我手机坏了一会给你打过去。
[15:59.160] 了，看看。
[16:34.260] 哥你啥时候来？
[16:39.740] 6点多才能来是吧？
[16:45.680] 行行，反正我在店里等着您吗？
[16:48.230] 我必须得等您。
[16:55.450] 好。
[17:00.010] 行好我送您。
[17:02.900] 您来咱们再见面再聊，好了。
[17:09.530] 我操咱这没有这三秒这样。
[20:20.760] 完了。
[21:28.400] 月
[24:10.380] 这可坏。
[24:21.280] 了
[24:28.570] 标的。
[24:34.990] 这老伴儿
[24:39.630] 整个供应商找的希望。
[24:41.780] 进行
[24:42.710] 哪有西这边？
[24:44.250] 他们都商量。
[24:45.430] 找代理办稍等。
[24:48.830] 这样的实际上
[24:50.760] 这个能。
[24:56.090] 现在这个东西
[24:59.390] 不用了。
[25:00.640] 不用。
[25:02.790] 不用了。
[25:04.410] 我一会找一个修手机的，
[25:06.600] 过来让他。
[25:08.510] 让他弄。
[25:10.210] 这边有个小小一点。
[25:14.050] 不仅。
[25:20.790] 没听见掉是吧？
