[00:00.130] 2020年7月15号，
[00:03.290] 技术雄厚做出录音。
[00:06.560] 二
[00:10.660] 场。
[00:21.020] 场
[00:25.650] 场。
[00:31.670] 坏
[00:32.800] 的。
[00:39.870] 对。
[00:40.640] 好。
[00:42.240] 过去。
[00:47.770] 行。
[00:49.310] 行行，你就是老师，然后你说小时候你
[00:53.970] 就小范围再没有
[00:55.650] 咱们
[00:56.700] 好吧？好好谢谢，辛苦完了不行，他没时间你就把嫂子带上。
[01:07.850] 好好再见。
[01:11.550] 谢谢。
[01:15.700] 不好意思，让您久等了，今天车太多了。
[01:19.970] 多做介绍先生，交车专员田震给您办理咱这车交车手续，大概流程咱讲一下车辆一个基本操作，
[01:27.390] 然后开通一个智能互联，还有一个客服的面访，然后多问了一下之前有开过奔驰车吗？您
[01:33.820] 之前咱开的哪款？
[01:35.540] 开过300也开过，450S450也行，咱先从外观开始给您讲，咱们钥匙开锁锁车直接按就行了。
[01:44.750] 然后后备箱也一样看一下打开了，
[01:47.670] 然后我把
[01:49.320] 这里边一个随车工具包，
[01:52.030] 这个倒卡我已经给您装进去乐，
[01:54.410] 什么导航打卡，然后急救包里边纱布剪刀应急用的反光背心，所有的使用说明书，还有一个保险信息手册，
[02:02.590] 车是一年或者1万，咱们哪个先到哪个保养，首保也是一样的，这两个数据线可以用充电。
[02:08.910] 一个
[02:09.940] 不是还有一个安卓一个苹果，但是这安卓不是现在pet C的普通的安卓。
[02:16.570] 没有，华为的没有，然后这是咱们分享一下。
[02:25.100] 没有备胎，这车没有备胎，你这车是什么？全系叫浦东开发区。
[02:31.190] 娜娜扎丁。
[02:32.560] 了怎么办？只能叫救援或者补，直接他查定了不可能一下就没气了。
[02:36.620] 您就直接。
[02:37.670] 如果说您哪个他。
[02:38.710] 问题，它会在屏幕上显示提醒你们，你得赶紧去补胎去，这太没有，现在奔驰全系都没有，
[02:44.510] 所有的武器都没有所有的。
[02:47.490] 误车都没有，迈巴赫都没有。
[02:52.310] 要这个干嘛？
[02:53.590] 这倒是也能搞点东西。
[02:59.280] 您做主驾驶，我给您讲一下手工
[03:03.640] 来。
[03:08.110] 他第二个没拿来。
[03:09.740] 我待会给你讲完车我就去给您装去，我把我。
[03:13.980] 幸福就我师傅给的金刚结运河风的，
[03:17.730] 我们8周的。
[03:20.490] 昌列寺的主持和用户的支持，还有
[03:25.520] 行好了。
[03:26.940] 拜拜没事您先弄。
[04:09.840] 羞涩是
[04:11.160] 红色，因为金刚
[04:14.510] 大数据
[04:16.050] 的。
[04:47.330] 好了，您启动要出来。
[04:51.680] 注意调节的。
[04:57.460] 其实个子比较高，
[05:09.280] 这个口径不是自动挡，头枕不是自动的，对。
[05:12.960] 头枕还是手动调节。
[05:17.330] 好好了，然后车里边的这些操作跟原来开车都是一样，这些都是一样的。
[05:24.480] 然后大灯是自动的，手刹也是自动的，然后雨刷器还是在这去调节，对，然后
[05:31.780] 这是换挡拨片，你要调整手动模式之后，左边是减挡右边加的。
[05:36.820] 手动模式对左边减右加，
[05:41.580] 然后停车，
[05:44.070] 走之前再前进，再倒车就行了。
[05:47.200] 然后这事情OK，
[05:50.610] 然后自动车的时候我上那边我跟你讲。
[06:07.490] 我真是。
[06:09.000] 无线充电的无线充电可以充可以。
[06:13.980] 自动泊车的话您。
[06:16.020] 按一下他不就弹出对话框来了吗？
[06:19.120] 您以30迈时速您往前走，如果有适合这车停的停车位的话，
[06:24.150] 这就现出一个停车位。
[06:25.980] 我估计您测出来。
[06:27.630] 试一下。
[06:28.350] 简单试一下，可以没问题他。
[06:31.540] 荡是什么？
[06:33.690] 这个是自动的，对。
[06:36.670] 不错，理由刚才因为您
