[00:00.000] 020年7月16号
[00:02.600] 数据
[00:14.790] 马总
[00:17.920] 的
[00:22.050] 坏
[00:25.760] 数据
[00:29.780] 远。
[00:30.960] 节目
[00:33.160] 说
[00:58.400] 花
[01:26.390] 的
[01:30.640] 谁知
[01:35.360] 文章。
[01:41.850] 原件的专业高效的。
[01:46.420] 也输的化学文章的
[01:51.230] 大的伤害。
[01:56.520] 为
[02:00.440] 我就在车边上了。
[02:02.480] 车钥匙在客户这。
[02:05.150] 好了。
[02:07.080] 好勒。
[02:09.520] 我放在地上。
[02:11.400] 要不然我自己要不过一会自己花钱不行没事了。
[03:35.720] 您好。
[03:36.580] 做个自我介绍，就说专人凭证给您办理咱这车接车手续，大概流程给您讲一下车辆一个什么功能。
[03:43.050] 开通一个车上的互联系统，
[03:45.490] 还有一个客服的面。
[03:47.450] 然后问一下咱之前有开过奔驰车吗？您？
[03:50.140] 没开过是吧？之前咱开什么品牌？
[03:54.210] 开的是SUV的车，来您把药我给您讲，从外观开始给您讲钥匙，一共两把开走都会给您。
[04:02.440] 咱们车开搜索车直接按就行了。
[04:05.420] 然后后备箱跟您说一下里边的东西。
[04:17.350] 咱们车保险金手册着车是一年或者1万，先到保养首保也是一样的，
[04:23.230] 里边还有咱们所有的使用说明书。
[04:24.840] 呜呜反光背心，还有一个急救包。
[04:27.320] 要三种价在。
[04:28.810] 然后咱们的电脑也是
[04:31.560] 然后油箱盖在车里边没有单独的案件，咱们解锁的情况下按一下您放车里
[04:48.800] 解锁行下咱们按一下直接弹开了车朝九五油就可以了。
[04:52.800] 叫您坐主驾驶，我给您讲一下使用。
[04:59.530] 来。
[05:04.520] 您踩啥时候启动？
[05:09.450] 可以吗？
[05:11.610] 再高一点是吧？
[05:14.660] 可以吗？
[05:19.110] 把刹车按一下，启动键咱们启动一下，
[05:23.800] 从座椅开始给您讲，所以在这边去调整。
[05:28.470] 然后高
[05:29.630] 努力是靠背的，
[05:31.010] 然后还有一个土诊，还有一个腿部支撑的，
[05:34.080] 座椅在记忆座椅、方向盘、反光镜咱们三方位都调节好了之后，按一下M.1它就锁定了。
[05:40.980] 别人在开您的车之后，您按住锁定位置就变回来了。
[05:45.100] 您先接电话
[05:47.560] 号。
[06:02.630] 行放过。
[06:04.360] 不是保险。
[06:07.230] 然后再接着您讲话，然后所以在加热一下就可以了。
[06:12.080] 然后自个门的开缩水，说出共体就在这样子。
[06:15.870] 然后反光镜的折叠锁车的时候咱们会自动折叠，如果说想手动的话，按这个就得叠起来，
[06:21.750] 然后重新
[06:22.820] 左边按量之后用圆角，首先左边反光镜右边按量，原有直接右边倒，
[06:27.750] 4个窗户一键升降，按量之后后边2个窗就行了，数量不了了。
[06:33.040] 然后后备箱开启这还有个颜色，也咱们都一下之后后备箱可以打开，关的话N著了，完全关好之后咱们再松手就行。
[06:41.430] 然后大灯是自动的，天黑光线不好，自己的量你也不用去管了。
[06:46.210] 大灯的下方是手刹，
[06:48.610] 不用色彩，然后手刹咱们只要挂挡手刹自动就解锁了，只要开主驾驶车门或者灭车手刹自己拉起来，咱们都不用去管他。
[06:58.890] 雨刷器在
[07:00.470] 雨刷器，咱们在这边去调整两个虚线，你能看到吧？
