[00:00.150] 这边需要一下您的驾照，还有咱们车辆行驶本，我帮您核对下信息。
[00:06.460] 谁知
[00:10.100] 身份证没事，咱们驾照也有身份证号的。
[00:13.580] 梁艳女士。
[00:21.910] 咱这电话跟您核对一下，13801387819，这是您的电话。
[00:45.480] 京N77，K3
[00:55.140] 的
[00:59.250] 句。
[01:03.540] 场
[01:05.600] 数据
[01:07.680] 数据、
[01:15.980] 的
[01:19.710] 坏。
[01:26.760] 数据。
[01:27.800] 问一下我要不要跟他说一声车送来了，他不用的时候把手续一下行了，双方事故是吗？
[01:34.610] 单方的，我看您这有一个身份证，
[01:38.980] 您不要到时候补一下就行了，完了了。
[01:41.870] 补完了是吧？来这证件先给您，我这样给您写了一个齐了就。
[01:46.810] 现在不是都不玩了。
[01:48.760] 7月11号的送修了是吧？当时？
[01:51.550] 今儿过来修来了。
[02:24.200] 您这个是哪个位置受损了，我看他没给您标的那个图上U后是吧？
[02:29.190] 最后好。
[02:31.530] OK这边相当于走了一个咱们太平洋的保险，
[02:36.680] 手一现在都齐了，
[02:40.120] 琪琪了吗？现在是现在齐了。
[03:03.450] 您去开车咱们
[03:05.750] 中间您先说好。
[03:08.280] 我车上的贵重物品一会您再看一下，有没有需要收拾一下，要对可以让您给。
[03:15.530] 好勒。
[03:17.760] 谁知
[03:20.320] 好，我们之间我可以把单子交给车间，但车间它也是一个排队的来的，咱们反贪这边都是
[03:28.570] 我没事了。
[03:53.170] 白色的这辆。
[04:01.050] 这坑比较深，撞得。
[04:03.420] 对，这是什么状态？这肯定是车撞的。
[04:07.080] 车应该是一看到车撞的。
[04:11.400] 这个的话我们还得给您查看里边。
[04:14.300] 里边还要看，对这里边因为这边有一个传感器模块，还有一个支架都在这里边。
[04:20.590] 到时候拆给您看一眼，
[04:22.600] 开盘之后我这边会让公司给您先去定损，
[04:27.170] 定完损师之后我们就可以动工维修了，他还有一个定损环节来走，我就
[04:32.280] 这样不是
[04:34.650] 要帮您拆开里边，
[04:38.440] 但是后边比前边要好，因为后边的话他没有那么多的电子评价，
[04:43.560] 包括它的钣金件也比较少一点。
[04:50.600] 您这点您的东西吗？
[04:53.950] 行，您收拾一下。
[05:25.290] 咱们现在是31,521公里，
[05:28.890] 由不到1/2了。
[05:55.810] 钢圈上有一些刮蹭，到时候您还是靠边停车，注意一下就行。
[06:01.790] 这车前后都砍了。
[06:04.950] 上班去
[06:06.200] 的上班鞋子不太多。
[06:12.950] 您再看看其他位置。
[06:14.960] 又钱咱这边有点
[06:18.120] 都在
[06:19.120] 这个就下次再修了。
[06:20.990] 现在交了不行。
[06:22.970] 您这正常开关暂时不用，钢圈还真得注意点，我看钢琴都磨了。
[06:41.970] 兜里边这边帮您登记I窗户帮你摇上去了，看着后边还开着。
[06:47.350] 来。
[06:48.470] 这边修了。
[06:50.010] 要是里边没有事的话，差不多三四天就能给您撤了。
[06:54.030] 要是里边要有还得订配件的话，可能时间会长一点。
[06:57.550] 因为明天后天的话他没法订货，周末不接受订单，咱们。
[07:02.060] 对，那车交了张开。
[07:04.590] 我开动了，你看你分配没开通。
[07:09.230] 但是我昨天我那听那说，没有中不可能我的系统里都有，
[07:16.150] 我都分配了。
[07:17.690] 这都超了多少了？
[07:19.460] 京NW0020
[07:22.810] 用不得着太阳，你再看一下。
[07:25.050] 他没有什么了。
[07:35.760] 您要是前杠也想到时候维修的话，建议您到时候搞一个道路车险，我看您没有那个险种
[07:42.590] 的。
[07:43.660] 修一次车的话，
[07:45.340] 把您2500块钱是打到您的银行卡里边，一年有两次机会就是修身了。
