[00:00.000] 好谢谢202011年7月17号将向客户贡献高兴，原因先生贵姓？
[00:05.430] 姓张张先生是吧？我姓郭郭靖负责咱们这个车功能介绍。
[00:10.420] 来咱们去搁那。
[00:22.930] 前面张孝给您订车出不能打票保险，我让他负责工程的讲解，
[00:27.620] 的时间咱们差不多40分钟。
[00:29.720] 之前有开过奔驰车辆吗？
[00:33.760] 没看过没开过是吧？
[00:36.720] 看一下您这台车调C260。
[00:39.290] 白车
[00:42.860] 漆黑是。
[00:44.320] 车加号您再核对一下，在
[00:46.900] 554619进行清理出口，反正都是完全对应的。
[00:51.130] 投入没问题。
[00:53.010] 这上不会有，背上发票上不会有。
[00:56.050] 对。
[00:56.840] 第一次签的合同。
[01:09.230] 那是没问题，您就坐副驾咱们讲一下。
[01:13.320] 这车上有一个密互联的功能，我待会给您实名认证激活对应咱们
[01:22.990] 首先咱们这车无钥匙启动是标配，
[01:25.790] 启动的前提要是在车内踩住刹车，按一下启动键。
[01:29.780] 就可以了。
[01:32.940] 座椅的调节都是在门是横着大牛，包括座椅的前后和高低，
[01:38.960] 中间这个是靠胃前后。
[01:41.890] 对头枕式手动的没有用，
[01:44.940] 前排的话座椅都是有加热的，冬天您用的会非常多，手动的减档跟B都可以。
[01:51.770] 对这是加热世间倒
[01:55.050] 三档状态，根据需求去调整，这是副驾调节，点亮以后我在工作也是您的位置，方便司机帮助诱惑小宝贝。
[02:04.280] 胶着。
[02:05.780] 谁？
[02:07.050] 我排一下吗？我交上谁娇俏的刚开。
[02:13.640] 半个多小时。
[02:15.680] 拜拜。
[02:18.370] 云鹏你有别的项目能挪吗？
[02:21.330] 我就是说你这个项目，
[02:23.570] 我先可以给李萍，现在深圳和延庆他们开会，
[02:27.310] 第一是她不是最快的，第二的话是说
[02:30.200] 你这么给了，如果
[02:31.940] 他不给，
[02:32.930] 因为他一定不会说是因为你已经报了价了，所以这家
[02:37.520] 小给我I7
[02:39.390] 5130价格已经过了年限了，我给的钱是我的底线。
[02:44.360] 你合计一下，
[02:48.090] 4门的锁匙开锁中控是一致的，
[02:50.920] 上面按键按一下镜子，社会洗车机错车手动去调整，
[02:56.660] 恩量左侧调节左边境的视角，根据习惯上下左右4个箭头对应位置，
[03:02.230] 横梁右侧条街右边
[03:03.920] 4门玻璃一键升窗控制，下边按键点亮以后，后排的乘客玻璃是锁止状态，
[03:10.570] 后备箱在这好好的，我问你就是锁车之后后排自己能开个门吗？
[03:16.460] 能对，如果所投他自己手头拉起来的话，但是咱们后排都摇头走，待会下车告诉您位置。
[03:23.190] 后备箱在这往后带一下，是开启往前长20关闭，因为咱们是电尾不能下车，
[03:29.830] 直接按住就行了。
[03:32.230] 就关。
[03:33.940] 一直按住对长六关闭。
[03:37.170] 大灯的位置，左手圆圈区域，小竖线指向又T又自动挡，光线只要不够大灯自动开，进隧道下地库爆满咖啡不做操作，
[03:46.300] 基本就搁在那儿不动了，走侧雾灯雨血天按一下开的同时，
[03:51.030] 橙色小洞的提示你，
[03:52.880] 右侧旋钮上下传，仪表盘的亮度调整，手刹，最下面金属件电子手刹，
[03:59.440] 这个是成商标。
[04:01.420] 平常不控制为什么？挂档的状态，对，这是手刹标志，挂档给油它就自动解除了。
[04:09.070] 停车在您归为P档以后，
[04:11.600] 灭车或是主家开门它自动就上了，所以平常不做操作，
