[00:00.000] 对，咱那单子就换了一丢，就这笔单子用完了就按那存了。
[00:04.920] 其他就开始跟你说哪些问题。
[00:07.960] 别的没事。
[00:12.510] 出门
[00:13.940] 这是车要
[00:15.780] 露出门，然后再拿车咱就OK。
[00:23.010] 出门。
[00:26.550] 京N 99 F 6。
[00:33.170] 有了好好OK，
[00:37.870] 其他就一年1万读张一次保养就行了。
[00:41.000] 咱去拿出来就直接走了。
[00:43.400] 谢谢，从这边。
[00:49.180] 坐在这边，你这网站刚洗完，这边什么没事咱就没事了，就直接能开走了。
[00:59.600] 他今天说的就是搭配尤对刹车油、刹车盘、
[01:05.210] 电路、箱油、
[01:07.530] 防冻液、火花塞，
[01:10.320] 就是遛弯。
[01:13.120] 没有记录我这些不知道放过，他没有在对吧？
[01:19.060] 汽车。
[01:29.360] 你上次这个是用什么
[01:31.760] 送的？
[01:33.430] 上毛钱给的吗？还是自己花钱买，忘了买东西了。
[01:38.920] 要么自己存，要不就上风险，有可能有活动
[01:42.990] 用
[02:04.950] 来找一下就OK了。
[02:07.330] 好玩都没用，没事。
[02:13.840] 他出门那就是冲开自动的，我告诉你天天弄完了。
[02:17.050] 完了对。
[02:18.260] 直接走也行。
[02:20.150] 好的行，您都不行，好勒慢点。
[02:25.450] 这边没事。
[03:40.690] 对，我建了一个大跌大桥，一4百
[03:44.910] 10万公里就做鸡腿，
[03:47.700] 还存在
[03:49.880] 历史就什么都没放过。
[03:51.620] 后来高田走了，我跟他借了俩是吧？
[03:54.980] 刚接了一个让前面是一样的，
[03:57.800] 刚接了一个6万，让人家刚做完大保的，
[04:01.860] 我就做个小保养，换两轮胎原则了，
[04:08.950] 还弄还没准能够20个。
[04:11.390] 为什么你们多少？
[04:13.050] 放弃？
[04:15.170] 我们这儿时我刚这几天天天都有俩4个的，
[04:19.840] 我估计有个10来个乐呵，就今天
[04:23.670] 我再弄看看。
[04:49.990] 每次赔偿
[04:50.960] 两人，今年可以赔偿你两次，这个钱不是很现金，是培训费，不是叫信心打银行卡也
[04:59.670] 您给留。
[05:00.230] 卡号它到时候往卡里给你打钱，你就要。
[05:03.590] 然后到时候15天以后您正常过来，你说我要修一下，比如说好比说咱前保险杠那块掉漆了，
[05:10.700] 我喷一下前杠的攻击，
[05:12.630] 你正常定损出险，然后修完车他就给你往里打钱，给她留张卡就行了。
[05:18.620] 谁知
[05:20.450] 保险什么区别？
[05:22.030] 他也特别因为您正常出了保险对吧？除了保险，那么保险公司肯定会在明年的续险的时候给您找钱。
[05:31.650] 但是这个就相当于把这个钱给了您一部分。
[05:35.450] 然后其实咱们说白了，
[05:37.390] 它长这个钱咱出了，但是咱就和最后咱把车修了。
[05:42.700] 了确对，因为之前没有这个东西，如果说咱想修的情况下，咱出了保险那不就。
[05:48.130] 等于那钱咱都掏了，等于这样里外里头能给咱找一笔，能。
[05:54.310] 明白这事儿，因为他们毕竟给的是您现金，并不是说给您一个什么维修基金，让您以后来保养什么。
[06:00.830] 它是人民币2500块钱，
[06:03.440] 我说了几年了，但是宝贝算了没有增加，不是逐渐，但是增加以后他给了您的钱，您可以就相当于对吧？相当于你给我涨了1000，你萌你给我涨800，你给了我一天，我在我等于我
[06:17.290] 你没亏那么多了，
[06:18.800] 或者说你给我涨1000，你给我1000，你不好意把车修好，我还是没多出这钱，
[06:24.070] 是这意思。
[06:26.650] 但是需要等待一个15天以后才可以帮我修修。
[06:30.480] 所以说越早超越合适。
[06:38.620] 看看先报名是吧，将会变成去。
[06:47.140] 主要指标就明天。
[06:49.760] 明天。
[06:51.370] 行。
[06:52.980] 行了，零后说一下。
[06:56.190] 明天大概中午。
[06:59.230] 差不多。
[07:00.510] 谢谢。
[07:02.930] 大概明天中午过去吃饭去，明天。
[07:09.820] 最快差不多完活应该明天中午公交车就打电话告诉你打电话。
[07:17.170] 到时您等我电话在过街。
[07:19.400] 对，不用着急。
[07:21.350] 你打车费用能采购之前已经拿出租车的发票过来，可以报30块钱。
[07:27.770] 对，还是跟他一样，就到时候您拿到了30
[07:33.910] 一。
[07:35.480] 最多就30。
[07:37.500] 你就甭管往返多少钱，他因为公司就给我报30块钱，
[07:42.270] 所以我也没办法核实，他可能给您爆破3万块钱。
[07:46.640] 我这边现在给您列一个报价单，
[07:50.860] 然后餐卷的话您现在可以先拿手机操作，
[07:54.550] 还有一个就是开始上马，
[07:57.680] 刚才看您的需要您这边先是微信搜索一个叫做百折。
