[00:04.780] 好，你不要了。
[00:06.350] 咱们在哪？
[00:21.570] 今日上午8
[00:26.470] 高院了，对高兴高先生。
[00:28.920] 感觉您的销售故事工作好好。
[00:32.160] 第一次到我们这边
[00:34.040] 应该是一把拿走。
[00:35.700] 之前没电话约过没有，第一次来看。
[00:40.810] 喝点什么吗？有茶咖啡可乐水地什么的差不多，看看13码不知道吗？
[00:46.680] 什么他们预计车队一三百一三点F在
[00:50.880] 书香肯定价格楼上
[00:54.770] 有咱们的车，
[00:56.370] 我要咱价格的话，咱们做这行下班
[00:59.360] 召开。
[01:02.640] 赶紧
[01:05.930] 茶水、
[01:07.770] 瓶装水、
[01:09.160] 梁朝伟。
[01:10.650] 可以茶水，糖果他的什么？
[01:16.960] 你看
[01:20.000] 工作
[01:20.770] 说
[01:23.490] 就完了。
[01:31.570] 然后奔驰这边有一个服务公约，简单的先跟您说一下，
[01:36.490] 咱们所有的价格都是明码标价，公开透明，然后配件渠道清晰公式，
[01:42.530] 绝不捆绑销售强制消费，然后绝不使用假假以次冲好，然后下边个服务监督电话4008186188，
[01:52.610] 然后如果您要考虑做分期的话，
[01:55.400] 咱们也是不梳理公共服务费，北京指标目标，北京指标是考虑工程的这块。
[02:01.730] 是什么车？您这是联想、新龙、C
[02:05.600] 44+8怎么样用年？
[02:08.830] 红枣一年还是10，我们比较早刚押犯那年，然后10年10，对，然后
[02:16.520] 账号买那车，
[02:18.170] 什么就是没摇号之前买的车是吧？就为了说也不是账号，我们正好买了以后马上就摇号了，他还挺幸运。
[02:26.870] 然后这边您看看是13版的书想对吧？然后是他能力标的还是要运动马标立标的，
[02:35.820] 绿标的话比之前的
[02:38.920] 豪华版多了，真皮座椅
[02:41.290] 跟座椅通风，
[02:42.960] 少的是多少？不少。
[02:45.800] 增派了，因为以前是492,800是指导价，现在499,800，
[02:51.310] 多了7000块钱多了，真皮座椅跟前排一对的座椅通风，
[02:55.300] 这是立交的区别。
[02:57.860] 考虑全款分期您这边
[02:59.620] 跟基友成为金融。
[03:02.080] 金融的话咱们有两种，
[03:05.010] 一种的话就是每个月本息一起还，
[03:08.410] 另外一种
[03:10.060] 每个月只还息，
[03:12.400] 尾款。
[03:15.500] 一半首付一半跟差不多，然后尾款的话是两年之后一次性还清利率，现在大概多少？8点多。
[03:25.770] 2点还1点多久？
[03:27.780] 那只还息的一点一点的，对就是尾款的西这款是吧？
[03:33.490] 其实每个月就是400多块钱。
[03:35.820] 年400万，现在是优惠活动吗？还是北京编的话用了7万。
[03:40.880] 优惠7万是吧？现金用了7万。
[03:43.350] 然后如果您置换的话，厂家额外还有补贴5。
[03:46.920] 这额外的补贴是什么意思？就是说我坐车您不是要置换吗对吧？如果您在这置换的话，除了您正常车价以外，
[03:57.180] 厂家在给切一个5000块钱的保险补贴，
[04:00.190] 额外的车价在给我评估是吧？这车价该多少钱还多少钱，如果您觉得合适您就放在这，然后额外再给您5000。
[04:07.790] 如果您觉得不合适，您自己外边处理也可以。
[04:11.680] 当然我觉得要10年的
[04:15.280] 应该影响不大，跟外边差不太多了。
[04:17.620] 51万人
[04:19.550] 已经
[04:20.440] 不知道应该不止。
[04:22.040] 不知道，因为我那车他评估是怎么评估，它是
[04:26.900] 那个车年代还有里程数占一部分，
[04:33.040] 也是占有部分，主要的是年代主要是外观，然后我不知道您那车跑多少公里了。
[04:39.760] 不到6万。
[04:40.900] 我就家用车前头放着，所以比如说然后是这样，他就车衣是第一最重要肯定的年份，对吧？
[04:50.910] 占一大束第二个公里数。
[04:54.170] 公里数，但是您就比较吃亏一点在哪？
[04:57.700] 就公里数多了他会减刑，
[05:01.520] 但故事不像那么少的，但是不会多家更加这样减的少而已，对，他就正常市场行情打到您这车，应该是车况比较好的，它策划好了这个价格，
[05:14.190] 然后吃饭一般都有一个价格，然后在不好的就一下子等于得到一上头。
[05:19.260] 车况好就挺好的，是这样的，对，他说具体评估车道会说，因为你们专门有做
[05:26.250] 做评估的，就是我们店里边有评估师，然后价格合适您在处理，觉得不行的话您再自己弄也行。
[05:33.030] 颜色这边有要求吗？黑色一般都是黑色外观的，现在有别的，现在就是说现车有什么颜色黑的，
[05:40.530] 主要都是黑的，如果其他的其它的我这库房里边我现在能看到到10月份之前
[05:47.930] 全是黑的。
[05:49.050] 对。
[05:50.660] 都有一个灰的，
[05:53.860] 有一个深灰的，
[05:56.990] 因为立标的还是黑色的好看，
[05:59.720] 然后内饰的话就是黑的棕的，
[06:04.310] 我看着
[06:05.290] 看着都行。
[06:07.850] 现在就是优惠活动罪。
[06:10.870] 最多的时候是吧？你们有没有什么不定期的做优惠？没有。
[06:15.800] 现在欠账还明码标价了，对很确定了，对，因为咱现在是日奔驰，
[06:22.370] 现在都是明码标价，然后比较公开透明的都是，然后价格像咱比如这车有个期望，
[06:28.570] 我没有附加条件，对，比如你要去过别的，可能品牌看过，你可能这车达成80都一样正确对待，
[06:38.030] 价格可能不太一样的，比如说我优惠7万，可能主要就会有7万3八，但是73,000还有一附加条款，
