[00:00.000] 020年7月17号王超客户教授录音，
[00:16.030] 堵车这位先生交接，
[00:17.940] 一会等着办临牌的先生回来再签，行好好。
[00:21.360] 开密度给先生开me，明天资金您带身份证了吗？就
[00:26.840] 掀开就行了。
[00:28.660] 都翻都在这行，这都咱自己留的。
[00:31.620] 给先生都拿走了，行好了。
[00:34.680] 先生您好，多自我介绍交车专员田震给您办理咱这车的交车手续，大概流程咱讲一下车辆一个使用功能，开通一个智能互联，还有一个客服的面访，
[00:44.410] 然后多问问一下之前有开过奔驰的车吗？您？
[00:47.450] 我没开过，是我们司机开，那车是平时您主要是做是吧？对行。
[00:55.250] 我就给您讲一下后排娱乐好吧？因为司机应该开过它的功能太多，以前有个号一共来了400，功能差不多。
[01:03.560] 然后咱们后备箱跟您说一下里边的东西，
[01:07.460] 里边两个耳机都是后排娱乐的，还有咱们的遥控器也是，然后还有两个咱们的两
[01:15.130] 后边的盖上面在迈巴赫标志的，还有咱们的反光背心，飙车反光背心什么的，然后您做后排，我给您讲一下咱们一个娱乐功能好吧？
[01:24.960] 主要是您不是还是做吗是吧？
[01:28.620] 没等来。
[01:30.150] 好，谢谢您。
[01:33.970] 您做
[01:36.230] 做里边我给你讲一下。
[01:38.770] 稍等。
[01:43.900] 稍等，我把车打着。
[01:49.790] 你在。
[02:05.910] 您的车是谁？
[02:07.560] 北京还是怎么沧州关系那就自己验车对。
[02:14.270] 后排娱乐系统就是这两块屏幕，
[02:17.940] 开的话一下就行了，原来你也有
[02:21.760] 然后
[02:24.120] 操作也是一样
[02:25.960] 的。
[02:37.030] 您说一下后边这个
[02:39.060] 这有个赚的，您转到L或者R就是控制后面两个L这边是您这边。
[02:45.030] 对就可以调了高抬了。
[02:47.650] 然后如果说想看电视什么的，就是咱们可以插cd，然后在这儿呢
[02:54.030] 有哪些？
[02:55.560] 这儿
[02:58.280] 这里边
[02:59.220] 也可以查咱们的
[03:00.740] U盘或者是hd高清线插电脑也都能显示在屏幕上。
[03:05.610] 对，然后这样在无线充电，
[03:07.760] 您把手机往上一放，几个同样对专业的熟练了，
[03:12.340] 咱们接充电了就省事了，省的您那怎么了？
[03:17.410] 然后其它咱们座椅的调节了，
[03:20.110] 作为调节，
[03:21.620] 前后高高低调不了口味的。
[03:25.730] 对，然后还有一个腿部支撑的，然后座椅在通风再加热。
[03:30.990] 然后您那边还有一个一键放倒，
[03:33.980] 然后代机，
[03:35.880] 然后其他的就是
[03:39.570] 前面两个是控制咱们的张连，
[03:43.210] 然后
[03:44.700] 在下窗户就开了，还要控制什么控制后边张脸呢，
[03:49.230] 后边整联队，然后还有咱们后边的天窗，
[03:54.180] 后边的偏方的，对。
[03:59.400] 然后还有两个咱们的小镜子，
[04:05.640] 其他的部分就没有什么娱乐功能了。
[04:08.160] 其他就是司机开不通那会，我给您开通智能互联好吧，我把遥控器给您放这儿了。
[04:15.050] 上海的小宠物格
[04:17.000] 可以放点东西，但是不是冰箱，
[04:20.700] 行，咱们回屋给您开通产能。
[04:23.680] 会稍等，稍后帮您开，那边儿童锁开着。
[04:27.960] 我把车先灭一下先生。
[04:43.040] 来现场。
[04:44.230] 慢点
[04:46.310] 数据。
[05:22.230] 坏
[05:32.580] 不好意思。
