[00:00.980] 7月17号结束工作，还是350教室录音。
[00:05.380] 张张先生我姓刘，刘永全销售员接下来一直担心了解功能，还有这车都有救援服务，我给你激活再告诉你怎么用。
[00:12.720] 咱们一会还有客户面包环节大约
[00:15.800] 四五十分钟这边时间您方便吗？
[00:18.150] 等一下我给你讲讲车。
[00:20.830] 我这不用
[00:22.640] 不用赶车了是吧？功能这边您都了解，手机号您给我说一下，135。
[00:29.330] 2175135
[00:32.000] 21755855852。
[00:34.940] 那就把那个me给你签了，完了咱们签几个字
[00:37.960] 就完事了。
[00:38.810] 好好，您说那个年代的颜色是吧？
[00:42.030] 有点发红究竟。
[00:43.930] 你瞧，
[00:55.480] 8月份有一台下限的估计到半点，9月份
[00:59.520] 有一台松石绿地内七八月份是吧？8月7号都是下线，生产到咱这儿我也解决。
[01:07.960] 配额中有，但是现在现车没有，咱现在都买下了，卖萌有黑车，东北时还有石墨灰东北，
[01:17.760] 特别风味是东西。
[01:26.790] 的
[01:30.850] 那个是现货对这东西的，然后还有一个叫
[01:37.200] 默默的颜色的
[01:41.640] 照顾。
[01:43.350] 阳光照
[01:45.130] 的。
[01:48.550] 但是您这么拿着身份证拍张照片。
[01:52.880] 今天你就照顾了。
[01:54.750] 对，明天我都看过，照的不太清楚了，不行再说。
[02:05.200] 您说的吗？
[02:08.120] 没有过去。
[02:11.160] 数据
[02:25.950] 的。
[02:28.930] 我看到有三个车。
[02:33.120] 我马上短信不用给。
[02:42.160] 如果不的话，
[02:44.980] 场
[02:46.660] 数据
[03:06.910] 外面
[03:12.730] 一。
[03:13.900] 就看你们了，早上
[03:16.450] 我看你也能给你，我不能开业的话这三不同。
[03:24.480] 还是350是吧？
[03:26.320] 对。
[03:30.670] 之前还有S450我看。
[03:35.680] 到
[03:42.700] 的
[03:44.240] 场。
[03:47.240] 的。
[03:53.570] 您这个车去年12月份生产吗？
[03:56.780] 刚才外观内饰您都看了没问题，然后这账号也核对了是吧？
[04:04.440] 二
[04:14.470] 谁知。
[04:18.520] 交车单。
[04:20.410] 好吧给你吧。
[04:22.920] 哎哟我操行你发吧。
[04:25.430] 晚。
[04:26.440] 捣乱、
[04:28.650] 走
[04:31.430] 场
[04:34.780] 道路
[04:40.470] 数据。
[04:47.580] 数据
[04:50.450] 数据
[04:53.060] 的。
[04:54.010] 谢谢贷款。
[04:59.100] 南京就是三岁的孩子，
[05:02.680] 整个地区都是笼统。
[05:05.100] 对。
[05:06.910] 也就是特别的车程。
[05:10.290] 因为一个店上课，二姐去年不了是吧？
[05:18.550] 为。
[05:19.990] 什么了是吧电话。
[05:26.300] 拍完了。
[05:28.600] 能。
[05:30.580] 来。
[05:31.080] 行。
[05:32.250] 浪费一个名额
[05:34.460] 了。
[05:39.380] 数据。
[05:45.180] 数据、
[05:48.070] 4。
[05:49.760] 的。
[05:51.600] 场
[05:54.400] 数据。
[05:56.500] 场。
[05:58.840] 数据、
[06:05.600] 数据、
[06:11.630] 数据
[06:13.530] 远
[06:20.090] 的。
[06:23.890] 今天
[06:26.850] 的
[06:28.070] 数据
[06:30.050] 数据。
[06:33.370] 三
[06:35.640] 五
[06:37.470] 的
[06:42.770] 的
[06:52.110] 二
[06:55.150] 如果穿上
[06:57.740] 这句话。
[07:04.490] 问您几个问题，您对整体交车流程还满意吗？
[07:08.160] 行，讲解满意吗？
[07:12.060] 听说那是还满意吗？
[07:14.720] 行。
[07:15.680] 明天会推荐亲朋好友到店购车吗？您是重做还是鸭首次？
