[00:03.460] 今天还凉快点苍苍的冒汗。
[00:10.280] 要如果取消的话打电话就行了。
[00:14.280] 电话也行，或者您就不来，
[00:16.530] 或者您就过来了。
[00:22.850] 想取消来着。
[00:32.350] 您这车是18年9月份买的车，这车两年了。
[00:41.440] 两
[00:45.000] 保养。
[00:49.350] 我给你查一下。
[00:52.450] 眼袋手术。
[01:05.540] 这车有一个保养套餐，
[01:07.880] 您这车之前有一个保养套餐。
[01:10.210] 赠送的有。
[01:13.060] 有有效期。
[01:17.320] 对。
[01:19.940] 一下。
[01:22.940] 要是您这车的套餐的结束日期是2022年9月份。
[01:28.980] 是在还有差不多应该能用完。
[01:32.720] 您在9月份给它用完了，对，每次保养稍微提前一点。
[01:38.290] 2002年的9月几号。
[01:42.990] 5月
[01:43.910] 你得在9月15号之前，他写的是9月17 70。
[01:49.330] 10号的对。
[01:51.120] 写的是9月17。
[01:53.190] 有乐时期其实就已经结束了，对9月16号之前
[01:58.910] 了。
[01:59.950] 现在到办公室。
[02:13.000] 要是都铺上得到了是吧？
[02:14.760] 做到都哭了了。
[02:16.520] 然后他一开始来的时候是英里，我就改成公里了。
[02:21.170] 卖了我都写上了吗？英里和公里。
[02:27.660] 您看看过去车上有没有贵重物品？
[02:30.480] 没有是吧？行，我给您看一下。
[02:33.970] 您车在门口吗？
[02:35.250] 也可以，正常事您跟我一块过去，要没有贵重品看见。
[02:40.700] 你买
[02:44.560] 后备箱不用。
[02:49.160] 那不用。
[02:50.910] 行，你网友大概需要多长时间？
[02:54.350] 等于两两个多小时了，今车多的。
[03:01.180] 安师傅您这么着，您等我一下，我先介绍这车，一会看您那车。
[03:08.190] 二龙。
[03:11.840] 我就在后边行好勒，您在车等我一下就行。
[03:19.580] 长期安全丧失。
[03:23.560] 今年
[03:29.830] 这车平时都是您开是吧？我女儿开。
[03:33.320] 我开一年三年了，
[03:36.490] 一下开的不多，
[03:37.940] 能多用还是多用？
[03:39.560] 我没地用去，他上班特别也不算太远，
[03:47.390] 有都不到，就20多个了长号，
[03:56.850] 这个东西用不了怎么办？
[03:59.780] 哪个？
[04:03.200] 蓝牙是吗？蓝牙音频想导航也导不了。
[04:13.810] 您这没有导航卡，
[04:15.800] 就得专门买一个是对就买E导航卡多少钱呢？
[04:20.550] 其实1000多块钱我感觉还不如用手机是吧？对，这就是您装上导航卡，
[04:26.670] 你使用那习惯也不习惯，对，反正我感觉她不太习惯。
[04:33.200] 欧洲人的使用导航它都是录入门牌号。
