[00:00.050] 远远
[00:01.940] 场。
[00:07.160] 先生您的加板袋用一下。
[00:16.000] NK 56。
[00:38.390] 电话跟您核对，13810334299这个号。
[01:38.510] 你上次应该买了个基础保养套餐，用了一个E应该里边还有一个bb的保养套餐。
[01:44.510] 还有一个B宝。
[01:49.590] 该做什么。
[01:51.140] 该做B保了。
[01:52.630] 还有73 40。
[01:55.490] 有。
[01:57.620] 二，
[01:59.360] 然后开始
[02:09.800] 到后天，
[02:17.560] 车开了没别的东西。
[02:19.410] 车
[02:21.230] 开到二的时候突然加速了
[02:29.400] 了，
[02:31.890] 然后明天我说可以，我没有了，你怎么这次把变速箱油换了？
[02:37.250] 是里头的问题，一般情况下更加油油脂，
[02:43.570] 油脂有问题之后就爱坐车，就像你说这种情况，有时候它其实你不是加快的事，往后昨一下，
[02:51.450] 那种感觉。
[02:52.040] 耶它
[02:53.960] 就给他有点换新的，对，因为他每4年每4。
[02:59.010] 或者是6万公里。
[02:59.910] 礼花般都是钱，
[03:02.340] 标签的话差不多3000多，而且换牛的话今天走不了了，
[03:06.150] 他都把游戏和全给你摘了，里边还得给你清了，对。
[03:10.000] 下午再说。
[03:11.720] 行，我先给你看车去。
[03:18.080] 三
[03:28.040] 坐下。
[03:29.310] 这么水。
[03:31.690] 这太快了。
[03:54.450] 底下这边磕了一下先生。
[03:56.620] 对。
[03:57.760] 蹭着拖了一下底。
[04:00.110] 从下坡的对。
[04:17.840] 车里面有个东西了，
[04:30.560] 过了3800公里，
[04:35.510] 30245。
[04:56.120] 一会儿那个能关了吗？
[04:58.700] 关不了，你只能每次上车之前跟
[05:01.440] 关掉车灯。
[05:03.290] 没觉得这好多个我都想那样，
[05:06.590] 因为他太难受了，可是
[05:24.160] 电话
[05:34.200] 这边也拖了一下底下
[05:52.000] 救人侧面大口子。
[05:55.080] 就在市里跑是吗？
[05:57.630] 你跑的时候注意点
[05:59.140] 的。
[06:02.120] 应该是被什么东西给挖过来了，蹭上了现在多深？
[06:06.530] 看不出来。
[06:09.210] 跑到注意点就在那挂拍了。
[06:39.370] 行行，车里没有篮子用锁车门。
[06:42.070] 行，那里边去了。
[07:23.600] 这是体型功能的。
[07:24.880] 不影响。
[07:26.720] 谁知
[07:30.880] 明天你先这样先甭管他。
[07:35.600] 完了你说基本上像五六年也差不多了，你这是一
[07:42.400] 6
[07:44.160] 一个人买的车这平台应该是150差。
[07:48.540] 行。
[07:59.300] 行。
[08:00.200] 我拍照片了，好了。
[08:04.720] 了
[08:06.540] 倒一下。
[08:10.550] 你好
[08:15.290] 对我市
[08:16.570] 有多少？
[08:21.780] 有哪个173上次的保险记录是吧？
[08:25.580] 传动轴那个是吗？
[08:27.470] 我就给你打电话你都挂了，我发过去。
[08:30.620] 我就
[08:32.140] 好了。
[08:34.430] 对，然后那车有几个问题来了再跟你说。
[08:41.860] 名单是不是在外面拆过？
[08:48.100] 什么时候换的？
[08:50.050] 让灵气我看还能不能打出来了。
[08:54.790] 然后我看看
[08:57.400] 从哪回来找，从哪儿回来找他们去？
[09:02.930] 有一个轮胎没说缺角，
[09:05.120] 还有一个轮胎扭力不够，
[09:12.270] 对。
[09:16.280] 来了我带你看一下后边
[09:20.680] 你们可以取了直接过来一下。
[09:27.960] 你一下子就要送过去是吗？
[09:30.710] 这样把手头工作忙完之后又我打电话，
[09:36.710] 20分钟以后。
[09:39.670] 20分钟我这晚上8分钟我给你打电话来我收费。
[09:45.240] 这样好，再见。
[10:21.090] 先生夏天融化的话一下上次是18年换的，
[10:25.220] 然后我给你看一下，我这都能查到记录的。
[10:34.720] 制动液当时是18年的4月份，它是每两年更换一次，
[10:50.870] 三
[10:53.000] 数据
[10:55.560] 的
[10:58.770] 的
[11:14.320] 场。
[11:30.150] 我跟您说一下，
[11:31.740] 咱们这次就换一下机油机滤空气这些空调滤芯，这三项是上次已经把费用交过了，今天不用再单交费的，
[11:39.640] 然后需要自己自费的有一个刹车油，
[11:42.080] 还有一个听众的轨道润滑，还有底盘悬挂养护，还有个机舱里面现场监护，最后一个就是换揪着心里边几乎到这个东西是需要到公证处，该做的事需要咱自己花钱的，
[11:52.370] 再额外交易费用。
[11:54.120] 然后费用的话我大概给您算一下。
[11:56.240] 看见
[11:58.340] 这几项全下来费用一共打完折以后一共是2579，
[12:02.600] 然后取车的话差不多就到3:30 3:30 4:30 5:00下班点了，
[12:07.570] 在今天5:30左右。
[12:11.240] 点对，现在都2:30了。
[12:13.960] 您一会吃再等会还是您先办事。
[12:17.120] 行了。
[12:20.400] 然后把单子打开，您帮我签个字，然后这个人这个事
[12:25.360] 你说找你还是找我？
[12:28.590] 当年买的时候其实签了一个延保的
[12:33.380] 协议，
[12:34.890] 然后说是款加油卡找销售他们那边销售对他们
[12:41.750] 销售合同当中
[12:45.080] 说什么不出险的话是怎么着，然后
[12:48.540] 是吧？
[12:49.440] 好像是有这么一说，我听他们好像说过这事儿。
[12:52.520] 找到他们销售那边前台说下，
[12:55.190] 然后您帮我签个字，
[13:04.180] 打出来手签。
[13:15.320] 轮胎你跑的时候注意点，尤其是右后边
[13:19.440] 尤其过高过，可能因为现在咱不去弄它到底有多深。
[13:23.530] 好，成都之前还得文化经常幻想的，
[13:51.800] 号。
[13:54.310] 希望
[14:03.610] 谁知
[14:05.480] 谁知
[14:09.640] 一个了明白了。
[14:13.250] 不去楼下再给你拿就行，行了，行我这边完事了，一会好了之后我给您打电话。
[14:19.080] 我电话我给你确认一下。
[14:21.240] 13810334299 OK OK好了。
[15:00.470] 说。
