[00:00.000] 指轿车开始交车。
[00:02.090] 您帮我签个字。
[00:08.090] 求签名的。
[00:10.480] 您一份我留一份电脑，一。
[00:14.870] 签过名签名。
[00:17.040] 您
[00:19.330] 就收您把这取走现金。
[00:22.460] 了，稍等会车你开过去了，另一个是不
[00:27.330] 另一个师傅给你开过来。
[00:29.070] 在哪等等我你在这等就行，他把钥匙给我，把钥匙给您，这给咱们俩。
[00:33.900] 对自己妈妈车子给您家孩子一下，你等一下不一样。
[00:39.390] 要就这个事给你妈妈的在村里的。
[00:45.150] 的
[00:46.690] 数据、场、场、
[00:50.160] 数据
[00:51.540] 数据
[00:57.110] 数据
[00:58.400] 的。
[00:59.880] 数据。
[01:01.630] 数据
[01:02.680] 场。
[01:08.060] 的
[01:09.210] 行。
[01:11.910] 花
[01:15.610] 的
[01:19.060] 场
[01:19.940] 数据
[01:22.180] 句
[01:23.340] A
[01:24.140] 吗？
[01:25.430] 稍等一下。
[01:27.010] 要您做一下。
[01:29.020] 洗完很进取，大大概还有三分钟左右。
[01:33.320] 先生
[01:34.410] 您先可以办手续。
[01:36.130] 三。
[01:37.740] 310块钱。
[01:38.820] 你等会也行。
[01:41.050] 都行。
[01:48.620] 要求有点伤没事。
[01:53.580] 厂进厂。
[01:56.350] 了。
[01:58.930] 号
[02:00.480] 数据
[02:01.990] 数据、
[03:05.040] 话。
[03:07.460] 数据、
[03:10.270] 数据、
[03:13.800] 的
[03:14.750] 数据
[03:18.120] 的
[03:22.060] 数据。
[03:24.510] 五
[03:25.490] 的。
[03:26.590] 谁知
[03:29.030] 我感觉部分的的告诉
[03:32.070] 电话137058277，
[03:35.810] 谁知
[03:44.930] 要
[03:48.600] 的。
[03:52.480] 三
[04:03.350] 的
[04:05.300] 的
[04:16.650] 的
[04:25.950] 刚才
[04:29.390] 给。
[05:02.130] 后
[05:12.200] 远远
[05:16.280] 的
[05:19.550] 场。
[05:22.120] 五
[05:50.680] 的。
[05:51.420] 数据
[05:53.100] 还
[05:56.200] 的
[05:59.320] 场。
[06:06.300] 洗干净了。
[06:09.160] 了。
[06:14.810] 场
[06:17.010] 场
[06:19.320] 场
[06:28.590] 场
[06:31.450] 数据
[06:34.510] 号。
[06:38.180] 打。
[06:41.240] 今天。
[06:52.100] 了。
[06:54.910] 的。
[07:01.250] 坏数据。
[07:05.640] 数据、
[07:08.470] 数据
[07:13.400] 数据。
[07:16.790] 数据
[07:22.040] 句
[07:24.760] 的
[07:25.870] 远。
[07:31.610] 坏
[07:49.880] 这块
[07:52.340] 味道。
[07:53.420] 谁知。
[07:54.670] 谁知。
[07:56.260] 上
[08:25.520] 的。
[08:26.760] 的
[08:28.760] 对。
[08:46.100] 个
[08:49.760] 的
[08:59.740] 场
[09:05.810] 场
[09:07.150] 场
[09:10.440] 的。
[09:21.960] 的
[09:24.500] 的
[09:40.440] 数据
[09:42.570] 数据
[09:45.020] 的
[09:47.870] 五
[09:55.670] 场
[09:59.760] 的
[10:01.010] 的
[10:07.470] 的
[10:09.450] 句
[10:14.480] 的
[10:19.390] 机会。
[10:25.170] 数据
[10:29.760] 数据。
[10:33.130] 三
[10:51.590] 的
[10:54.360] 的。
[10:59.800] 五
[11:01.450] 五。
[11:05.500] 场
[11:07.990] 场
[11:12.460] 场
[11:15.320] 五
[11:17.200] 花。
[11:19.430] 号。
[11:21.600] 五
[11:28.350] 句。
[11:36.160] 今天你是今天走不走了是吗？
[11:41.200] 有啥问题有没有问题？
[11:44.390] 有问题。
[11:47.720] 你看碰到
[11:50.800] 主要是你要碰撞。
[11:56.970] 有问题我就让客户留在今天班车，
[11:59.600] 你要碰到没问题，该取车取车。
[12:06.100] 车主走了。
[12:13.860] 场
[12:19.280] 场。
[12:23.120] 场。
[12:28.270] 场
[12:32.200] 场
[12:34.020] 数据。
[12:35.850] 坏数据。
[12:38.690] 数据。
[12:39.950] 坏数据、
[12:41.780] 数据、
[12:53.110] 的
[12:57.960] 想
[13:00.160] 场
[13:01.450] 的
[13:03.680] 场。
[13:05.120] 场。
[13:06.260] 的。
[13:19.470] 发
[13:24.340] 马
[13:25.930] 的
[13:27.830] 的，
[13:29.080] 手机干嘛
[13:34.650] 双重。
[13:42.850] 的
[13:48.320] 好
[13:51.640] 的。
[13:54.580] 场。
[13:57.610] 场
[14:07.000] 数据。
[14:20.390] 数据
[14:22.320] 坏
[14:25.260] 场
[14:26.860] 数据
[14:28.390] 数据
[14:36.000] 的
[14:40.360] 三
[14:49.880] 的
[14:51.790] 一
[14:54.520] 的。
[14:56.480] 坏
[14:59.770] 数据。
[15:02.610] 数据。
[15:03.830] 也不想。
[15:07.480] 电话
[15:08.840] 标准，
[15:13.690] 的。
[15:18.160] 的
[15:39.120] 数据
[15:47.170] 1.5
[15:48.960] 数据
[15:50.200] 数据、
[15:51.640] 场、
[15:52.970] 场
[15:58.670] 百
[16:01.130] 数据
[16:04.320] 三。
[16:09.040] 数据。
[16:10.480] 数据、
[16:12.290] 数据。
[16:19.870] 谢谢。
[16:23.630] 的
[16:26.400] 数据
[16:30.450] 数据
[16:36.570] 花
[16:41.060] 数据
[16:46.850] 数据、
[16:54.240] 的
[17:05.410] 场
[17:08.670] 场
[17:18.600] 场
[17:21.210] 的
[17:23.810] 三
[17:25.300] 数据
[17:28.550] 场
[17:34.570] 坏
[17:38.350] 场
[17:41.060] 场
[17:43.940] 五
[17:45.830] 的。
[17:52.680] 五
[17:56.170] 数据
[18:02.780] 五
[18:08.520] 五
[18:09.800] 数据
[18:11.950] 的
[18:13.340] 坏
[18:14.430] 花
[18:18.040] 号
[18:22.820] 的。
[18:28.250] 10
[18:32.630] 的。
[18:54.610] 一
[18:56.520] 的
[19:05.410] 的
[19:07.230] 的
[19:14.400] 数据二期
[19:25.130] 场
[19:27.580] 的。
[19:54.680] 把
[19:59.150] 的。
[20:00.680] 的
[20:08.600] 去拿。
[20:11.340] 我说现在有问题打不着车了，往后拖了。
[20:15.450] 我知道当我说。
[20:18.660] 我的哥哥给请到一块坏了。
[20:22.710] 对。
[20:23.290] 您打着了吗最后？
[20:26.380] 没开着。
[20:27.870] 我跟您说凭我的经验，
[20:31.100] 你这种情况可能是几个问题，我给你估计一下。
[20:36.250] 我觉得应该可能是三个问题，就是三个可能性，但是我不一定说得准，我就跟你说一下大概有个数。
[20:43.320] 第一个可能是电瓶亏电，
[20:45.900] 电瓶亏电，第二个这是最简单的，也是价格最便宜的。
[20:51.300] 第三个可能是。
[20:53.400] 方向盘下边有一个模块，
[20:56.080] 那叫转向柱模块。
[20:59.120] 这些东西有问题。
[21:01.690] 然后第三个可能就是
[21:03.910] 我不知道多少钱，我给你估计一下。
[21:06.290] 第三个可能是。
[21:09.280] Abs泵。
[21:11.210] MI. 
[21:13.450] 我不知道多少钱，我只是跟你估计我是做业务的，倒是多少钱的话，到时候我到配件给你查。
[21:21.980] 因为这个东西不是我了，
[21:25.330] 我过来联系拿着一块喝着，这时间我都说好了。
[21:31.040] 是这样的，首先你的车来到这里，我给你安排检查，
[21:35.100] 我估计明天能给你个信，
[21:37.080] 咱们维修说花多少钱，然后如果需要换配件的话，哪有货，因为订货也需要时间，
[21:44.340] 明白吧？然后总体跟你说了多长时间，应该估计明天能告诉你，
[21:48.580] 最快明天告诉你。
[21:50.320] 那天忙你不要再给我了，气囊有货。
