[00:00.000] 客户
[00:01.220] 唐先生出事，
[00:10.520] 那是常先生
[00:11.980] 了，别名差12罐底，错第一次来咱们店上对。
[00:15.280] 直接打电话联系过吗？咱们之间打过电话，喝到什么时候咖啡茶不用，我想看一下JS
[00:21.970] 咱们现在门口外边有一个展车可以看一下行，然后店内都有一个服务公约，这边您可以看看，咱们都是明码标价，公开透明，绝不捆绑销售形式消费，
[00:32.210] 结果使用假假一次封号都有400881188的接到电话说分期的是没有金融的服务费手续费都得合适的，
[00:39.850] 置换还是手里有指标这些内容。
[00:42.460] 什么反正是置换还是手里有空的指标买新车吗？怎么买？反正就是说现在朋友手里有一个油耗，有一北京的指标是吧？对，然后我想用她的指标。
[00:54.400] 然后家用的吗这一点。
[00:56.680] 再加上两个孩子。
[00:58.610] 3107多少，对想买汽车，只要S
[01:09.400] 全款是吧？他说是
[01:11.200] 什么他考虑全款是吧？
[01:13.240] 对。
[01:17.600] 搞什么用？
[01:19.640] 不着急，我
[01:21.750] 可能是得
[01:23.320] 今年下半年或者明年年初都有可能。
[01:26.600] 我不着急。
[01:27.640] 我先来看看，
[01:28.790] 计算了，后来不好意思了。
[01:30.740] 现在第一次看，所以说也还没有想太多，然后就先过来看看车。
[01:36.560] 你上去坐坐。
[01:39.630] 我拿药您稍等，还没拿钥匙。
[02:58.900] 因为他
[02:59.640] 有自动刹车，
[03:01.270] 探测未见之后给您做提醒报警，然后作为制动非常的安全，
[03:06.470] 然后后边都有自动泊车，随之侧方的两个车位都可以散调入味，三倒方便。
[03:12.210] 然后咱们这种都是9速的电脑箱，这种换挡顿挫非常的小，整体的这种输入性非常的
[03:18.240] 然后也都是全是带着个全景天窗，更好的这种视野效果，这种采光这种输入性非常高也是。
[03:24.850] 然后里边有64色的氛围灯，
[03:27.270] 他这种在中控门边都有64个颜色，可以随意的进行1个切换，这种豪华性非常高是。
[03:33.900] 然后咱们要切换前跟P的样本，可以看外观内饰的颜色搭配也是，
[03:38.330] 然后也可以扫描咱们电大喂马一些车辆信息，在微信上也能看到非常方便。
[03:45.650] 因为这个是后排空间都可以感受一下，都是
[03:54.470] 今晚你得下来，然后把往前挪了再进去。
[03:57.310] 您打我们了。
[04:02.630] 车长多少？
[04:04.030] 在5米为宜。
[04:06.360] 一
[04:16.440] 后面可以看宝宝安全座椅，
[04:19.280] 后天说最后一排是吧？可以有接口。
[04:23.140] 可以了是吧？
[05:30.610] 中间的牌子大小
[05:31.850] 都在，然后
[08:51.430] 目前咱们这边用的。
[08:52.580] 谢谢。
[08:53.510] 怎么样说用了现在？
[08:55.550] 也要换
[09:08.830] 7座的。
[09:10.370] 但是昨天去体验感觉好像
[09:13.040] 很不舒服。
[09:16.410] 刚才已经累了，
[09:17.580] 慢慢。
[10:27.530] 对可以。
[10:34.200] 您能介绍一下这款车被
[10:37.200] 筹码太低，
[10:39.200] 他的要求
