[00:00.000] 服务有什么帮到你们。
[00:01.320] 咱这边是有关注奔驰车吗？
[00:07.150] 有外地的也可以买，但是没想到优惠的。
[00:13.650] 稍等您上北京牌到购车是吗？
[00:18.870] 我看您是上北京牌吗女士？
[00:21.180] 万1800万，我现在在北京牌18，
[00:25.650] 我说的话。
[00:26.260] 一般整店里现在是红车，红车开电视的路上有白车，包括石墨灰的资源。
[00:31.910] 完了吗？
[00:32.560] 你今天看到的。
[00:33.210] 你好。
[00:35.080] 拜拜。
[00:38.650] 羔羊时，
[00:43.800] 我不是销售，那是你像北京牌的话，我得给您预约销售顾问。
[00:48.530] 好，北京话
[00:50.020] 上北京忙的话，这车咱们现在是有多坏，大约真的太多了状态什么都不是的。
[00:57.300] 您车卖给我们店里还是您自己处理？
[00:59.750] 然后计划您现在电脑了解吗？好就像吗？然后。
[01:03.640] 对，是您打算卖，对，是打算给我吗？还是您自己准备把它处理掉？
[01:07.680] 桥
[01:08.350] 给我你也是钱。
[01:09.790] 给我们方便是吧？行，给我们的话我。
[01:12.550] 你觉得怎么样？
[01:14.280] 也不一定，因为他半斤八两，他还有置换补贴，你在店里边做置换补贴的人才没有，然后。
[01:20.960] 新窗口。
[01:22.560] 对店里做的话，他一条龙都给您服务，让销售顾问帮您办手续，可能比自己跑起来容易一点点。
[01:27.930] 然后这个车对这个车我大概
[01:31.890] 爸爸
[01:33.870] 1118。
[01:36.080] 裸车价格315,800，如果您吃北京牌照购车，光是北京牌现金直接下6万，
[01:42.290] 直接便宜6万块钱，这还什么都不谈的情况下，没有什么购置税保险，包括给您赠送的各种其他的东西都不包含的。
[01:50.410] 然后您具体您能谈到六万几，这个是需要您跟销售顾问详细来沟通的，因为见不到您本人，我们这边是给您开通不了销售经理权限的，
[01:59.370] 如果您觉得6万价格我可以接受。
[02:02.340] 可以今天过来我给您。
[02:03.690] 约，谢谢。
[02:06.520] 谢谢刘先生，您好，北京台有句话吗？
[02:10.470] 可以
[02:11.640] 没问题。
[02:18.660] 行，我这边给您报个价格，然后。
[02:21.930] 差不了几万块钱。
[02:22.880] 我了解了。
[02:26.080] 一会您就接个电话。
[02:28.090] 对您如果要是差这几万块钱的话，我也是比较推荐您买C因为现在A级的优惠的话，
[02:34.670] 他虽然不太高，但是这个性价比完全没有CC来说的好，
[02:40.320] 肯定是买C合适。
[02:46.000] 是一批的，他是在。
[02:50.270] 拉菲保值。
[02:51.920] 我们这是高尚的。
[02:53.150] C200，C200，C200，尤其是C200这款车比较保值。
[02:59.970] 我肯定是。
[03:01.070] 问问你们有没有别的老师可以选择语文老师，他是什么姚姚老师。
[03:06.790] 老师确实还不错，但是这个没拿过大的，我也能教这个，我也能干，我也不要了。
[03:15.570] 咱们的话。
[03:16.690] 对很亮的那种红色。
[03:18.550] 都是瑶老师跟那个男。
[03:21.660] 对。
[03:24.490] 8月底才开的。
[03:26.090] 黑色没有现车，就这一台。
[03:27.990] 密码不是8月底，因为这个东西
[03:31.810] 抱着一个东西
[03:33.760] 的。
[03:35.000] 你要是觉得他
[03:37.180] 用的话。
[03:38.550] 黑的标准的多，长轴的少，
[03:41.150] 一般黑色的车。
[03:43.590] 对黑色的话基本上就是一级比较偏多，C的话它之前彩色的是偏多，不管是260还是C200，
[03:51.700] 都是彩色的车偏多，很少买，白色的也多，很少买黑色的，因为这个车小，如果再买黑色的话，他肯定就是更显小。
[03:59.820] 如果要是标准的话，肯定是mt或者说。
[04:02.960] 谁知
[04:09.360] 确实是黑的挺好看的，您可以到展厅我们两个车价格都给您算一下，260的300也都是现车用私家车，您看看您是分期还是全款，要是价格差的不太多的话，就考虑下一级也行。
[04:21.470] 我不知道我到底怎么谈恋爱。
[04:26.120] 行，您是今天下午过来吗？还是哪天再过来，因为这个车库存不太好，能给您保障。
[04:33.410] 他们
[04:34.800] 行这样
[04:38.210] 商量发明的。
[04:41.060] 老师
[04:51.430] 是这样女士，因为塞200这个车比较特殊，他马上要改款，我们就是紧着现车卖，下个月不确定还有没有200这个车了，可能下个月以后的车都是260。
[05:06.210] 不光是贵5万的问题，它的动力包括性价比其实没有200的更好。
[05:11.180] 很多懂车的懂车的客户他会尽这200去买，
[05:14.900] 但是一般如果260的优惠大的话，他也会考虑260，但是如果您要是自己买，觉得一是保值，因为我买车我就觉得保值很重要，其次就是它的动力一定要好。
[05:24.880] 再其次是外观，这看您主要是您把哪个位置放在最前面，您自己去考虑一下，因为200可能下个月就没有了。
[05:33.610] 没关系，我就给您说个参考，我把我电话发给您，您考虑哪天来的话，您再告诉我您贵姓？
[05:41.260] 毛女士是吧？
[05:42.370] 北京牌照，行，我给您发短信了，然后您看您时间来之前听跟我联系，我帮您确定好这车你再过来。
[05:49.290] 期待光临再见。
