[00:01.190] 7月19号接待客户。
[00:04.010] 吴先生吗？吴先生？
[00:13.910] 对这车已经定了人。
[00:16.470] 我就这样了，有没有名前庭有前提有车，但是前景看。
[00:22.890] 行。
[00:24.400] 您好吴先生是吗？您好，我是本店销售顾问韩春晓，然后给您一张我的名片。
[00:29.970] 不好意思名片没了，然后打了这边第一次来我们店吗？最近有预约过吗？来约到我们BDC的那边打电话是吧？然后这边有茶水城市咖啡你要喝点什么水平不行。
[00:42.590] 行，我跟您说一下咱们奔驰的一个服务公约，因为第4代客户为尊以礼相待，重新经营合法得体，明码标价公开透明，
[00:49.210] 推荐渠道清晰公式，绝不捆绑销售强制消费，绝不使用假借以次冲好，欢迎广大消费者监督。
[00:54.910] 监督电话是4008181188，然后您现在等于说现在我们比如说买车到。
[01:00.930] 所有的手续是您跟我们沟通之外。
[01:03.480] 对是这样的，没问题，直接这么问你，您说有才。
[01:08.470] 文件里面。
[01:10.200] 年的7月份说。
[01:11.820] 15上一袋一是吧？明白，后面我想在咱们电联置换，
[01:17.270] 你先拿一台机，还有自己多发就可以了，180就可以，咱们前天正好有一辆180可以带你看一下，
[01:23.300] 要捂住还是要期货的不错的，应该前期那边就是我错了，在这吃饭行，让评估师给您看一眼行车老人。
[01:30.880] 开过来了车型，我去叫我们评估师让她先开车，我带您看看新车。
[01:36.250] 咱们车回去的时候赚钱。
[01:37.940] 您说哪个车？鸡巴又会多少钱是吗？这个车大概有5万多。
[01:42.450] 一会这里可以给你算一算。
[01:45.020] 你看咱们在
[01:47.070] 什么本科B什么现在都已经到7万了。
[01:50.450] 7万这个价格可真没有。
[01:52.460] 现在都是5万多，
[01:53.890] 否则地上的价格你就太不用信了，您优惠给你优惠7万的，你得到店里边得让你收多少钱装饰。
[01:59.910] 7万的价格可真没有。
[02:01.810] 我去叫一下我们模式，咱们看一下，你稍等。
[02:36.970] 给我看看车，
[02:38.640] 等你看着谁带我现在马上给这边有个车过来这次了，那也行，好，下面来一下。
[02:47.170] 因为条件，
[02:50.500] 谁知
[02:53.470] 估计大哥也没在外边。
[02:59.170] 我问问他们打电话。
[03:01.110] 玩。
[03:10.770] 胡歌。
[03:11.720] 您忙你帮我看个车。
[03:15.870] 过来。
[03:17.960] 行好勒来。
[03:26.720] 我带您看前面感兴趣看一下我们。
[03:29.620] 哥您回来能看成吗？可以让我们这个账号。
[03:33.370] 好勒。
[03:42.300] 几块钱？
[03:43.280] 只要300 48,000左右。
[03:45.750] 谁知
[03:49.460] 但是这客户给打电话，当面给在通信，公车机打电话答沟通那些东西给朋友达到打有通道3万张
[04:01.950] 型号，
[04:03.910] 你看应该不可能。
[04:05.750] 咋不可能大概怎么可能优惠6万平方？
[04:09.570] 说到。
[04:11.170] 这真不能对吧？昨天我刚玩这车。
[04:16.670] 动感的吗？你说是不是暗流豪华的？
[04:23.830] 我还这么
[04:42.110] 班车化粪池是3300。
[04:44.180] 三三千补贴。
[04:45.700] 我再给您确认一下。
[05:03.110] 真实话是
[05:03.880] 3000
[05:10.920] 15年7月份到19年7月份。
[05:13.120] 一直过了维护对。
[05:15.350] 以前是
[05:17.380] 北京牌照还是百5？
[05:19.670] 这怎么在住在北京了，还有
[05:24.030] 以前也等于是北京的一个个人车坐到名下的，
[05:28.350] 过来没了。
[05:30.220] 现在没戏了，对那会还好点，待会他们的就是说有的车型可以从外地购回冰箱，
[05:38.660] 只要你北京有指标可以过回来。
[05:40.920] 新车这边交B是谁？
[05:43.490] 您开是吧？因为你可以试驾一下，咱们这边有试驾车。
[05:49.990] 咱俩K
[05:58.640] 退休了，说去外地旁边跑过高速什么，
[06:01.290] 比如这车没有这种ERP这种的
[06:03.700] SUV类的安全事件高，对SUV的话视线会好一些，
[06:07.840] 而且安全系数也高一些。
[06:10.880] 对，而且现在的车都还是原来的药甚至更高一点。
[06:15.160] 刚才没做进去，这lp这边是第一次看吗？没做，你开门时间第一次。
[06:21.640] 和马路上没怎么见过，因为这车是去年年底刚上市的。
[06:25.420] 对，其实还不到一年，所以说他不下边的人，
[06:30.870] 人也尽量的就说是让我们给我们优惠的价格，包括置换的
[06:37.340] 这一开始我们就定了行没问题，没本身居然开始这么说，如果可能讲话什么好奇什么，我觉得
[06:44.580] 但是您都开惯奔驰了，肯定还是觉得奔驰更好一些，好多客户一般都是奥迪宝马家家里边还有一个SUV，还有ss S那种复杂车，就是说传播H tv怎么回事，主要是这个价格方面的，
[06:59.580] 我们这觉着合适不可能。
[07:03.070] 接受这个您的意思就是这个车直接买那个车了是吗？您这车是当时办齐多少钱？您现在这车后来在外面看过吗？
[07:11.860] 5年一次。
[07:13.560] 世博车。
[07:15.640] 本职的事，因为我这车我当时就挑了一个二手车，当时咱们买的是个二手的，就是二五万吨。
[07:25.390] 对，现在因为这车您是哪年买的？
[07:27.900] 去年这时候正好该换保险了，你该验车了，你买一车型，我看到膜贴的特别好的。
[07:34.450] 不思迪的贴膜这一个模式两三万。
[07:36.610] 就玻璃贴膜是吧？
[07:39.950] 膜不能揭的吗？
[07:41.500] 您接走了没有用了，多角度。
[07:43.920] 爱好、
[07:51.710] 像这个车都没贴膜。
[07:53.580] 对，那车都没贴膜。
[07:56.440] 然后现在你们要贴的膜的话，就里边看不见。
[07:59.760] 都看不见里边，对，但是现在的魔也没有那么深了。
[08:04.310] 但是
[08:05.290] 点评也是很yy起来的话。
[08:10.080] 你这块有一年吗？
[08:12.270] 三年
[08:13.850] 了，对还不到一年，然后这个车才半年，一级没开，贴半年，每年开了多少不到两公里也这了真是。
[08:24.390] 当时没开新车，
[08:27.120] 当时没看清车，
[08:29.360] 或多或少觉得微博是加上优惠的力度比较小，现在又爱运动的，我看的时候
[08:34.880] 总是地上的真不准，因为刚才我有个同事也说他懂车帝，说一个车优惠7万块钱，但不是您这车是着lc。
[08:41.480] 我是真没那价，然后后来他又了另外一个店打电话，其实不是那么回事，真的没有。
[08:47.110] 因为我们天天在卖，所以说肯定知道这车能优惠多少钱合适什么的。
[08:55.120] 要不我再说下，因为咱们进去可以看到新车，然后车里对自己有什么贵重物品吗？
[09:01.030] 有没有什么贵重品？
[09:02.520] 对吧？您先看一下，我刚才没看清楚。
[09:08.920] 咱们去年买的时候是在哪买的？
[09:12.350] 也做不了。
[09:14.430] 那边
[09:24.210] 吴哥、
[09:26.580] 让牧歌他正好在那他看了看，
[09:31.400] 开始。
[09:32.530] 好勒，拜拜。
[09:34.800] 怎么没开门，它这个是只出不。
[09:38.580] 不是没事，咱再等一会我们同事有人过来开门。
[09:41.680] 剥开一下，
[09:43.870] 你正好有一个gl T180，
[09:46.820] 昨天晚上刚停进来的，
[09:50.410] 售价是20 29万两千八二。
[09:53.200] 308。
[09:54.270] 完了最做到最低的话能给你收到55,000，我就跟你有什么说什么了，因为能一会到55,000。
[10:01.390] 55,000的话优惠完之后是25 24万吨，
[10:06.010] 24万多保险我没必要车睡觉，不用没有要求就医上，你像主要的大概。
[10:11.970] 1万多点不到2万块钱卖了26加交强险加自己上一个3000块钱左右车车主家，
[10:18.850] 你3000左右应该不够。
[10:21.040] 你怎么是新车，你怎么也得上一个车损上个三者，上个不计，
[10:26.310] 他们出去玩去，完了咱们上一个玻璃险，
[10:30.240] 这就是180。
[10:33.840] 您可以坐那边感受一下说
[10:36.800] 这放的应该就是18013023。
[10:40.900] 他就这个价。
[10:43.120] 那的没问题，哥哥或者266,000。
[10:47.200] 官方指导价是292,800，他这上面的价格比正常的报的优惠的要少一些。
[10:52.560] 小时候
[10:58.910] 一样。
[11:00.040] 跟那边是一样的，锁上是一模一样的，外观都一样的。
[11:08.330] 还有。
[11:09.710] 老四的和结合他对党还是回到您都看过问题的话，这都比较习惯了，然后还是怀档，只是说现在平比原来好看一些了。
[11:19.310] 然后方向盘上。
[11:20.120] 上面这都是触摸键了，这个是控制这边仪表盘的，然后是控制多媒体显示屏的。
[11:25.470] 对，然后那边还有一个触摸板，原来对，也跟原来不一样，对。
[11:30.640] 现在比原来内饰的话科技感含量更高一些。
[11:35.210] 他是这样的。
[11:48.320] 而且这是。
[11:49.660] 药膏比较适合，因为您身高比较高，
[11:52.940] 因为他还是
[11:54.600] 全新现在标配电动的吗？
[11:56.720] 后备箱空间可以的。
[11:59.080] 不用还重播的。
[12:01.760] 在我看他这个是哪款。
[12:11.390] 他最
[12:12.360] 配备
[12:13.790] 这块也
[12:15.230] 别低头给出来。
[12:20.740] 1.3T1.33.4缸。
[12:23.710] 跟在调笑跟运动版调教是能差多少跟哪个跟200。
[12:29.820] 对，200×20 20千瓦。
[12:31.960] 20千瓦多少油，玛丽的话你可以在这看一下。
[12:38.760] 马利差20多。
[12:42.670] 机头。
[12:45.520] 100这个是110 120，然后他俩一个是136，也一个是163马力。
[12:51.370] 差20多，对，因为您试一下还不是他要求。
[12:55.690] 对。
[12:57.370] 对。
[13:00.590] 这机子多少二。
[13:03.120] 你话给你检一下。
[13:11.240] 237,800. 
[13:13.580] 292,800减去一个55,000，
[13:17.120] 237,800，然后你除以一个11.3加上237,800，
[13:22.270] 像验车上牌有效
[13:24.300] 保险的话还有赠送2000，大概您自己在就按交5000算。
[13:30.280] 26万多。
[13:31.520] 16万多，对，那车到时候能减多少，您可以办个分期。
[13:36.190] 这车现在分期特别合适。
[13:38.270] 人民零利率的倒没有，但是都是低吸的特别低。
[13:42.780] 指标人是谁？
[13:44.200] 标准是。
[13:45.740] 叔叔的
[14:00.360] C旅这车现在优惠完应该30左右，
[14:10.410] 有点
[14:12.330] 要怪的话。
[14:13.920] 才能两车驾车管主要是这台车你坐车地点我跟您这么说，这车的话我就在您买点的时候再给您问，他也没有什么太大的，您说那价格绝对不可能的，6头都过不了。
[14:25.470] 我要再给您问问能给您您要是看装饰这边咱们有没有什么需求，您做点装饰之后再给您申请，
[14:32.150] 能不能再送一点什么，装得非常饱，里边传来也不是我们装置的话也可以，您装饰的话您在外边你不也在做吗？
[14:39.500] 对不对？他们处理完你肯定怎么也得贴个膜，装个记录仪，脚垫后备箱垫咱就说不说别的，就基础这4样，
[14:46.130] 你怎么也都得做。
[14:53.870] 你看这18期的分期特别合适，
[14:58.380] 他这么是这样的，是你首付5018%期，每个月您就还200块钱197，
[15:04.630] 然后一时半一年半以后再还胜贷款的部分本金就可以了，
[15:10.370] 每个月还200块钱还是很低的。
[15:12.640] 平常我们这里边现在
[15:14.640] 稍微多一点就需要做多少。
[15:21.430] 3000块钱。
[15:22.710] 300。
[15:23.580] 3000。
[15:25.660] 一共您多还3000多块钱，您这11万的话您就存个定期理财，一年还挣4000
[15:31.380] 话可能3549，
[15:33.370] 还能接受多少，没有什么额外优惠，只是这时候咱们有一个分析的政策，
[15:38.930] 比较好的需要跟客户推荐一下。
[15:46.940] 先看咱们那出多少钱。
[15:48.540] 我这哥们也是坐车的，问你们合适行部分这边我就算了是吧？他一步到位
[15:55.480] 置换，
[15:56.620] 您看他能给您多少钱？
[15:58.860] 对，他那边给您个过架吗？
[16:02.850] 买。
[16:04.100] 你从哪里买的不都一年了，他肯定不能一年前的价格收银时加上今年的价格，对，估计不会少于21。
[16:11.580] 我少于20。
[16:13.260] 去年你买的时候多少天？24万多。
[16:15.820] 不到25，那一年你按3万时间把它折的话，那20也谁知。
[16:21.300] 对吧？您问过他吗？
[16:22.860] 我觉得这种车
[16:25.430] 这疫情一层闹的二手车市场越来越低，还不如之前。
[16:33.130] 把这个事情
[16:34.220] 谁知。
[16:36.960] 他跟您说21万。
[16:39.480] 的。
[16:41.010] 自己
[16:42.470] 的都交给他们。
[16:48.750] 然后他能不能开七八的，后来还是。
[16:51.730] 的。
[16:53.230] 那个是商务级别的，这是一个家用的。
[16:56.800] 他知道，因为它里面模型他这个车的，因为咱们ss什么的
[17:03.390] 不一样，没有看到过，没有太大不大，而且坐上反正我感觉总理出操那样的差不多，
[17:10.400] 我看还小没有车，还有因为我们现在开始了。
[17:16.600] 对他没有您你叫车肯定长，对轿车里边周期也长，当然没有对。
[17:23.740] 所以这里我觉得很好，好的好好多少，咱俩以后都在后面没办法了。
[17:32.150] 对。
[17:36.290] 那个叫什么20这种两一样，中间它俩大小什么都是一样的，对长风照明都是一样的，蓝色可能是显得应该。
[17:46.540] 对。
[17:49.270] 对，方向不一样。
[17:51.440] 然后插一些配置。
[17:55.420] 但是实际上它虽然差了这些东西，钱不值就是他这个价格。
[18:05.180] 所以配合。
[18:06.480] 不要求企图快的话配置这些
[18:10.100] 多少22.03.01233D的1.33点。
[18:15.790] 他现在奔驰的技术。
[18:18.560] 算了谁知
[18:23.240] 谁知
[18:35.920] 所以他比以前的动力并不
[18:38.320] 并不差，但是油耗和一点
[18:41.590] 这是他的一个进步。
[18:43.440] 我还越大。
[18:44.840] 的。
[18:46.430] 这个就找到这种。
[18:49.730] 不是了。
[18:51.280] 最后他得太深，真的的。
[18:55.270] 他差不多。
[18:59.990] 这个车没有在里面客座上你跟。
[19:11.280] 我看你我不能说我一块
[19:15.220] 让你做铺垫，说好了，
[19:18.430] 你说话没换，你说干嘛就干嘛，你怎么样，你哪有我这么好说话。
[19:25.280] 好像两个。
[19:27.640] 两个什么？
[19:29.550] 对全景天窗的。
[19:32.690] 在看完这一块。
[19:37.230] 刚才拦车和差在哪？蓝色的车是200，200的话就里头动力稍微好一些。
[19:47.530] 然后灯是LED灯的，然后那个车的话还有他的龙骨跟着花纹不太一样，
[19:54.310] 然后其他真没有什么区别了，主要就是差的攻略，对。
[19:59.760] 对这种的动力小小，小马大。
[20:03.440] 跑不动在我就差一个导航，还差一个连接蓝牙电话的，别的真不差什么了。
[20:09.350] 好，这不都一样，就是动力方面动力就差了10千瓦，差了20千瓦20千瓦，外观跟她一般大一样的，
[20:20.350] 长宽高什么都是一样的，显得so深，对，我一进去看脏往外张那个地方，但这车里边藏比较大，
[20:28.370] 没有不是一样的，就是他们谈就不会说像一说您觉得这车小，然后他那个里边躺晓什么糖也挺大的，头部空间，我上午刚带客户吃完架一说坐了5个人，
[20:39.610] 你这后边做的也没问题，因为我觉得没有我们凯迪拉克，我们凯拉有这种车卖空间大。
[20:46.240] 对，他不太一样，它伊拉克有可能会比要大一级别的A级的。
[20:53.420] 在哪在哪能看那展车后展厅你从这出去进去，展厅那边对门进去，那里边有好好不客气。
[21:04.110] 咱们这边有7面墙，那边还有一个皮革样板，到时候都可以带您看一下咱们内饰的一个颜色。
[21:10.040] 还有科技的一个颜色，
[21:11.860] 不是搞的。
[21:12.640] 但是大概是干嘛的，那就是一个扶手。
[21:15.780] 偶没什么，就算是对
[21:18.450] 我们来说。
[21:22.630] 但是他
[21:23.500] 前面前排的座椅都是手动小小的配置点滴，对318,800的是电动调节的。
[21:30.710] 只有驾驶员是电动的，
[21:41.050] 这一项都劝退好多种。
[21:43.410] 对。
[21:44.280] 我说副驾驶不是一个电动调节作用的，
[21:49.170] 对，因为副驾不像主驾，有可能来回换，副驾的话调一个位置也就差不多了。
[21:56.280] 我觉得倒不是说睡了。
[21:59.720] 对。
[22:03.050] 后面。
[22:04.840] 对，那个是后备箱。
[22:09.000] 这都是冲着电的。
[22:12.360] 电动的。
[22:13.480] 电动车。
[22:14.500] 主要
[22:21.810] 对。
[22:23.450] 不错。
[22:25.480] 这车现在卖的还可以，对。
[22:29.780] 比较好开。
[22:37.170] 了。
[22:39.370] 您现在大概有
[22:41.560] 大概其应该我觉得20万上下
[22:45.530] 可能谁知
[22:47.290] 具体多少钱差不多，今天说完后排的了，结果不好意思。
[22:53.090] 我给您安排一个事假，对，你看车这边还有什么需要了解的吗？
[22:57.920] 行，我就安排时间，您看哪位是叔叔您试试，您驾驶本给我。
[23:02.590] 你在家
[23:03.880] 待我了。
[23:05.930] 我给你拿。
[23:07.740] 不是得舒适得用叔叔的。
[23:10.070] 我们俩都是您都等就可以了，不也。
[23:13.560] 可以。
[23:14.300] 都坐着玩可以。
[23:16.890] 不是我这里边
[23:19.800] 后边的。
[23:21.770] 对这个是。
[23:23.180] 但专业是什么班不是需要。
[23:25.570] 和副本东西已经拿过去了。
[23:28.780] 这有其他办法，你要走咱们回那边。
[24:02.250] 那个车跟这个车一样吗？跟哪个这边这不一样，输这比她大很多，这是治疗一了。
[24:08.510] 这个比那个车的地方三元的前半期大概80万。
[24:16.900] 有点小。
[24:18.770] 花开。
[24:28.890] 我去给您办一下手续。
[25:02.750] 又接了一个暑假。
[25:08.520] 号
[25:11.620] 一
[25:12.480] 谁知
[25:14.470] 能
[25:27.160] 的。
[25:30.930] 陆哥他
[25:33.200] 他
[25:35.450] 他去年买的二。
[25:36.590] 二手的是大概24万25万。
[25:39.460] 然后刚才我看我说心里边期望值大概多少钱，然后他心里面多少，大概是在。
[25:44.340] 二怎么218,000？
[25:46.840] 我给她看过的，看后面。
[25:54.900] 你可以换一个。
[25:56.430] Lp我也挺理解不了的。
[25:58.780] 也
[26:01.470] 还是喜欢孩子的，
[26:03.490] 然后又不想买太贵的。
[26:05.540] 没什么，将来新馆
[26:09.200] 你这
[26:12.620] 怎么了？
[26:15.200] 万一天他们说喜欢都弄完了。
[26:18.960] 什么的
[26:21.830] 也不怎么样？
[26:23.880] 流转的。
[26:25.120] 我去那补一下就完了吗？
[26:28.880] 你找谁屋里就跟那写，拿了直接拿了。
[26:33.350] 反正写不就完了。
[26:35.180] 我找人写你没写我就紧张，我那份你可能是没见过。
[26:41.040] 洗手的地方。
[26:42.180] 有一点第一排对吧？
[26:44.590] 仗义了，这俩客户在这，我拿钱这两张是两张照片，这么一张1500第二。
[26:53.100] 另外
[26:54.990] 刚才的视频一张
[26:56.990] 人两东西这之前钱多少？
[26:59.870] 当前
[27:01.610] 目前差字不知道不理解，
[27:05.650] 你的金融什么都敢来保护，
[27:08.430] 可操我给你们多少人珍惜，对你说的我想起来事儿了，
[27:15.850] 我的小伤可能要走活动，
[27:18.050] 男人去完我去吗？都搞。
