[00:00.000] 文的话，
[00:01.600] 谁知
[00:11.170] 7月20号接待客户杨先生，
[00:13.490] 谁知这上表不用我看看次数那么大了，这么快。
[00:27.270] 您好，杨先生是吗？
[00:28.960] 你好，销售顾问韩春晓是我的名片，咱们这边是第一次来我们店预约过吗？
[00:33.790] 有预约过吗？没有，还是现在咱们这边有茶水橙汁咖啡，然后你看你喝点什么水，这样直接看车去了，您看咱第一次来跟您说一下奔驰故宫院，你看行吗？
[00:44.830] 不用直接行，直接带他去看那个车就可以了，看哪款车就G2楼C260这边先上要常走走那进口的。
[00:53.820] 进口的。
[00:54.820] 不配版的是吗？胡飞版的没有，常州的没有。
[00:59.280] 不会没办法，脖子疼了，对，您咱们现在开什么车使用感觉怎么样？一会给您介绍一下，不，我已经
[01:07.910] 您看的是哪款车，看过这款车10车看过来我看看在哪看的。
[01:14.170] 是在4S店吗？
[01:16.170] 好好了解给你提供。
[01:17.860] 咱坐这边找地儿坐杨先生。
[01:20.930] 坐这边。
[01:23.800] 白哥这边是有人。
[01:26.730] 另外就
[01:28.000] 我坐着。
[01:31.260] 我怕这个地方做着做就行。
[01:37.120] 你别放死。
[01:38.550] 直接下楼了，就普通版的，这不是虎配版进口的。
[01:45.760] 这边
[01:47.010] 这边。
[01:49.850] 咱们这边您是想看210还是想看30060260，现在咱们展车放这款式LC260动感情，
[01:57.450] 你要看的260是动感还是豪华，它一共有两款动感。
[02:01.580] 送杆都是这种正常。
[02:05.160] 您拍图片的话应该是豪华或者是300，中网是满通通的，龙骨的花纹跟这不一样。
[02:10.840] 他整晚规划中网换不了，是固定好的，车出场就是这种
[02:15.510] 可以改进。
[02:25.690] 杨先生您这边是摇号还是置换？
[02:28.140] 我也指标就是指标已经更新出来了是吗？
[02:31.380] 我有我相
[02:33.580] 手上还有其赋予的指标，明白了。
[02:39.320] 这就是260送的，然后这车是您开吗？
[02:42.360] 基本开放不是。
[02:53.370] 您看的那个是要么就是翻版，要不就是2.0豪华的。
[02:57.500] 龙骨是龙骨跟着不一样。
[02:59.670] 20豪华的。
[03:01.060] 好的。
[03:01.770] 对，这也是家常的，只不过这是动感型的，动感型跟从外观看跟您看，你看这中网看到没？
[03:09.190] 这种网是满天星的，中网号划的就是满天星的中网龙骨，
[03:13.370] 龙骨豪华的龙骨就是长这样的，这就是普通的龙骨。
[03:19.980] 您就看您选择哪种外观的，像这款车标配的话是标配的，就是这款394,800指导价。
[03:27.630] 他不是优惠有优惠。
[03:30.980] 一般也会有好报。
[03:34.200] 有优惠。
[03:35.390] 有优惠
[03:48.930] 要会玩。
[04:23.840] 今天要是分期批了的话，您这边明天。
[04:30.270] 您说您是周三出差是吧？
[04:33.580] 我帮您要是有，因为今天分期就能出结果，我觉得应该没什么问题，您要是能明天过来的话，我今天提前把车准备好了，
[04:42.560] 然后到时候您明天过来直接就能办手续了。
[04:47.120] 第二天这里吹空调的后面刮不用了。
[04:54.340] 了。
[05:01.550] 好不好？
[05:31.090] 豪华版的是哪一种？
[05:32.740] 豪华版的没有展车。
[05:34.780] 豪华版的没有展车，展车就是260动感的，对您不都。
[05:38.950] O看过豪华的了吗？
[05:40.680] 那个是您看的还是您朋友看的？
[05:43.640] 看看那他是想他是想要豪华还是想要动感，他显得要豪华的。
[05:49.980] 就按豪华的。
[05:51.750] 不就可以了吗？他都看过车了，主要不就是她看是吗？
[05:55.150] 对，好，把滑板它是童话可能是潜水不一样那个了是吧？
[06:01.210] 对，你看到图片那种。
[06:03.140] 是它的长度比较长一点点，不是长长宽高什么都是一样的。
[06:08.670] 一模一样的。
[06:18.640] 他是在哪边？
[06:19.580] 不在北京。
[06:23.030] 他在北京吗？
[06:25.230] 他不在北京，他指标在我这里，然后他就说叫我帮她买辆车，他看好车型了。
[06:32.260] 您帮他买完车之后，完车他在开回去，对发票直接给他，然后就给卖了，给他拉走了。
[06:39.750] 他看到不知道谁知。
[06:42.840] 对，这是动感型的。
[06:48.270] 后面现在他
[06:49.300] 没有。
[06:51.390] 没有网络的大坝管理。
[06:54.010] 大小一样，
[07:00.130] 然后他确定的是车型，无论是号码还是动物的伤害的，
[07:04.260] 您就不用那条高高什么都是一样，
[07:07.880] 都一模一样。
[07:09.360] 那车质量他不可能分为两个，长城高了，
[07:15.600] 300跟差多少枪？
[07:18.330] 300低配的话标配的话他好多针一三三百还是260300
[07:24.150] 3,449,800，
[07:27.760] 就差10倍。
[07:58.840] 这边咱们先暂定明天，然后只要分析今天批了，然后我就第一时间告诉你，
[08:05.510] 然后明天您过来就行。
[08:07.070] 明天到时咱再定，明天具体几点来。
[08:44.160] 工作。
[08:44.860] 好勒。
[08:45.650] 咱们不对吗？
[08:47.560] 你先你给我做一个
[08:51.000] 报价点，
[08:52.460] 经常分析。
[08:54.470] 在这边。
[09:10.480] 颜色，您朋友这边是想要什么颜色的？
[09:13.410] 你改装香花槐怀白色白色内饰。
[09:20.370] 那是。
[09:23.500] 经验。
[09:24.980] 给您算，您问问他是要豪华还是说动感气息？
[09:29.550] 点。
[09:30.600] 点。
[09:35.940] 刚好花。
[09:38.310] 干嘛？
[09:43.910] 辛苦没有。
[09:46.010] 的
[09:51.680] 不要那么重要。
[09:56.350] 好好，反正是。成长是吗？真实的。
[10:00.760] 对，你问问他，然后给您算。
[10:03.020] 好，我。
[10:04.290] 昨天在哪里？
