[00:02.060] 接待了恢复介绍马女士。
[00:11.750] 你现在穿衣服下楼下楼一一下楼不是有护栏栏杆，
[00:17.530] 你爸在那等着你就下楼就可以，你楼底下站着。
[00:24.770] 给你送两只鸭子过去吃，
[00:40.550] 你说什么？你说慢一点。
[00:44.510] 对。
[00:48.610] 小胖。
[00:52.440] 你好好跟我说话，
[00:55.590] 你爸给你做了两只鸭子，马上到楼下了，你下楼去拿一下，你听明白了吗？
[01:05.250] 楼下是哪出了电梯，出了那个门，然后走到下面就行了，就楼的下面不用去小公园知道吗？
[01:16.230] 知道吗？
[01:17.720] 也。
[01:19.030] 对，就楼底下就可以了，也不用去马路边去楼底下就可以了，你就站着你就能看见你。
[01:26.050] 现在下去
[01:29.570] 现在下去如果没有看到你吧，你就等两分钟。
[01:33.140] 听见了吗？
[01:35.620] 了。
[01:40.400] 谁知
[01:48.900] 你问完了没有？
[01:54.150] 人家儿子话真多，一个劲挣扎挣扎也没了，都是活的多。
[01:58.740] 活你们干哪？
[02:03.910] 1350。
[02:05.360] 能用户多少？
[02:07.660] 我给你去问问你要是确定交350的吗？
[02:13.360] 我给您去问问，我跟谢经理也说一声说的好我给您报的价格刚才已经是经理价格了，我只能说再去给你问。
[02:22.730] 您确定好车型能确定好车型让我去给你。
[02:25.720] 是要豪华的还是对，不要起作用就是。
[02:29.520] 你知道最低配都没意思了。
[02:47.080] 是
[02:57.010] 走
[03:25.270] 的
[03:26.200] 的。
[03:28.880] 打
[03:30.630] 坐车了吗？
[03:33.050] 我在跟我说看看1350还是1450，这不挺牛的，问问你，
[03:43.240] 我说我在奔驰4S店，
[03:47.290] 我说看看是1350还是1450。
[03:52.240] 对我知道。
[03:59.390] 原来它的外观都一样，里边内饰一样，可能配置不一样
[04:04.410] 了，
[04:06.700] 这俩全下来差25万。
[04:11.130] 对这两个车
[04:13.270] 才25万。
[04:16.820] 就是问的。
[04:19.940] 所以现在也不用先看价格，就是先我这不琢磨要哪个吗？
[04:31.110] 发动机
[04:32.100] 是20T是在这里，
[04:45.020] 6. 
[05:08.170] 咱们现在
[05:09.940] 别克是二等。
[05:13.990] 我们2.4米，
[05:19.820] 我现在也是挺犹豫的，反正他都没有先出。
[05:24.660] 都要订三本也没有。
[05:49.490] 老王说还建议买点礼，
[05:51.830] 卖到了来打，
[05:53.580] 绝对
[05:55.370] 是吧？我也走了。
[05:57.090] 买都买了回来，
[05:58.890] 转换一入口。
[06:00.150] 800块情况后面。
[06:02.040] 好，不要再看，不要
[06:04.550] 接着是好想把原来准备的空间里面有是吧？
[06:09.950] 电脑规定你就垫450，
[06:13.830] 你看看能优惠多少，厂家这车没有优惠金，这车加钱的还加4万，对，这没有优惠，你要说问356还能去给您问问，你少加点不就完了吗？他就少加不了。
[06:26.300] 这车我刚才问我同事，我说你们电价多少钱，他跟我说加7。
[06:30.180] 现在还有假期还有加7万的，我都可以告诉您是哪，你可以去问他都行，或者我把同事电话都行，
[06:35.910] 家家4万我们家家都算少的了，真的减。
[06:39.980] 我就花园桥在西三环有1++6万，那能送点什么东西吗？
[06:47.270] 这没有啥能送的，装饰我们都没强制性做，有好多还得让你做点装饰，这装饰的东西你想做就做，不想做就不做，都
[06:54.330] 不想去做我知道。
[06:55.540] 你们这个店他但是到最后都会让您做点的，我们这事你想做就做，不想做就不做，因为我们集团
[07:03.030] 重点装修，咱送不了没有送的项目，对，能给您的我都讲第二的。
[07:08.760] 这些东西都没有，就是说对全都是说现在就是明码标价，你想买就买，你不买的话也可以，这其实是不平衡吗？
[07:17.460] 因为以前什么因为以前全都是强制，
