[00:00.000] 2020年7月21号。
[00:02.260] 就是您说的。就是这个
[00:03.840] 啊
[00:04.440] 先生您好，先做个自我介绍，啊交车多年前证给您办理单位车的交车手续，大概流程啊咱讲一下车辆的一些基本操作，
[00:11.770] 然后回复座给您开通智能互联网。
[00:14.280] 还有一个客户面，
[00:15.920] 然后多问两下，今天我开我不是跟你说吗？
[00:19.750] 呃开过开过开过什么什么？那个那个
[00:23.810] 是
[00:24.830] 一举一举的也不老开，偶尔啊这是我哥的，啊然后我从外观上给您讲，要是呢一共有两马，开头都会给您开锁锁车，咱直接摁就行了。
[00:35.160] 嗯然后油箱盖上的车里边没有单独的案件，
[00:37.940] 连锁的情况下，咱们应该把这个全开了，稍稍走5楼一点，然后后备箱我跟您说一下车里边的东西，
[00:43.910] 嗯
[00:45.380] 嗯
[00:47.870] 这里边呢有急救包、反光背心，两根数据线，还有咱们的这个
[00:52.220] 所有的省分公司，还有保险信息手册，车是一年或者1万，哪个先到美国也就忘了是一样。
[00:58.390] 一年是吧？2000走着，嗯
[01:00.740] 那个那个什么亲戚没有没有。
[01:06.520] 那这个
[01:10.670] 那您车完全做主驾驶，我给您讲使用功能。
[01:17.570] 咱们做主驾的人。
[01:26.510] 唉这车没有。那个
[01:29.210] 我们怎么说？
[01:30.340] 气泵。没有了没有
[01:33.030] 马沙汤您启动一下。
[01:37.230] 对，稍稍等一下。
[01:39.610] 然后呢从最开始给你讲，所以在这边去调整
[01:42.990] 前后高低，这是靠背的，然后头枕的这个是机，然后腿部正对还是在机，那一下m点1它就锁定了，
[01:50.330] 然后自己再加热摁一下就可以了，然后中控锁在这儿开厕所车，
[01:54.970] 反光镜的折叠呢所受到的自动会折叠，咱们想手动折叠和按这个会折叠线的话。
[02:00.310] 然后左边量用圆角条街左边反光镜右边亮用圆角角调节右边反光镜。
[02:05.840] 4个窗户一键升降，
[02:07.620] 后边这个按两周后边两周咱们就锁死了。
[02:10.460] 后备箱的开启呢这还有一个隐私案件，咱们搂一下之后能打开，关的话您按住了全都关好之后咱们再动手就行了。
[02:16.950] 嗯嗯
[02:17.620] 大灯是自动的，
[02:19.170] 然后手刹也是自动的，都不用去管它，
[02:21.740] 以刷器在这边去调整，
[02:23.490] 两个区县都是自动挡，咱们景区现由于它就呱了，
[02:27.200] 然后银色的按键使劲按，到头时候是纯玻璃锁了，
[02:30.740] 左转向右转向，跟您开车都是一样的，往怀里是调远，光推出去常亮，
[02:35.320] 光盘调整在这电动，
[02:38.320] 然后呢这三个按键是控制这块屏幕的，
[02:41.580] 底下这儿呢是定数跟限数，
[02:43.720] 网上是定速巡航，网下是限速巡航，
[02:46.400] 这边是功能的开启和关闭，
[02:48.490] 中间是加速减速，但这个功能其实平时用的比较少。
[02:52.250] 嗯不过我经常走高速。
[02:54.430] 但是你走高速的话，也没有您自己才省油，
[02:58.490] 就省点劲而已。
[02:59.920] 定速的话呢从30卖之后才能启动限塑，呢从20
[03:04.270] 然后比如说您跑到100了，这单杠一推他直接定到100了解除了踩刹车就可以了。
[03:09.530] 嗯然后我去那边给您讲一下那边的公寓，
[03:12.250] 嗯
[03:13.080] 嗯
[03:13.810] 那
[03:14.700] 嗯
[03:16.830] 说白了林先生。
[03:18.600] 稍微等会吧吃完没弄完？
[03:22.170] 啊
[03:23.100] 然后呢电子挡杆跟您看那意义是一样的，往上是倒车，往下是前进，
[03:28.870] 摁一下银色的n键就是屁打听车打，
[03:31.550] 电子杠杆呢有电子保护，不管您是挂前进呀还是倒车，只要开主驾驶的车门，
[03:37.170] 他会自己回到批党的。
[03:38.730] 然后呢中间这块屏幕的控制，呢通过这三个小文件可以控制到屏幕，
[03:43.070] 这个触摸板也可以控制耳屏的。
[03:45.530] 然后一样点上小黄嘛进入一个主界面，
[03:48.200] 走过去划就行了。
[03:50.240] 然后呢
[03:51.250] 往下按就确定可以看车里边一些信息，
[03:53.940] 然后音量大也可以这儿可以去调节，这儿也可以去调节。
[03:57.530] 静音的话往下咽就静音了。
[04:00.470] 然后呢多媒体呢就可以连接上咱们的手机蓝牙去听歌或者查U盘，这里边有两个U盘接口蓝牙。
[04:07.320] 我我试试。
[04:09.750] 所以我觉得大家应该开展
[04:11.640] 应该
[04:12.300] 我们沟通一下。
[04:31.570] 大家都知道的对不对？所以我就说几十公里的收入比你sp给他
[04:39.590] 然后你是等到什么时候这钱用完了，你什么时候就
[04:43.340] 对对对。
[04:45.800] 行，现在就连上了，你也可以放钩。
[04:48.610] 嗯
[04:53.880] 说话说话。
[04:58.260] 嗯
[05:08.850] 嗯
[05:19.500] 然后就放去。
[05:27.990] 然后听你也一样，按一下行就那个蓝牙那个电话。呢
[05:31.800] 耶现在都给你连上了，对对对就是这样的。
[05:34.640] 蓝牙它是直接连电话带音乐，但是这个蓝牙电话的话是这样，如果说您电话来了之后您接听的话，
[05:41.450] 他是功放出现声音的，嗯是把所有人都听你的对话。嗯
[05:45.710] 然后车辆设置里边我都帮您设置完了，啊就是照明里边有一个氛围灯，这是64种颜色，您自己去调整就行
[05:53.260] 了，64个颜色行，要那个颜色直接调一下这两个模型。
[05:57.840] 然后外部和内部一个照明延时关闭，车灭完锁好之后，灯光还会延时关闭吗？就是我帮您调一个枢纽，
[06:04.250] 太长也没有什么必要。
