[00:05.010] 有没给您？
[00:07.270] 好在。
[00:09.710] 服务特别好，是不好意思，是李彭川接待的您，但是我给您回的电话，
[00:16.150] 对吧？
[00:17.450] 李彭川之前您不是来过咱们展厅吗？白先生？
[00:22.010] 您好。
[00:23.590] 对，然后我这边您不是觉得他的没问题，您是让我给您发个短信吗？还是？
[00:30.830] 我们可能这边你要方便话，到时候可以联系我给您发过誓，我打。
[00:39.070] 我说您。
[00:40.700] 到时候87。
[00:41.810] 38. 
[00:42.670] 58739050。
[00:44.690] 我姓侯，您昨天联系的人是小猴吗？
[00:46.990] 她手一下，感谢。
[00:48.370] 您说首先。
[00:54.310] 889. 
[00:55.840] 0.5。
[00:57.850] 是我跟您说的，但是之前您不是觉得李彭川他给您介绍这个车介绍的不太好，然后让我给您重新安排一个销售顾问，
[01:06.970] 对吧？
[01:08.080] 我姓黄。
[01:10.080] 没办法。
[01:16.050] 是我跟您。
[01:18.120] 对是我跟您说的，因为工作日咱们这个价格，因为工作日我们这边是缺指标的，您如果来的话价格会比较好谈，周末客户多，所以说周末您来的话，我就怕销售接待您，到时候接待您不满意或者价格，咱们能享受的没享受到，我是这么说的。
[01:35.320] 我姓猴羊。
[01:39.470] 小猴。
[01:41.330] 手机你手机可能是不是有拦截，我加您个微信您方便吗？
[01:46.510] 或者拿我手机给您发也行。
[01:49.810] 花、
[01:52.150] 没事您大概。
[01:56.360] 是吧？
[01:59.240] 三人商量。
[02:03.740] 没有绿色的先生，咱们展厅也是黑的。
[02:10.670] 三个。
[02:12.090] 33333. 
[02:14.640] 对，都是动感。
[02:16.260] 一个比那是两个棕内饰。
[02:19.510] 你吧。
[02:26.390] 您说绿的吗？
[02:27.190] 怎么样？
[02:28.510] 没有，咱们这边计划里基本上都是黑的。
[02:34.640] 看看。
[02:35.450] 对，我能看到的现在都是黑色的。
[02:38.400] 你看。
[02:39.260] 知道吧？
[02:43.640] 这个得到展厅，或者说我让销售给您查一下，因为我这边是查不到的，我就是电话组的。
[02:50.310] 您要说裸车配置吗？
[02:55.160] 快来玩想一下。
[02:59.210] 如果您要是说您得做好心理预期，因为如果你要是想改一些东西个性化定制的话，它定制周期会相对地延长，
[03:07.750] 因为现在德国这边疫情也比较严重，然后很多4S店咱们这边要的车，他们那边都不能及时供给，这是整车进口的，所以说如果您在
[03:17.230] 在心理预期的时间周期之内，你要是能接受的话，我们这边就能给您接受订单去订这个车，
[03:24.310] 但是您要做好准备肯定会很长。
[03:29.440] 定金咱们到直接跟销售聊就行了，一两万也可以，八九千也可以。
[03:34.540] 主要是看您，但是是这样，您聊的时候得跟销售顾问沟通，就是在合同上写清，因为您交的钱您得问问他，如果是特殊个性化定制的话，可能定金交的要比普通的要多。
[03:48.240] 比如您改车身颜色，然后改套包改P见了您订的车可能会比普通的订车的定金要交的多。
[03:58.960] 您好感谢。
[04:00.230] 有的。
[04:00.630] 的。
[04:01.810] 可以订的。
[04:02.710] 可以没问题，您到两天把您这个需求跟我们这边主管说一下，让他帮您查订车周期即可。
[04:10.080] 三
[04:15.790] 450我帮您看一下，也是要豪华吗？
[04:19.590] 您是打算什么时候买，又画一个标识。
[04:22.570] 他有两
[04:23.560] 83的有现车，
[04:25.410] 裸车是黑色，白色各一台。
[04:31.000] 没有墨绿色，他在车友资源是绿色的，我能看得到这个车是有绿色的，
[04:39.710] 绿色中内饰的差不多得8月底了得下个月月底了一个半月。
[04:47.270] 说停产了什么？
[04:48.780] 什么834,800的，对是的。
[04:53.390] 而且咱们网上的价格的话，他都是
[04:56.730] 网上的价格它都是针对。
[04:59.590] 我先帮您查一下，您稍等。
[05:03.540] 这个不一定，因为这个车它还没到，我只能按您到了展厅的价格给您查，您稍等，我给您看一眼。
[05:10.280] 嗷。
[05:11.590] 450动感。
[05:14.900] 这个价格稍微高一点先生，您得做好心理预期，差不多加个两三万也是可谈。
[05:20.670] 不会了，但是优惠没有像您网上的这么高。
[05:24.860] 现金。
[05:25.750] 然后后面你可以留个连线。
[05:27.160] 资金应该是现金。
[05:28.710] 电话是报道。
[05:29.510] 是不是装饰？
[05:30.890] 对，纯现金。
[05:32.070] 您看价格多少？
[05:35.520] 先生。
[05:36.530] 我刚才跟您说您可以留个联系方式，我去给您问一个价格给我们电话，这边有监听没法给您。
[05:42.820] 都是现金先上都是现金。
[05:49.940] 对，这个东西怎么跟您说，我给您看的全都是现金这块的，就是额度甭管是调高还是调低的。
[05:56.990] 当然具体装饰这块，因为店里边没有明文规定说您必须在店里做装饰，您自己考核，如果觉得我需要这个东西您是做不需要的，您可以明确的告知您的销售顾问，我不需要这个东西，
[06:07.570] 如果不需要的话这个价格是多少？
[06:09.760] 因为这个事确实是得面谈跟销售部问，因为我这边权限比较低，我只能查到现金，具体综合优惠这块，比如说送您的保养保险，其他这些东西
[06:19.560] 都是得到店给您查的，因为这两款车现在都是我也不知道行情为什么这么最近咨询的车特别多，所以他这个价格一直持续的价格没有特别明显。
[06:40.020] 有可能反正。
[06:42.650] 对他现在顾不上铲车。
[06:51.560] 对，所以
[06:53.360] 对车客户需求大于供应。
[07:00.170] 对，祖母绿她叫对我们店里边叫祖母绿，
[07:05.360] 看着是黑的灯，一打是那种墨绿色，
[07:13.320] 您可以到展厅让我们销售顾问详细帮您算，这车要订的话落地价格是多少钱？
[07:29.110] 对家rs全系它都是7座的，
[07:37.530] 只有350豪华是7岁的，
[07:39.920] 450系列的话都是5座，
[07:45.490] 大、
[07:50.430] 喝茶挺好的荞麦面吗？
[07:52.530] 45
[07:52.960] 450我给您查的450。
[07:56.150] 450的现成450动感。
[08:00.960] 对，有绿的。
[08:10.840] 现在店里边没有绿色的，甭管是350还是456，
[08:15.220] 黑色有
[08:20.720] 450。
[08:22.200] 4501黑100。
[08:27.670] 对。
[08:33.440] 350豪华就是7岁的，但是店里面没有现车。
[08:44.430] 7岁是吧？行您可以看看，因为我觉得G rs车型比LV好看，
[08:49.890] 反正我是这么觉得的，
[08:51.880] 但是这主要是看
[08:53.920] 对我觉得这S好看，假如一一半
[08:57.600] 无感。
[09:02.700] 女儿太艮了。
[09:09.600] 可不是吗？尤其是整车进口的。
[09:12.040] 您是怎么着？您是这两天打算过来是吗？我得提前给您安排了，因为我不确定这两天我得让他主管接待您了，到时候。
[09:19.930] 您觉得他不太专业的话，
[09:27.200] 上班了是吗？那就赶在您步行上班的时候，中午中午可以过来看看车来，到时候咱们这边的话也有用餐。
[09:42.810] 当时
[09:49.990] 我看见了5:30的会，对5:30那会儿才来。
[09:55.810] 有您的记录，您来电来看哪款车比较喜欢那款车，包括销售顾问给您做的记录都能查得到。
[10:05.080] 这样能更好的了解您客户需求吗？
[10:08.690] 您好，感谢您，接下来您全扣了，好谢谢。
[10:17.000] 行没问题，主要看您时间好吧？咱们
[10:20.340] 这边的话6.8基本上也不想开车了。
[10:23.740] 行没问题，我给您发短信现在。
[10:26.730] 您太忙。
[10:28.160] 好，再见先生，拜拜。
[10:31.160] 您大概几点过来？
[10:35.270] 这客户他们黑着我了是怎么的？
[10:38.090] 您也有点道理行没问题，您电话18310888这个号码吗？
[10:44.160] 我现在就是颜色。
