[00:01.100] 为什么？
[00:03.860] 是吗？你好抱歉，久等给一张名片。
[00:07.080] 销售顾问小王，好，咱找地谈一下我们下车吗？还是车都看完了吗？
[00:12.780] 没事，我先带您看看这车主要是谁开呢？
[00:17.350] 现在拍是家用还是？
[00:19.880] 主要是家用。
[00:21.970] 是之前看过这款车这款是分开的，印度馆。
[00:29.370] 对每个品牌的卖点，沃尔沃的话就比较安全，还有捆绑。
[00:34.370] 咱们是有现成指标还是酒店电话？
[00:37.540] 有旧车置换吗？
[00:39.450] 您就这种菜。
[00:41.630] 别克哪一块？
[00:43.100] 讯飞还有哪年的？
[00:45.170] 一样12年和5的。
[00:47.620] 现在置换的话有一个补贴，不知道您知不知道有12,000限制一个街上的这块
[00:54.230] 能做到。
[00:55.800] 得看您之后
[00:57.090] 开庭。
[00:58.400] 对，会有专门专业的二手车评估师给您看一下车，根据这车的车况，
[01:04.030] 下面老师没事。
[01:07.300] 那是应该的。
[01:08.750] 座椅的话都需要给您调一下吗？不用，我就想要看一下，因为看了一个
[01:14.310] 还有刚才
[01:17.210] 那个是标配的，
[01:20.010] 这个是中配的运动款。
[01:21.920] 好好看的话是边上跟志远的好好款配置的话，
[01:28.270] 东西都是一样的，只不过说运动款的话，首先夜景澜颜色，蓝色是运动款专属色，
[01:34.190] 他这种设计运动型座椅跟豪华的做也是不一样的，
[01:38.260] 然后它没有实木内饰，拉丝铝的运动风设备，
[01:42.860] 包括龙骨、前进气格珊、黑边框，海尔的这种设计风格是运动款专属的，
[01:47.480] 价位是一样的。
[01:49.230] 咱们是标准化，那是标准款的。
[01:52.920] 看您预算
[01:55.720] 这颜色就是运动款专有的，你要想要蓝的看重这个样子，蓝色了只能买运动款。
[02:01.670] 对，那就是标准款胖胖的价位的区别。
[02:07.020] 首先跟
[02:09.600] 一个运动和一个豪华都要志远，这叫自然运动，那叫致远号华，这俩车价位是一样的，
[02:17.690] 叫之翼豪华，这俩车是有价差的，比配置高一些，大概差价的话差个36,000左右，
[02:26.970] 三万六七千万七八。
[02:28.870] 主要硬件上没有区别，就是内包上有区别吗？
[02:32.400] 对，因为沃尔沃这个品牌的话，
[02:34.590] 它所有的核心的连科技都是标配，你像中配跟标配的差别差在哪了？差了3万多块钱，我
[02:41.390] 就等着他设备是吧？
[02:42.530] 对，您找着楼上坐会。
[02:48.660] 龙骨，
[02:50.770] 这个是19寸的龙骨运动风融入，
[02:53.990] 然后18寸
[02:55.810] 花纹不一样，
[02:57.300] 然后这个比配置还多一个，无缘进入座椅的话有推脱，我们才能伸出来一节，
[03:03.910] 包含了前排座椅加热，
[03:05.830] 那个是没有最佳热。
[03:07.550] 然后一个盘是全员性的，一个盘是半月形的，
[03:11.230] 包括有导航，没有导航，包括皮革包覆的动物，
[03:16.490] 如果说豪华版的话会有实木内饰，这都是公费才会有的。
[03:20.430] 包括感应尾毛，就说白了一脚戏，
[03:24.160] 都是中配才会有的标准没有。
[03:26.600] 对。
[03:30.790] 那个的话整体的外观设计风格，包括内饰的设计风格不一样，
[03:35.810] 我可以给您打开门看一下。
[03:40.320] 大概预算的话，咱们就是三四十的一个预算对吧？
[04:02.530] 但是那个车的话咱们就别上去了，因为在逃
[04:05.190] 上面
[04:09.160] 那边
[04:13.240] 谁都不一样，都是甄别的标配，不是标配的，眼镜不行，那个是皮革。
[04:21.370] 他就是不对，不是那种拉丝铝的那种是实木的，
[04:27.270] 包括座椅风格也不一样，那时候运动型的也就是舒适型桌椅。
[04:32.160] 座椅是不一样，龙骨也不一样，
[04:34.570] 龙龟不一样，区这样的就19的这都一样，
[04:40.250] 还有花纹不一样，然后朝着边上这一套，对觉得中产阶级
[04:44.980] 对。
[04:46.120] 而且
[04:48.040] 黑边框黑耳朵，咱们这辆颜色千块，车身同色的耳朵，
[04:54.030] 前进气格珊也不需要。
[04:56.200] 我车没看着。
[05:04.090] 标配
[05:05.800] 的
[05:07.790] 数据。
[05:09.450] 还要看吗？
[05:13.110] 的。
[05:17.740] 一个人一个喜好，每个颜色卖点特点不一样。
[05:24.360] 颜色浅一点的话，像白色跟金色的也是股白色，
[05:29.350] 这两颜色的话在北京开金刚，不用三天两头洗车，白色也显起来声音大一点。
[05:34.790] 蓝的西装吗？
[05:36.680] 颜色越深也非常蓝色，
[05:39.550] 蓝色还行，稍微还行。
[05:42.640] 反正如果说是
[05:44.380] 国外很多7号以色列
[05:47.980] 在4S店都是一样的，
[05:49.800] 你就是去外边肯定是白色的那种激活股，常见色猴泡白色这种金色都好，
[05:56.790] 这些颜色都不太好，一颗一下显白，就我听了一个问题是咱握就是说保养维修，
[06:05.600] 沃尔沃一年1万公里，那年算一次报案的话1200米，
[06:11.230] 保养维修保养费用高，看跟什么车，
[06:14.540] 要跟奔驰比登录读笔的话，咱们保养
[06:18.170] 你要是跟
[06:20.500] 别克比的话，咱保险这些肯定要
[06:24.200] 因为每个车的话换的东西不一样。
[06:26.750] 沃尔沃换机油举个例子什么机油肌肉
[06:29.940] 合成的有半合成的有
[06:33.370] 便宜矿物油可能
[06:35.520] 一二百块钱一升，
[06:39.700] 这种全国成品油肯定会
[06:45.710] 那个东西不一样。
[06:47.130] 你给我报个价了。
[06:49.820] 咱们是考虑几分用车。
[06:52.830] 你们就先了，现在了打算换他马上就好，行行，您还有它相当于现在的流程，我们对
[07:00.490] 先平常有什么新骗过吗？喜欢自驾游吗？
[07:04.150] 对，一般有的孩子住在马场了。
[07:06.870] 行，我再给您讲简单讲一下，然后沃尔沃车辆的慢一点，因为每个品牌每个面向他卖点，可以使用信息都不一样，
[07:15.770] 因为每个品牌每个地方卖点，
[07:19.090] 买操控的话，可能很多人选择宝马操作标准，奔驰的卖点是它的品牌，还有它的设计，
[07:25.230] 沃尔沃的卖点就是它的安全，还有它的环保小车C60这款车，
[07:29.780] 这款车的话，因为他跟车C9是同一个平台，
[07:33.050] 东盟最高级的也容易营销展现
[07:37.030] 在这款车上面，沃尔沃的话有这个圈子60拥有29%比例的一个朋山珍跟坦克、装甲车，
[07:44.190] 航母舰的甲板前种子在原有的同样的材质，
