[00:00.000] 先帮您办个手续。
[00:01.620] 谁知的话我来了咱们。
[00:04.220] 行一会你过来找我就行。
[00:05.840] 我这边可以约在下
[00:07.510] 上你家去开去，然后去完以后再给你送回去。
[00:12.840] 这个例子。
[00:14.190] 好勒。
[00:15.560] 电话13901074919。
[00:18.630] 这家伙晓得这个应该都认识。
[00:20.880] 可以猜。
[00:23.110] 前台您扫一下，咱们马一会我给您发一个。
[00:27.730] 柑苔桌面有一个二维码，你扫一下。
[00:31.760] 的
[00:34.770] 千万的货的家不给订货，
[00:36.680] 来不了。
[00:39.950] 哪个？
[00:41.950] 哪个？
[00:43.060] 两你拿两个的。
[00:46.500] 就像这个门这个应该是区房前台前台的不是。
[00:51.030] 前台的马上前台站对。
[00:55.360] 二
[00:57.010] 餐券
[01:00.160] 的
[01:02.880] 的。
[01:03.640] 我们现在帮助让车主先扫一下，登个记我好发，是这个意思。
[01:09.630] 你好。
[01:12.730] 按法则那根池4S电脑，
[01:17.120] 刚才咱车报关的车出险了是吧？
[01:20.610] 对。
[01:22.170] 然后您稍作帮你登个记咱们车牌号京CST116
[01:28.120] 三。
[01:29.970] 我今天限号了。
[01:33.160] 什么？
[01:34.770] 得什么时候来明天？
[01:38.410] 您过来坐下，你手机号码我发个信息到了给我打电话。
[01:42.930] 前锋是吧？OK我可能是一个加号，下面客户信息，
[01:49.410] 一个950开头的。
[01:52.570] 2013行了。
[01:55.390] 80207您给我帮您发个3，
[02:00.710] 二号我给你发短信，您确认一下，里边有了您再过去，您一会还过来找我来给你接会稍等给您发个三圈。
[02:11.010] 您是拿您134手机注册的，刚才13478908142，
[02:17.590] 8132。
[02:18.940] 好勒。
[02:20.420] 就这一位是吧？
[02:22.640] 行，给您发完了，发完了对咱们餐厅那边就能自动给您核销了，完了。
[02:27.990] 好，有什么事的话到时随时给您去电话和大灯跟您确认了。
[02:32.630] 大灯都给您换个新的了，边缘那时候已经没法修了，等我随时给您去电话。
[02:37.340] 好吧行好。
[02:39.860] 我了什么时候给你？
[02:45.250] 把电话给您再核对一下，13901074919。
[02:50.780] 中午吃个饭。
[02:52.480] 我们看看到点了吗？
[02:56.450] 好，半个小时。
[02:59.920] 该走的时间挺好的，想办法来张建你先说好。
[03:04.680] 好，身份证肯定
[03:32.790] 条1350是吧？
[03:41.690] 我明天去看一眼车，咱们喝的重用你再收拾一下想法。
[03:47.350] OK。
[03:48.220] 建波一块给您看车吗？这不正好保养吗？
[03:56.560] 问一下。
[04:06.660] 看车怎么的，明天再看看。
[04:09.640] 我弄完之后让你们等一会儿你知道吧？不是是另外还有一个
[04:15.430] 方便。
[04:18.440] 过来
[04:19.280] 快乐。
[04:23.620] 行。
[04:32.810] 先生您给我账号。
[04:34.740] 一会我这边先帮您登记完了，一会让她帮您看一下。
[04:47.990] 我没给你打电话。
[04:54.630] 车你停哪呢？
[04:56.100] 车型感觉
[04:57.690] 在昆明那边。
[04:59.120] 在保险部那边是吗？我帮了。
[05:02.250] 您得帮我们开到售后来，没事老先生。
[05:08.790] 让我想一想，好像车在那边。
[05:11.570] 我上车了，这好像修理，那您帮我们开过来，这边我等您过来。
[05:16.610] 您就停到我们售后了的。
[05:19.200] 想想因为在哪里您也不知道在哪，刚才我们看停在这儿又起了个车，好像停到那边去了，保险部门口应该是这有你们的调解，我开到这儿来对您开怎么收回来，我知道我帮您登记。
[05:33.230] 员工在给楼
[05:35.870] 把
[05:39.750] 放这边。
[05:41.640] 开车去了。
[05:43.900] 他那家物业不是在保险部那边。
[05:46.120] 这不在这吗您？
[05:48.330] 我在。
[05:49.500] 我都没看见。
[05:51.720] 又回去了，他说车应该在那边，我说你得开过来。
[05:55.370] 好让哥哥
[05:57.690] 他在哪我没看见。
