[00:00.000] 开始接车开始接车。
[00:20.200] 预演，
[00:21.890] 然后。
[00:22.310] 呢
[00:23.110] 对。
[00:25.750] 第一自然段。
[00:27.310] Star。
[00:28.700] 马上过来马上到。
[00:31.280] 你
[00:33.130] 不想
[00:37.760] 数据，
[00:40.110] 我
[00:43.410] 法制报纸。
[00:45.270] 同学们好，
[00:51.670] 没有信息走。
[00:58.920] 做个召回是吧？
[01:01.170] 就是通知我。
[01:02.470] 但其实我之前问过，他们说这个轮胎
[01:05.810] 说哪个编号，如果
[01:07.370] 您这没有轮胎照顾。
[01:09.230] 不是轮胎，那个是二二十的时候可能中国有。
[01:17.280] 那是编排。
[01:18.880] 那现在这个的话大概明天什么时候能取出来？
[01:24.280] 3:00左右，吧差不多3:00。
[01:26.500] 他这个做完之后得焦干了才行。哦
[01:31.920] 那就没事了吧。
[01:32.920] 噢给您打份单子一会儿的。
[02:12.010] 我帮你写啊说。
[02:13.940] 好，谢谢。
[02:19.150] 这应该是三。吧
[02:21.110] 嗯那没事儿，就在那儿。
[02:58.630] 您里程数是10,196公里
[03:18.380] 里面去，
[03:19.580] 然后给您打个单子。
[03:44.280] 还是。
[03:48.160] 嗯
[03:48.920] 唉请坐，你。
[03:50.360] 嗯
[03:56.670] 听清了。
[03:57.640] 怎么样？啊
[04:00.600] 哪个矿泉水？
[04:03.510] 就是有你的。
[04:04.540] 啊
[04:05.290] 好
[04:06.090] 嗯好好好
[04:11.480] 嗯这是这个的电话。
[04:13.480] Oh No，we。
[04:14.950] 行业模块化。
[04:16.840] 嗯
[04:25.320] 我们您的梦想还有
[04:29.540] 谁知
[04:31.410] 嗯嗯
[04:32.540] 就是这样。
[04:33.420] 不不不什么都不是，你那你应该开心参加了。
[04:37.320] 没有快点了，不要你看看今天
[04:40.960] 这样着这么材料
[04:42.790] 这一块了不了，那个都等着那我就看的。
[04:49.030] 但是我现在一个人
[04:52.330] 11月28号
[04:58.030] 还没进去，呢他都有什么资格，呀要不然这么出来。
[05:02.510] 那我几点钟过来的，那是。
[05:06.440] 您是不在这等着吗？
[05:08.360] 那要等3:00左右吧8:00嗯对。呀
[05:14.080] 现在东西没问题。
[05:22.950] 走
[05:30.840] 是的，噢还有男方。
[05:36.800] 被告方是否认可？
[05:38.600] 二
[05:42.000] 啥？
[05:47.260] 的。
[05:51.490] 是我吃饭的
[05:52.610] 青年的教育的要求。
[05:54.830] 什么样的东西呀是本还是纸啊还是那什么的，
[06:00.070] 就那个那个那个
[06:02.300] 后边走那个
[06:03.320] 效果都好。
[06:05.310] 然后额外跟您说一下，咱们这召回呢是
[06:08.790] 对底盘的零部件做加强加固，啊然后明天好了通知您取车，然后您加一下我这个微信。
[06:15.220] 唉先让我找一个东西给我看一眼，行，那您去吧一会回来给我签个字就行。
[06:20.910] 从来现在额外咱们这个月有两个活动，一个是关于外观维修的一个代步车补偿险，
[06:27.450] 啊还是修车赔付的一个活动，
[06:30.020] 啊价格是1498，休一次赔付你2500块钱。
[06:33.540] 现金，
[06:36.830] 对不起啊
[06:46.090] 被上诉人。
[06:47.380] 人家车出了三天之后还准备在我们这做保养吗？
[06:50.810] 嗯身上还没病，现在需要病人。
[06:54.480] 如果您准备做的话，我们是有一个保养卡的一个服务还是打折的？
[06:59.880] 啊 So. 
[07:01.510] 看了你看你这个还有一次保养，
[07:04.200] 机油机滤空滤免费。
[07:06.240] 嗯
[07:07.470] 包括家里的时候。
[07:10.260] 唉到时候好通知你。啊
[07:13.400] 我取出来您这边签下字再入车着。
[07:17.610] 能不能找到？
[07:19.190] 在右下角入车。
[07:21.910] 嗯
[07:23.950] 2013年
[07:25.180] 他说给您拿份取得单，
[07:26.900] 说好通知您。
[07:28.360] 好，您慢走。啊
[07:30.190] 呃微信微信不回打电话。
[07:34.360] 唉
[07:37.030] 好，再见。啊
[07:46.400] 那您怎么支付？
[07:47.680] 微信。吧
[07:49.010] 这是什么？啊
[07:52.670] 领导班子成员。
[08:03.630] 小时候比较难。
[08:48.910] 我现在就是
[08:50.030] 第三个。
[09:01.880] 我吃饭的兄弟走，我吃饭
[09:05.840] 给他打个钥匙牌。
