[00:00.510] 好
[00:03.800] 没拿电话。
[00:06.800] 你好。
[00:09.470] 拍完了吗？
[00:11.960] 嗯
[00:15.170] 我知道。
[00:16.810] 第二个是。
[00:17.840] 嗯
[00:18.600] 有
[00:19.360] 来了来了，
[00:23.080] 比如说就是今天客户送一下，
[00:26.070] 帮朋友看车，自己车在这保养的客户客户，
[00:32.320] 然后你后面
[00:34.410] 王美琴好了吧？
[00:36.870] 然后像刚才
[00:39.630] 那个白色的呀白色的现在听着没有找车，
[00:42.820] 就觉得这个说马路上开的特别特别多，嗯
[00:47.710] 很喜欢大头钉软件。
[00:49.560] 对，因为它条件是天窗，所以它底是黑的。嗯
[00:52.900] 然后您
[00:53.800] 就是咱那个说那200，他是想听他，所以他点头黑了。
[00:58.280] 他就是那样。
[01:00.690] 嗯200天窗。那个
[01:02.720] 嗯我们这个260是这个这个产品，
[01:07.550] 他差多少钱呢？
[01:09.180] 两人办学的差不多有个四五万。
[01:11.940] 你看看是不是
[01:14.110] 它也不一样。
[01:15.260] 配置不是不一样，一个是1.5t的发动机，一个是1.5t加48次电机的发动机。
[01:21.730] 挺好的。
[01:22.980] 然后大小空间怎么样？应该是一样的，吧就是外形也一样，这个点那个
[01:28.910] 真的真的。
[01:29.440] 就是
[01:30.640] 你。
[01:31.070] 这个
[01:31.590] 就这样
[01:32.520] 和
[01:34.260] 然后260败步一家就好了，200没有了。
[01:38.070] 然后外观前脸也长那样，
[01:40.160] 嗯
[01:41.820] 用的就是上班了。
[01:44.280] 他说我不知道了。
[01:45.520] 要是。
[01:46.400] 200的话就是看看。那个
[01:48.160] 对对外观的。这个
[01:50.840] 流动的。
[01:55.080] 他卖下来为什么？
[01:57.020] 对。
[01:57.410] 啊
[01:58.280] 他们要。
[02:02.350] 嗯
[02:06.470] 呃发放了5万，
[02:07.770] 那我就算了。
[02:10.950] 差不多是。
[02:13.090] 20. 
[02:13.960] 29号。
[02:15.950] 这第二点是吧？
[02:17.360] 在上海跑的太快。
[02:18.870] 又到高铁站吗？
[02:21.150] 啊
[02:22.940] 这边他这车的总价的30%，
[02:26.520] 嗯嗯嗯
[02:27.960] 嗯31号晚上。
[02:36.300] 不要
[02:37.650] 不在那里。
[02:38.460] 然后换车频率高吗？
[02:40.170] 你像这个
