[00:00.520] 2020年7月22号，
[00:02.840] 范志豪客户薛晶晶教授录音，我姓郭，郭进负责您这个车子功能介绍，前面小贩给您包括订车出生大票保险，
[00:11.930] 我主要负责一个功能的讲解，
[00:14.040] 时间咱们差不多在40分钟。
[00:16.330] 之前首先有开过奔驰车辆吗？
[00:18.720] 没有试驾过是吗？行没事。
[00:22.390] 车上有一个密互联的功能，我待会给您认证激活，讲完功能以后咱们有一个
[00:28.380] 客服的面粉对应签几个字就可以，咱们先去车辆，
[00:45.810] 咱买的是交C3260。
[00:48.220] 一会车。
[00:49.130] 黑内饰。
[00:50.330] 车间号咱们自己再核对一下。
[00:55.610] 569280。
[00:57.760] 跟您签的合同都是对应的，对，没问题的话，哪位主要开坐副驾，一位坐后边咱们讲一下功能。
[01:06.210] 我知道看您多付价。
[01:14.570] 一进来一会儿还不行。
[01:16.500] 夏天
[01:18.410] 相对挥发的会大一点，
[01:22.330] 不要是启动是标配钥匙，在车内踩刹车，按一下启动键就可以了，就这么学，将来能够形成一个
[01:32.150] 露点生活，
[01:35.000] 首先座椅的调节，这个车都是在门市大扭市座椅的前后和高低。
[01:41.250] 包括靠背，
[01:42.360] 头枕没有用手动的。
[01:46.010] 还有前后调整收的话。
[01:48.590] 推进卡扣是收上线。
[01:51.130] 我知道对这个是头枕。
[01:53.760] 有一个附加调节，点亮以后我再动座椅，
[01:57.340] 您的位置方便，司机帮助优厚，他们也可以你可以自己调自己，主要是司机帮助又后来调位置，
[02:07.200] 我只开锁中控是一致的。
[02:10.090] 这个案件收镜子洗车机坐车手动去调整，
[02:14.850] 也可以自动是吧？对锁车自动设施他要单独设定，
[02:19.120] 按量左侧左边镜子根据视角4个小箭头一条位置，
[02:24.080] 横梁的右侧对应右边是一致的，
[02:26.890] 4门玻璃一键升窗控制，下边这个件点亮，
[02:30.810] 后排的乘客玻璃是锁止状态，小孩你想定就可以。
[02:34.760] 后备箱的位置是最像金属线，
[02:38.810] 往后一下是打开，
[02:40.400] 往前长按是关闭。
[02:43.210] 大灯的位置。
[02:44.110] 一致左手圆圈区域，
[02:45.950] 小树限制像IOTO自动挡，只要光线不够，咱们的大灯会自动开启。
[02:50.760] 心碎到下地库爆满，咖啡大灯不做任何操作。
[02:54.600] 左侧顾登宇雪天恩一下开的时候。
[02:58.040] 橙色小灯提示您。
[03:00.780] 右边那个。
[03:01.730] 小小鸟上下旋转式仪表盘的亮度调整。
[03:04.880] 手刹变成金属件。
[03:08.050] 往下按。
[03:09.110] 世上所这个是手刹标识，
[03:11.840] 解除提起来本身是电子手刹，平常不控制，为什么？
[03:17.320] 上锁的状态下，咱们挂挡的话
[03:21.390] 自动就解除了。
[03:23.060] 停车摘到P档，
[03:26.230] 你不用把它灭车一开门，
[03:29.040] 这课程动用杀手杀
[03:31.360] 了，所以手刹大堂都是电子的，不用管。
[03:35.130] 放盘左侧只有这一个胆敢集成的功能，首先小巷灯左右一样，
[03:41.910] 雨刷是分前后的小三角式前雨刷指向零，现在是关闭，
[03:48.060] 两个虚线是感应挡开的话往上顶指向虚线，直观一次，下雨会自动刮刷，不下雨不刮风。
[03:55.650] 第二个速度比下面快灵敏度也更高，
[03:58.400] 单实现双实线强制慢速度一直关，
[04:02.200] 快速路一直冠科技需求去选择，
[04:04.870] 玻璃水就这案件
[04:06.660] 按住别撒手就出现了。
[04:09.020] 晃人的话都回来闪两下，远光推出去是一致的。
[04:13.470] 方向盘的调整，手动的海报在这打开，
[04:17.780] 根据习惯前后高低调完以后想着锁死就可以了。
[04:23.240] 中控的控制这三个文件控制左侧仪表台，
[04:27.040] 这三个控制右边
[04:28.920] 小房子主界面，您首先按一下出现这些列表，
[04:32.810] 黑色按键直接左右滑动去选择，选好了一下是确认。
[04:38.230] 保养里边首先
[04:39.930] 行驶一段时间会有4个轮胎的压力值，
[04:43.070] 缺T会有报警，
[04:44.540] 保养的话也会有预警，包括
[04:47.950] 等卸机油费用确实都有提示您，
[04:51.000] 形成你这个车的基础信息里程9.8上下滑动，
[04:56.520] 蓝色的剩余油量续航124公里，
[05:00.440] 平常车辆的一个价值观记录，
[05:03.410] 百公里油耗平均速度驾驶公里数，
[05:06.300] 总体成绩好驾驶平公里数，
[05:08.600] 当前速度
[05:10.190] 导航、收音机、媒体电话这4项和右边是完全一致的，
[05:15.670] 内容是完全一样的，待会右边做介绍。
[05:19.120] 样式指的是车仪表盘的风格，现在是经典，
[05:23.940] 根据喜好切换成运动，
[05:25.970] 或者是前卫，喜欢哪个自行切换，啥意思？
[05:32.160] 档位的变化最大，首先怀档的一个设计提示都在，这个案件就是P挡
[05:38.520] 挂到必须踩刹车，否则挂不上的在刹车往下，
[05:42.790] 党委跳转手刹解除，雷达会在右边大平潭屏出现，前面有一个锥筒，咱们随着距离的接近，雷达自动能蹦出来了，
[05:53.160] 颜色黄橙红，
[05:55.280] 离得越近，小格的颜色越深。
[05:57.970] 红格亮警报警现在离锥桶差不多就35分了，
[06:01.900] 像ge红格亮就不再动车了，
[06:04.880] 倒档上推到底，
[06:07.000] 只是后影，
[06:09.040] 灰色的很明显是后保险杠，
[06:11.490] 这条红线是车辆停车的临界点，两个内侧的大宽限是您轮胎的井口位置，
[06:17.390] 动方向盘它也会告诉您怎么拐弯，
[06:21.120] 后雷达一个是看着的小红格，一个是红线，什么时候您就不能往后倒了，咱们看一下。
[06:27.600] 这后边是玻璃门对不对？
[06:30.210] 距离接近它也会提示
[06:32.840] 红线上食物
[06:34.800] 波杠离玻璃门就这么远了，就不能再动了。
[06:40.290] 两边4个门左右哪里进来都会有提示，就记住红格亮不动车了。
[06:45.370] 停好车需要做的
[06:48.120] 摘挡
[06:49.220] 归档，
[06:51.080] 然后直接灭车，手刹会自动
[06:54.190] 火车离开就结束了。
[06:58.340] 右边的大屏幕，首先咱们的开关是这个案件按一下断电或开启咱们就不关了。
[07:05.110] 操作的话这三个硬件以及中控板都是控制右边的
[07:10.000] 小房子小房对应的当前主界面，
[07:12.860] 直接左右滑动，点击确定这个是一致的。
[07:16.680] 把您电话拿出来来个电话给你练一下。
[07:19.660] 同时
[07:21.110] 屏幕它是触屏控制。
[07:23.000] 实际联系你了吗？
[07:26.210] 都行，可以连同石林、
[07:28.840] 蓝牙
[07:31.080] 看一下。
[07:32.060] 打开蓝牙。
[07:33.660] 您这个叫P10R直接点就行了，连接设备，
[07:38.550] 他会找到当天的蓝牙，这是您手机的点一下，它会提示手机做一个配对，
[07:44.500] 演配角。
[07:46.750] 您好，稍等您我练完这个等您。
[07:54.650] 您看
[07:55.500] 电池电量，
[07:56.960] 移动信号是您的这个您手机所有的通讯录马上就同步了，
[08:02.300] 来电一波的同时，屏幕手机同时显示自己开车这个案件
[08:06.800] 上推接听下推挂断。
[08:10.770] 你是在您手机存的叫什么？
[08:14.110] 因为我忘了这次
[08:15.980] 只要写他名字，
[08:19.500] 薛晶晶是吧？我给您做个演示，这个车他是有升空系统的，您列完蓝牙以后想打电话怎么用，来咱们看看这个文件
[08:28.830] 上推一个说话的标识，首先上推
[08:36.620] 请告诉想要拨打的号码或者联系人的名称是京。
[08:44.070] 请您选择一个联系圆点，一个就自动付出了，结果是一个电话就一个电话号码它就自动付出了，您这样选一下就可以了，我也不知道哪个是的。
[08:54.850] 您就回头更新一下收音机所有的调频也都存好了，
[09:00.560] 左右滑动快速切换，这也是一致的。
[09:03.760] 音量上大下小，这也一样找到自己喜欢的调频，想存储，点击小加号，
[09:10.880] 进来了清除选项删除，
[09:14.160] 或者咱们用声控去调整调频
[09:18.120] FM94.5，
[09:23.150] 他就切过来了，好了，手机听歌就选择媒体，
[09:27.440] 已经默认是您的手机蓝牙歌曲了，然后直接用手机放歌就可以了，我手机B点。
[09:33.670] 对用手机放歌就可以了，任何不放弃就行，现在这个南门
[09:39.340] QQ酷狗这个东西我还没到，我这不是刚看到你，我马上过去，小朋友让小朋友过去拿，
[09:48.600] 大概四五分钟
[09:53.050] 回来手机的。
[09:55.160] 好的，我马上过去，让小朋友过去。
[09:58.880] 好的，你看
[10:01.440] 随便找个播放一下就行。
[10:05.610] 直接就放了，没有问题。
[10:12.120] 平优盘就选择USB。
[10:15.680] 看一下这个车辆里相对功能会多一点，首先辅助项里都是这个车的主动硬件的钱，不好意思，我们这边还没忙完，给你点了外卖，外面已经到了南门了，关闭是一个蜂鸟外卖
[10:30.020] 点的煲仔饭，对应的一些小功能，对，是不是已经到了你去取一下好好照顾好自己安全的，
[10:39.010] 记得在会为您一下有预警，
[10:41.530] 锁车咱们让喇叭响一声就提示，
[10:44.900] 包括咱们所车速1~15公里中控自动录，
[10:49.440] 还有就是锁车镜子电动车这些队都开始了，包括待机模式，对没有啥意思。
[10:55.760] 先
[10:56.780] 平台化，
[10:58.130] 关闭列车的状态下，才能选择着车，选择不了她什么时候干嘛用，比如说您这个车长时间不开，怕电瓶亏电，
[11:06.660] 灭车以后把它开启，它会把电瓶供电量降到最低，不至于说您长时间不开再打不着火的一个状态。
[11:14.400] 赵明理首先
[11:16.300] 咱们锁车走的同时，大灯可以照亮一会再自动熄灭，建议咱们15秒一般够用，
[11:21.990] 车那件事也是对应，还有晚上停车左右，镜子下面有小的到底更冲着这有吊灯有
[11:29.490] 晚上他会出现R系统里时间给您对应一下，
[11:34.470] 时间不对，市区没选，
[11:37.930] 选一个中国就可以了。
[11:39.850] 也相对最下边按字母排列的，
[11:47.520] 要是能反过来转就好。
[11:49.370] 什么所以语言控制不了吗？叫什么系统设置什么语言控制不了吗？什么叫语言空洞？反正你失控搞声控那个。
[11:58.030] 这个不懂，他是用几个固定的，就只能打电话听音乐或者那几个对。
[12:06.840] 这样
[12:07.710] 表情切换过来了，都变成自动了，就不用管了。
[12:11.210] 咱们看一下这一行金属件都是车辆空调的手动调整，蓝红箭头左右的温度上下下
[12:19.950] 风向处于什么位置才能导致面脚下不停去切换？
[12:23.910] 风量最大是7冠，第三个念您要一直关到头才是断掉。
[12:30.090] 对，开的话都可以无所谓，自动空调设定一个合适的温度，点亮凹透镜车辆位置保持这个状态。
[12:37.740] 雨血天如果是起雾了，前窗后窗除雾点量就可以
[12:42.340] 按键亮灯，不亮灯状态是分区空调，个人控制个人温度，亮灯变成重复状态。
[12:49.510] 现在是外循环亮灯、内循环雾霾、扬尘制冷开空调，咱们建议内循环，夏天制冷必须开AC才可以，我都没有这种状态。
[12:59.750] 出风口小竖线冲上都是开启，
[13:03.450] 王卓宁水平都是关闭，这都是一样的。
[13:07.340] 这都是快捷键，电话已经进入，
[13:10.770] 导航没有，收音机和蓝牙歌曲是一个，但一下收音机
[13:16.490] 车辆，
[13:18.120] 还有像5星是一个收藏家，图标跟您手机的小程序一样，它可以承受顺序的，根据自己的喜好排列，
[13:26.460] 双闪在这个位置，
[13:27.960] 这儿有两个杯托，不用的话咱们关闭这就可以。
[13:32.230] 再有金属件，首先是车辆的驾驶模式，它对应的是右下角蓝底的C字母上下选择一共是5种状态，分别是节油、舒适、
[13:44.910] 运动家这4个模式由低往高涨，每上一档您车辆的功率都会对应放大，越往上这车提速越快
[13:54.110] 越有劲，但是相对油耗会高，
[13:56.500] 一般的建议C就过时了。
[14:00.190] 第二个雷达关闭，我刚才离近了，演示了黄橙红的小哥提示，
[14:04.820] 按键点亮，全车雷达关闭，洗车机的时候临时会用到，
[14:09.560] 平常保住工作就可以了。
[14:12.110] M是手动挡，对刚才教您挂倒地状态，它是自动开手挡的时候看一下，
[14:19.450] 它会变成M状态，现在换挡方向盘左右会有拨片，右侧一下是贾岛，
[14:25.950] 左侧加是减倒，对手动状态下，不管您给多大油他都不会换。
[14:32.390] 如果行驶过程中发现这个模式不对了，要按一下它切换成正常模式才可以，要不然就会出现
[14:39.910] 光减油不走坐车对。
[14:43.480] 自动启停，每次在您启动的时候，小灯会默认开
[14:48.000] 亮灯，开车一段时间以后，水分由于这种工作状态的同时会出现什么情况，就是这个车只要杀停静止，
[14:55.230] 发动机会自动熄火。
[14:56.860] 用是结构减排，基本上北京比较堵也用不太上，启动以后建议直接手动完毕就可以了，不要用激动气体采用很频繁的奇景对发动机并不好，对你要是不堵车您正常用，堵车就不太建议用。
[15:13.870] E sp永远不要关，对，尤其是大型天性，什么关还是关了，这会有提示，这关
[15:22.350] 不要让它出现不出现这是什么？
[15:25.240] 防止侧滑停车。
[15:27.550] 车。
[15:28.330] 车。
[15:28.830] 汽车监控是哪情况？
[15:32.020] 什么这不是他自动泊车，不是行车记录仪，我也行车记录了，您没装。
[15:40.120] 说说一下，他不是
[15:43.150] USB接口，他是那种小面馆叫GPS，对回头咱们如果是现充的话，
[15:48.940] 得买一个PPT的转换头还可以充电。
[15:52.100] 上边的话这一排灯光都对应简单试一下就可以流动中左侧对应的右侧，
[15:59.310] 然后给您设了一个开门亮灯，晚上比较有用，
[16:03.790] 光好似门自动熄灭，但这个状态就是开不开门都不亮灯，知道一下。
[16:09.980] 前排的照明，
[16:11.670] 然后是后排两侧都是可以独立开启的，包括化妆镜。
[16:16.800] 这两个是刚才给您介绍的叫密互联的功能，这车内有一电话卡已经内置好了，跟您这手机又没有任何关系，在激活这个功能以后，这两个案件您它会自动接到奔驰的服务后台，
[16:29.760] 两两个案件不同的作用，泌标识信息咨询，比如说
[16:35.250] 想订机票酒店餐厅查询兴趣点，旅程的咨询服务，或者说咱们车辆有问题帮忙了，道路救援都是右边这一个，
[16:43.810] 中间这个紧急呼叫，
[16:46.360] 行车过程中假设遇有人员受伤或是紧急情况，
[16:50.470] 红色的充值链接后台120都是自动连接的，现在咱们不占用
[16:55.690] 天窗和遮阳帘，就是这一个案件往后的第一下先打开的是遮阳边，
