[00:00.570] 2020年7月22号刘伟将客户
[00:04.150] 处罚金教授录音。
[00:05.880] 您是委托人车也是您用是吧？
[00:09.190] 我姓郭郭进，负责您这车的功能介绍，之前有开过奔驰车辆吗？没有行，买的是一方买，然后咱们车在外边咱们去看一眼，然后功能在车上做介绍。
[00:20.400] 车上有一个密互联，我待会给您认证激活您的身份证带了是吧？
[00:25.360] 待会给您手机下载软件，来我开始说。
[00:42.240] 这一台
[00:44.670] 黑车棕
[00:46.420] 一三百，车架号您再核对一下，547793，
[00:50.530] 跟您签的初始合同，还有委托书都是一致的。
[00:55.340] 对，检查一下外观电视，他那车桩是给您做完了。
[00:59.680] 那个车一都贴完了是吧？完了吗？
[01:02.770] 车一我还真不知道，应该贴了开店应该有装饰单。
[01:08.550] 不看他手机，
[01:10.280] 我们跟着经常也作业了。
[01:13.900] 贴过了。
[01:15.350] 吃过了，对，能看到。
[01:20.670] 贴过了吗？
[01:22.900] 贴了。
[01:24.070] 了吗？对。
[01:25.730] 走。
[01:27.480] 你看。
[01:28.890] 不是车间的严可能摸它是有
[01:44.270] 行车记录仪、脚垫、后备箱垫，
[01:47.080] 然后车一还有一个空气净化，这都已经说过了。
[01:50.870] 空气净化也错过了，对了。
[01:54.360] 感受一下。
[01:57.060] 行，您就上车。
[02:02.620] 我怎么还拿？
[02:07.280] 我跟您说攻击花做完了。
[02:10.990] 皮试的东西。
[02:12.270] 一或者他多少有教您才能。
[02:14.560] ID1晒多少就出发了，
[02:17.530] 无钥匙启动是标配踩刹车，能见前提阿披在车里，
[02:22.440] 车辆会打着座椅的调节，奔驰的车辆全都是在门市在这，
[02:29.550] 包括咱们座椅的前后高低，小牛的话座椅的延长，
[02:34.840] 还有靠背头枕全都是咱们电控，
[02:38.870] 调完位置的话，座椅是有记忆的，比如说这位置您调完了合适，咱们按一个M对应的数字，
[02:47.290] 第一声以后它会锁定这个位置，如果这个位置被变化了，
[02:50.960] 您按自己存的位置它会自动复原，社三组不用来回老条。
[02:55.760] 全排的座椅都带有加热。
[02:58.490] 手动的简短关闭可以。
[03:00.620] 冬天用的会非常多，这个是副驾调节点亮以后，我在动作也是您的位置，方便司机帮助优厚调座位，
[03:08.600] 所指开锁中控是一致的。
[03:11.020] 上面
[03:12.650] 收镜子、洗车机凑车，咱们手动去调整一下，
[03:16.070] 按量左侧调节左边镜头视角，根据习惯4个小箭头对应位置，
[03:21.330] 梁右侧调节右边是一样的，
[03:23.930] 4门玻璃都是一键升窗控制，咱们车后排有电动遮阳帘，
[03:29.420] 后排的玻璃操作试两下，第一下三下联，第二向下剥离起的话也是一样的。
[03:37.600] 最下面那个文件点亮以后，坐在后排的乘客两侧玻璃是锁止状态，
[03:42.610] 拿小孩的话想着手指就可以，
[03:44.820] 后备箱的位置，门的最下面金属件往后等一下是打开，
[03:49.840] 因为是电尾您往前长了你就关闭了，不用下车，
[03:54.310] 编委直接关就关上了。
[03:56.730] 大灯的位置，咱们车辆左手圆圈区域小出现指甲又TO自动答，
[04:02.300] 只要光线不够打动自动开启，
