[00:00.000] 我不管了。
[00:01.210] 消费588的，然后咱们
[00:06.770] 在座的都可以了。
[00:14.410] 现在稍后看一山买的农业说
[00:26.080] 不见得。
[00:27.920] 你下午1点。
[00:29.210] 我想象了。
[00:39.550] 没事你别找了。
[00:41.260] 先走吗？
[01:01.400] 街头。
[01:08.290] 您先生是吧？
[01:09.400] 就等着胡先生。
[01:11.140] 不好看。
[01:12.000] 还有我没票我看到。
[01:13.900] 1372有吗？对智能化来脑袋您把快递号码。
[01:20.740] 扫完了就在一张脸上看，这个是最好的，对AMD，版本属于性能。
[01:27.360] 这个是第三版。
[01:28.490] 的话，单位价格开差挺多的，应该是对吧？达到120
[01:36.080] 因为这个属于性能，就是说您感觉咱们
[01:41.460] 然后买个实用
[01:48.900] 白。
[02:01.820] 这个就是分两种标，一个立交一个运动大，
[02:08.040] 官方指导价都是一样的。
[02:09.740] 这材料不一样，然后剩下的长宽高都是一样。
[02:14.090] 规定的。
[02:15.330] 对，咱买绿标一定买黑色的。
[02:17.640] 要经典，为什么？
[02:19.970] 除了反映之后为什么谁知
[02:24.720] 班都不拿不。
[02:26.570] 往下流，白色越来。
[02:28.490] 了，对26年25唯一还是蓝色，我们就给摆上。
[02:32.780] 还有看看市场，
[02:36.100] 20都看不了了，现在办完了北京行了吃饭。
[02:40.160] 行了时间。
[02:42.960] 我看这是时尚，时尚的话基本上是7左右，然后豪华50。
[02:48.700] 对运动的运动是放量，这叫
[02:52.150] 时尚轿车。
[02:53.880] 运动大专还比较时尚运动。
[02:58.870] 有真的有什么活动给您报的都是优惠完的，价格现在基本就是来
[03:04.630] 现在基本上能优惠到65,000。
[03:06.630] 没有。
[03:08.000] 优惠完了就是全部。
[03:09.790] 上来是。
[03:11.780] 对在时尚就是300。
[03:13.760] 基本的话300有一个高配就包含了
[03:17.690] 原来要好，现在叫思想，
[03:20.230] 比如说我们叫习惯。
[03:21.590] 了那种可能360的影像什么都有。
[03:25.660] 已经就有了，后来自己调节，就像刚才您说的。
[03:28.270] 高速才有了，这没有。
[03:30.150] 后边会跟是电动还是手动的？
[03:35.690] 时尚版的。
[03:38.040] 看您在家用，咱们还说有点偏商务，如果自己家用时尚够用，但是。
[03:44.510] 反正差3万性价比。
[03:46.230] 挺高，他们多少多的功能还挺多的，国内的您。
[03:50.370] 我们一般就加入
[03:54.140] 而挺好一个这一点黑麦都不行。
[04:01.170] 离开
[04:04.530] 轿车舒适性高，跑长途出去玩玩的话，开时间长不累？
[04:10.120] 最大的诱惑就这样，没有给。
[04:12.690] 的也很，您有置换吗？
[04:14.670] 也不知道我这话的话还能。
[04:16.540] 带着门口贴一个5000的保险。
[04:19.000] 因为我们再去看看。
[04:22.980] 一定是。
[04:24.540] 水根的吗？没搬走。
[04:28.570] 情绪。
[04:29.420] 她能里边便宜这种。
[04:32.660] 便宜工厂，因为现在透明，价格非常丰富，对，他们都是站在这里，就是说。
[04:38.000] 就这样总体下来的差不多。
[04:39.930] 吗。
[04:41.010] 来看毒品，您看车价是怎么优惠多少，现在都是千五。
[04:44.660] 车辆动车的票了，对希望
[04:48.130] 还真挺多的。
[04:50.280] 我估计网站现在非常的。
[04:52.810] 黄华差不多，时尚可能稍微少一点，就时尚了能够千五。
[04:58.540] 再也不用算之后没算不过来，谁知
[05:05.000] 是吧？您算是话我给您算算找个位置，他那个是下来之后实施，我们其实这车我们就看看了好几回了，
[05:14.050] 去年就想换，因为实际以前一直搁着是吧？对，然后我们这正好差不多了，我们他力量还是大标立标的，绿标标着我肯定是要给你标准。
[05:25.340] 立交的时尚好像优惠力度大点，
[05:28.250] 但是力镖有点豪华，优惠力度没有那么大。
[05:30.980] 运动大标的A60挺好看的，颜色好看。
[05:37.330] 20的配置稍微低了点，咱就封口了，可能是1.5的会稍微的
[05:44.460] 东西也没有，而且300的
[05:47.270] 所以您拍的话其实不明显，不能主动的。
[05:53.990] 您看看颜色。
[05:56.530] 他们那边200全下来是398,000。
[06:03.090] 两三道全下来，两吃的差不多40，
[06:06.720] 但是两次他连座椅加热都没有了。
[06:09.850] 还分两驱四驱是吗？对咱们这是两区都是两四驱会贵一些。
[06:17.110] 有进口怎么样，不能咱也有进口的优惠力度大更好用的力度。
[06:22.090] 太小了。
[06:23.850] 你基本上就3万左右，因为车太少了，一个月一排。
[06:27.930] 可。
[06:28.760] 进口的无非就是配置稍微低一点。
[06:31.680] 二，然后周期稍微短一点是吧？其他的您。
[06:34.430] 带着孩子，我觉得您就买一个加长版的性价比。
[06:39.250] 你300时尚地标是吧？
[06:46.200] 整个月光是灰，
[06:47.830] 但那不是县城汽车业。
[06:50.700] 8月底9月初
[06:53.120] 还不是亏损，要亏的。
[06:55.320] 黑的多，科技两还可以了，三5800我给您算一个，你对比一下。
[07:02.640] 如果说便宜个75,000。
[07:06.280] 还有保险这些东西可能还剩了点。
[07:11.700] 如果有置换送保险，如果没有规划的话不送保险，
[07:16.280] 保险你付多少？
[07:18.210] 可能是。
[07:19.230] 5000。
[07:20.230] 你说5000他们是送8000。
[07:25.700] 在哪家店看玉泉营有一个。
[07:28.080] 有钱人的彭湖大道。
[07:30.210] 也有现车。
[07:31.990] 对有现车。
[07:33.200] 然后
[07:34.800] 杨桥那有一个
[07:37.230] 不是两条。
[07:39.090] 好。
[07:40.020] 花香有的他们都有现车，
[07:44.410] 我们只是就想比较一下价格，
[07:46.750] 反正价格就比较透明，但是75,000我看
[07:51.590] 而且还什么都不绑定，装饰什么的都没有。
[07:54.210] 州市有一个5
[07:56.340] 超出5000块钱也不能有什么，我不知道，他说装饰就5000什么镀膜什么的贴膜，
[08:03.330] 还有贴膜，他有镀膜，然后大包围脚垫后备箱亮，
[08:08.850] 他那5000块钱肯定下不来。
[08:10.970] 成本都没有，他说是没有看我老公照的照片，然后他一个有照片的时候，好像装饰是让我们选的。
[08:19.550] 5000. 
[08:21.050] 5000的，然后听过我说原来不是这个价格，现在搞活动
[08:25.580] 就只需要交5000就行了。
[08:27.620] 他里外里真够低的。
[08:31.590] 应该
[08:32.870] 到不了那么低，然后。
[08:35.610] 保险
[08:37.690] 11,000
[08:39.130] 1万送一个8000，
[08:42.000] 给我们就超2000块钱就行。
[08:45.780] 您这车1万也下不来，保险对，他说就是说只送1万的，然后。
[08:51.560] 然后就不是选就大概得1万1万左右钱，对这样保险差不多，然后就是说你这几个险种你选，然后到1万了，我你就需要花2000，然后你再向你商量这几种之外的，你看待会再掏钱，那么它都是这意思，我就我说这不让。
[09:08.760] 对，然后他给我算了一下，置换的话是
[09:15.610] 补贴8000，然后国家补贴5000，一共13,000，
[09:20.510] 他把我的车已经评估完了。
[09:23.040] 活三。
[09:27.620] 应该是。
[09:30.040] 厂家是5000的保险补贴，然后您国三的要么外迁的话，国家给5000。
[09:36.810] 对，国家给5000才给8000。
[09:38.550] 对那个是成本价给8000，对S店给的。
[09:45.430] 给了一个
[09:46.930] OK。
[09:47.680] 我给您退一下，还不是保险就直接置换的。
[09:57.690] 三
[10:00.300] 没。
[10:01.680] 认为这二楼有点危险，你看着他。
[10:08.540] 后来你作证
[10:11.080] 算出来多少？
[10:12.440] 他政策。
[10:16.160] 他是国三他给您走转出是吧？转8。
[10:21.310] 然后给一个一共13,000是吧？
[10:24.380] 现金是吗？
[10:26.720] 没说，反正说不是厂家的资金，13,000厂厂家，这个是全国统一的厂家补贴，您像您国
[10:36.380] 车转出买这款的话，一共2000保险，
[10:40.120] 然后如果保险还是
[10:42.740] 这个是全国都一样的，
[10:44.730] 然后如果是您报废的话。
[10:47.950] 5
