[00:00.080] 周女士是吧？交流。
[00:05.510] 您好，是周女士您好，是第一次来吗？您？
[00:08.760] 有熟悉的或预约的销售顾问吗？
[00:11.300] 给您张我名片，咱再销售给我留赛，由我来接待您。
[00:15.180] 有看这车行吗今儿？
[00:18.070] 排然后家庭的，但是我觉得这些都
[00:21.360] 特别窄，然后我的预算大概在
[00:24.490] 40万。
[00:26.330] 可以看看一。
[00:27.950] 是吗？对。
[00:29.990] 考虑轿车还是SUV要怎么样，我其实
[00:32.360] 是比较喜欢电脑，但是他们说
[00:38.190] 可能就是说要百分10的话，可能是那种这个价位可能比较难买的。
[00:43.780] 国产的问题也比较多这种。
[00:46.180] 意思现在是咱们空间稍微大一点，对各方面稍微好一点。
[00:51.980] 卖的比较多的。
[00:57.360] 喝什么吗？您咱这咖啡茶水矿泉水修车什么的。
[01:06.440] 前面给调了前面的座椅，
[01:19.280] 1260，
[01:21.440] 现在是429,800，然后现在能有一个7万块钱的
[01:26.320] 优惠完359,800都办完的话，大概也就39差不多40。
[01:31.240] 40，然后什么你们后续的保养什么我看现在好多了。
[01:35.570] 保养现在有的地方先分时也开始从保养，咱百分都没有。
[01:42.710] 我看到也是奔驰，但是我知道怎么的。
[01:45.560] 现在bl5C有LC有ea B有两次保养，其他车型没有
[01:49.930] 把关车型，
[01:51.950] 然后奔驰直接推出一个服务公约的，先跟您宣讲一下服务攻坚的内容，现在是以客户为尊，以礼相待，
[01:58.500] 诚信经营、合法得体，明码标价、公开透明，配件渠道清晰公式。
[02:03.050] 现在奔驰绝不捆绑销售，强制您消费，也不会使用假见一次充卡，有厂家的监督电话是4008181880都可以随时监督，
[02:12.890] 准备考虑分期还是准备全款，
[02:15.570] 因为现在也都不收服务费来分析，对。
[02:18.620] 因为我觉得跟你
[02:20.200] 全款跟分期有什么区别，就后续你我比如全款的话，你们这儿的有的不是赠送，你比如说大肆他可能就是分期的话怎么样，然后你这个就没有区别，一是
[02:29.920] 现在他就是这样，
[02:32.760] 分期原来是要收服务费的，现在不收了，就这个区别，然后价格是一样的，没有什么额外的区别。
[02:38.480] 你要钱等于说我一次交或者是分期交也没有额外优惠，对，然后就分期就好在您用一部分钱你可以用来做别的用。
[02:47.560] 他是有要求的，首付是首付50%利息最低，然后也可以20%最低是
[02:54.150] 多少利息的话像这个车的话是2.45年利率，
[02:58.440] 首付50/200两年，
[03:01.210] 三年是二点八几，
[03:05.370] 就是说其实要是这样的话，合下来还是比要一点点的多点，
[03:10.880] 但利息跟银行比的话肯定是要低一些。
[03:16.280] 他们现在有的就什么颜色？
[03:18.790] 颜色一般常卖的就是黑色，这种车是黑色卖的最多。
[03:24.880] 然后包括还有一些比如别的车间还有C
[03:31.510] 什么？
[03:32.640] 对调C跟运动版的plc，
[03:36.570] 一个国产一个进口。
[03:39.170] 对。
[03:42.680] 店
[03:46.300] 对这是gl，C300。
[03:48.550] 这是plc R60。
[03:57.720] 大概多少钱？
[04:02.440] 现在要都办完的话大概60的优惠。
[04:06.660] 300。
[04:08.670] 然后26260现在都问完了，大概40。
[04:12.630] 这个挺合算的。
[04:15.040] 其实我当时初中会想买一个，后来他们都说我这钱还不如买花。
[04:20.770] 是多少？
[04:28.720] 市里了吗？
[04:31.780] 觉得好，没有不是一个级别了，对那个是高配，这就是B然后要高配的话，比如说他也有300，
[04:41.860] 300的话是44万多，
[04:44.220] 然后都办完的话大概得46，
[04:54.520] 这就是260的低配。
[04:56.990] 然后260俩配一个高配低配，
[04:59.500] 他有高胆高，他也知道是422,800，比这个稍微有一点区别。
[05:03.960] 轮毂不一样，前脸前脸就是满天星，
[05:08.010] 就跟A是两边是反转的占便宜，
[05:11.240] 然后会多几个多桃木内饰跟自己加热，
[05:14.240] 这个不用回家了，
[05:18.390] 然后差了3万块钱，
[05:28.560] 反应胆子小了。
[05:30.240] 空间是吧？
[05:31.570] 运动版不加糖，
[05:34.070] 这种都是家常。
[05:35.560] 空间会打人。
[05:37.520] 然后准备是旧车置换还是只跟我说？
[05:40.350] 我很快我谁知反正平常开车使用感受怎么样的，
[05:47.250] 现在的这种说法。
[05:48.960] 您因为每个车型都有补贴，像一的话要置换的话会有一个5000块钱的保险补贴，要C会额外有一个6000块钱的保险补贴，
[05:59.110] 能补一部分保险，
[06:02.120] 那个车就
[06:04.120] 得到
[06:05.160] 保养就是什么都没有了，后续是怎么个保养法，一年或1万公里换一次。
[06:10.850] 对1万权益。
[06:12.880] 2万的都是B保养，多一个空调滤芯。
[06:16.310] 对。然后lc现在能
[06:21.520] 这样4网上能活着两年，
[06:23.480] 每次差不多如果是这样的两2万公里或两年，
[06:28.350] 然后奔驰保养也不会吗？谁知对吧？反正现在咱们奔驰是比如plc光颜色1158，
[06:36.670] 一的话保养一次是900多。
[06:38.880] 550。
[06:40.660] 大量大了多大的时候就66万公里，那个时候很多年以后他可能换一些变速箱油，包括
[06:48.630] 像他说油他们都换了之后再大几千七八千，
[06:58.690] 谁知四
[07:01.110] 5333
