[00:04.920] 你好。
[00:06.230] 您好，百得利奔驰您来一下咱们前台。
[00:08.710] 癌。
[00:09.260] 接一下您车。
[00:10.730] 面对着。
[00:12.080] 一台左手边。
[00:13.310] 里边。
[00:14.160] 链接过了。
[00:17.980] 挂了。
[00:23.640] 他拉着我的
[00:25.410] 决定了拉着你。
[00:27.980] 拉着要不我打电话脱了，让他们强奸了你知道。
[00:32.330] 大嘴巴子抽。
[00:34.080] 远
[00:34.840] 花
[00:39.740] 数据、
[00:43.520] 场、
[00:44.930] 场场、
[00:49.910] 坏、
[00:55.240] 坏数据
[00:58.090] 的。
[01:01.080] 了。
[01:03.680] 这边
[01:07.710] 660660. 
[01:09.640] 号。
[01:11.120] 把
[01:14.150] 一。
[01:17.370] 行驶本拿了吗？行驶本和驾驶本。
[01:28.040] 身份证。
[01:30.750] 拿来个什么。
[01:32.220] 不行，这扫描扫不了社保卡只能
[01:52.030] 句
[01:56.710] 一。
[02:01.000] 电话
[02:03.530] 的。
[02:06.720] 手机号还留，刚才给您打的就行了。
[02:09.340] 五
[02:10.960] 101
[02:14.160] 远。
[02:16.210] 五。
[02:19.470] 您是两门的。
[02:25.310] 的。
[02:35.840] 我不想在原来那个厂
[02:46.040] 数据。
[02:52.120] 的
[02:58.170] 千
[02:59.240] 数据
[03:32.710] 的
[03:40.090] 数据、
[03:50.030] 以后是都长期在咱们店做保养，
[03:53.800] 还是
[03:55.940] 万一不是要是一直都要做，咱就买房子套餐了，两两个B宝原价的85折，
[04:05.550] 然后就没准话那就单做这一次的。
[04:09.000] 买什么就是A+A+B的3分。
[04:14.600] 两4次保养648 44它是打折的。
[04:19.210] 就是说我这一次要多少钱是吗？对。
[04:23.640] 这次如果说到的11的比如咱两保两个B咱们保险不是分A宝和臂膀吗？您第一次是A第二次是B
[04:33.990] 第三次还是A4次是这么多钱，4次保养的价格就4次基础保养6次是认不到，
[04:40.530] 这是8次的，这是十四大。
[04:42.480] 今天一次了
[04:44.800] 900多，
[04:54.490] 对，就看你以后的车票都在这做保养，那就买套餐合适。
[04:59.600] 便宜点。
[05:05.180] 不一定都在这做保养。
[05:07.670] 不一定。
[05:09.360] 你肯定有情况。
[05:11.570] 10年之内你把这完了就行了。
[05:21.860] 句
[05:23.150] 数据
[05:28.150] 远。
[05:29.200] 五
[05:35.370] 的
[05:38.800] 数据
[05:40.300] 场
[05:42.080] 基础
[05:45.450] 933块钱，谁知
[05:54.010] 谁知
[06:01.780] 基础和基础B然后您车辆外观上不是有苍山吗？划伤如果要的话这个活动
[06:14.100] 三
[06:17.490] 三
[06:27.190] 一会要有别的事就先出去办别的事去。
[06:30.580] 谁知
[06:34.980] 车主
[06:41.300] 了
[06:50.480] 车上还有要拿走的东西吗？
[06:53.460] 现金。
[06:58.960] 您留一个汽车。
[07:01.480] 还可以走了。
[07:03.370] 原来
[07:11.160] 三小时就差不多了，至少三
[07:19.930] 如果提前话我先给你打电话，到这个时候取车的交费，
[07:24.330] 大家
[07:32.680] 七
[07:36.760] 的。
[07:40.980] 22。
[07:43.460] 如花似玉看看。
[07:48.580] 都叫过来。
[07:50.180] 算了。
[07:54.990] 数据、
[08:00.600] 场
[08:02.530] 远了。的
[08:18.120] 远
[08:22.040] 北京
[08:26.840] 东北
[08:30.600] 吗？
[08:38.070] 远、
[08:46.380] 远回家的时候给我带回去。
[08:56.080] 快回家。
[09:02.690] 码MM平台，
[09:12.200] 特别
[09:13.820] 可能性比较小。
[09:19.240] 应该上学。
[09:23.420] 的
[09:31.080] 远。
[09:33.200] 人。
[09:38.460] 行
[09:50.920] 场
[09:53.040] 刘轩。
[09:58.950] 下一个。
