[00:00.210] 2020年7月23号将下客户卢振教授录音，您贵姓？
[00:04.710] 姓陈律师。
[00:06.530] 您是委托人是吧？
[00:08.670] 对。
[00:10.050] 我姓郭郭进，负责您这个车的功能介绍，
[00:13.030] 前面将校包括给您订车出合同、大票保险，我主要负责公众的一个讲解。
[00:18.980] 时间咱们差不多在40分钟左右一个时长。
[00:22.990] 等多长时间40分钟左右您之前。
[00:27.250] 过奔驰车辆吗？没有是吧？
[00:30.060] 咱们买的是GSC队，300
[00:33.310] 黑车，然后内饰是
[00:36.690] 黑内I中。
[00:38.760] 这个是您的车架号。
[00:40.600] 咱们再核对一下570202，
[00:43.390] 跟您签手里的初始合同都是完全一样的。
[00:46.400] 570202对跟人的身份证。
[00:50.370] 我那个是车的什么，对，当时行驶本就是这号。
[00:55.600] 外观那是您确认过了吗？
[00:57.510] 看了一眼，刚才您确认一下没问题，咱就讲功能。
[01:01.770] 然后这车上有一个密互联的功能，我待会给您实名那种激活，一会儿的话完事口服会有一个对应的面访。
[01:10.920] 之前您开的是自动挡。
[01:14.460] 我爸跟确定收入，
[01:17.090] 就确定周六把车开走了开。
[01:19.100] 我说对。
[01:21.630] 我今天开不了了。
[01:23.140] 没事，这个车就给您，回头你就给我讲解一下，讲完了以后回头您周六过来取车就行了。
[01:29.990] 对。
[01:30.910] 周六能。
[01:31.820] 讲
[01:32.610] 我们周六日是不交车的，周一到周五交车就是我们正常休息的。
[01:38.480] 对。
[01:39.500] 行，您干什么讲，没事，到时候后期我给您留个电话，就是功能本身也比较多，您可能一分也记不全。
[01:45.250] 后期用车过程中我有问题，您到时候打给我就可以给您做副驾。
[01:49.690] 她坐后边就可以过来，首先你把手机关了，
[01:54.000] 你可以拿你那手机录一下看记不住的话。
[01:58.280] 对，来你坐后边。
[02:03.980] 首先咱们这个车有无钥匙启动，
[02:07.100] 着车的前提要是必须在车内踩住刹车，按一下启动键，
[02:11.800] 吃亮就打着了，这个车首先做一个调节，都是在门市，
[02:16.980] 包括大鸟底下座椅的前后高低，
[02:20.950] 小鸟的话
[02:22.650] 前后
[02:23.880] 暑假的作业可以延长，
[02:25.710] 包括您的靠背
[02:27.510] 以及头枕都是电控，
[02:30.000] 调完您自己的位置，比如说现在合适了，您按一下M对应的数字，
[02:35.530] 第一声以后当前位置就会锁定了存在衣裳了。
[02:39.380] 先生开肯定相对比您靠后，
[02:41.910] 他调一个它的合适位置，
[02:43.680] 另外的位置，
[02:45.530] 谁开跟自己的位置就自动复原回来了，社三组您不用来回老挑唆，以
[02:52.090] 前排的话座椅都是有加热的，
