[00:00.000] 你也没给她，她给我了是吧？
[00:03.250] 谢谢。
[00:04.590] 你来了爸爸。
[00:06.490] 待阅我也。
[00:09.110] 舒先生跟您再确认一下，电话是17710236077，对。
[00:14.830] 保险是我女儿过得没关系，这没关系。
[00:18.480] 但我主要登送修人，就是您送修是我等您的，我也
[00:23.910] 烧什么烧舒适。
[00:26.760] 我是明明。
[00:28.130] 您说什么？
[00:32.900] 输一下经营发现的。
[00:36.760] 不用我这扫了就行了。
[00:40.660] 871。
[00:43.500] 等会儿这月了。
[00:46.970] 应该能找着车。
[00:51.820] 咱们这边的保养再加上两轮胎，
[00:55.820] 我还有你看我前面号牌了一点。
[01:01.820] 对，到时候好好看能不能修，你看一下修一下我给您接一接，所以这车配好。
[01:07.590] 好，咱去车我看一下。
[01:11.640] 然后您把您证件什么的哥哥什么。
[01:15.850] 没有，刚才我现在更换里边没有。
[01:19.740] 没有我的。
[01:27.640] 识别的不行，31。
[01:33.470] 闭眼。
[01:36.220] 行行我在不用上班的人管电话。
[01:39.460] 是6077这个是吧？行好。
[01:42.200] 要看一下。
[01:43.780] 要
[01:48.880] 的。
[01:53.220] 数据的
[02:01.670] 数据、
[02:09.770] 月。
[02:11.230] 为
[02:15.400] 讲。
[02:17.740] 被羁押了，这宝贝是不是连保养维修的什么都有。
[02:22.820] 您这。
[02:24.150] 您
[02:25.030] 晚间大家
[02:26.870] 您先抱着行还可以。
[02:59.470] 这是怎么着交给了对，要跟我这
[03:03.190] 一集团就是我在北京做报告。
[03:12.910] 另外最上面
[03:20.980] 更换nano。
[03:21.940] 马上回来。
[03:26.840] 旁边的位置。
[03:32.460] 18956，
[03:34.080] 18
[03:35.400] 五
[03:36.110] 56原油提示了已经快到了对报警了，油不多了就
[03:40.970] 又过去。
[03:42.790] 18968
[03:46.260] 都没毛病，为什么一块话？
[03:48.930] 我到时担当给你吧。
[03:51.370] 我去看看拿然后放进你看一下，谢谢您跟我同事说。
[03:56.930] 跟他说是他那边到时候红包单记一下，那全牌照给那个行，他让我给他弄。
[04:07.270] 拍着
[04:09.870] 这个稍微了贴起来了。
[04:12.740] 对，接下来有没有欢的，他就欢乐一点点。
[04:17.790] 没法给您换，要不然你得吃饭了。
[04:21.400] 是非没关系，我可以自费，但我没必要能不能装上，先用着，你看看好看一点。
[04:27.370] 我这么难堪，
[04:29.390] 我都挑都返乡。
[04:31.850] 乔峰想这没法调方向，这是上下是对着的您知道吧？对您看他这块不一样，你要不给您调方向这块跟
[04:40.360] 打不着你帮我搞好吗？牌子我可以给你稍微借一点，给我换一份我自赔。
[04:45.830] 你想关于牌照管是吧？
[04:47.570] 行，回头我给您报个价，我拍照吧。
[04:50.040] 给我报个价，行，咱走保险他照的是这块损伤是8块，
[04:56.250] 你看我整个的前面一摸的，没事，他要空气总之前放风这个困难点，
[05:03.990] 车里贵重物品您都拿好了，给那个群里面没有什么就
[05:26.450] 然后您还有一个厚道的事故，
[05:29.400] 右后边右后叶子
[05:32.120] 伤得还挺深。
[05:35.590] 咱赶紧找我跟
[05:38.410] 我靠。
[05:44.110] 行，咱进屋我给您开个单子就完事了。
[05:46.740] 太干了再给您把什么给我传个行，我给您的牌照板报价，微信成了我上联系你不联系一样的，您联系我，因为我这边时间长，我您这边大概近三个部位分期，
[05:58.460] 这大概7我这边得2~3天的时间好吧？
[06:01.980] 好勒，我这边两三天时间，他那边不出去也得小半天看看。
[06:06.570] 今天我是礼拜那个房间，
[06:09.160] 你看你整天都有点玄乎，有点感没意思，你们厉害了，
[06:14.850] 我先安排在周日好吧？
[06:18.160] 我现在需要加你放心，我会给您留给我电话，也是我微信，到时候您加一下也行。
[06:40.110] 场
[06:41.200] 场
[06:43.760] 场
[06:46.160] 数据
[06:47.490] 二
[06:52.540] 行。
[06:59.870] 二
[07:03.190] 的
[07:06.330] 的
[07:20.490] 的
[07:21.540] 后面
[07:23.540] 号。
[07:25.120] 数据、场、
[07:28.160] 场、
[07:29.350] 场
[07:30.240] 场
[07:32.510] 场
[07:34.490] 远场
[07:36.520] 场。
[07:44.070] 场
[08:13.870] 远
[08:15.520] 好坏
[08:22.860] 三
[08:27.440] 五
[08:28.320] 五
[08:34.510] 二
[08:37.170] 五
[09:02.990] 的
[09:03.760] 花
[09:07.120] 数据。
[09:13.640] 坏
[09:17.650] 的。
[09:18.660] 动。
[09:24.880] 数据。
[09:32.910] 的
[10:11.250] 首选
[10:13.130] 数据、
[10:17.030] 数据
[10:23.040] 场
[10:24.440] 数据
[10:25.280] 场
[10:28.340] 场
[10:30.150] 数据
[10:35.970] 数据、
[10:37.660] 数据。
[10:44.220] 点，
[10:49.620] 场
[10:51.860] 场
[11:10.030] 号
[11:20.090] 下车吗？
[12:10.350] 我总是
[12:11.160] 这我没看到不太清楚。
[12:14.530] 好了来了。
[13:26.090] 说您拍照本1046，
[13:28.900] 您还换吗？
[13:30.740] 1000多块，
[13:32.190] 这个款三块钱买盗版，是那天村里有点高，
[13:36.240] 1046。
[13:37.840] 就这一把。
[13:39.230] 差不多。
[13:40.420] 太了，要不然就甭管了。
[13:43.480] 我把牌子给您稍微接一接，我推荐行那牌子那车牌就牌照板不给你。
[13:51.800] 今天去看一下，
[14:47.660] 两
[14:51.480] 的
[15:01.920] 数据
[15:05.000] 的
[15:07.070] 的
[15:13.600] 数据
[15:15.680] 的
[15:17.550] 号。
[15:22.610] 数据
[15:23.490] 句
[15:27.690] 刚才问题
[15:28.810] 当
[16:37.200] 咱这就完事了，这个是取得单，这是我的电话跟姓名。
[16:41.820] 咱们有问题电话沟通，回头我这好了会给您打电话告知您好，我到您现在我
[16:46.860] 已经送到你这里交一下行。
[16:48.890] 行了，我说稍微开车离去，
[16:51.900] 看看
[16:59.660] 咱们这车还是先喷漆，因为这几天我们这喷漆暂时还不是特别忙碌，他们保养那边
[17:06.450] 排队时间长性很急，非常欢迎你放在后面，对他保养时间长，你这钢管的。
[17:11.850] 对我这边完事了，肯定定金对我跟他对接一下就完事了，今天去你跟他那签个字就完事了是吗？好的，谢谢你，好了没事你给我打电话勒好勒。
