[00:00.000] 接触开始接触，
[00:45.760] 来个车再交一点。
[00:51.310] 对
[01:03.930] 那个吗？
[01:12.450] 我拿电话要给打电话，
[01:17.520] 点。
[01:19.910] 要不拿走了。
[01:21.330] 妈妈告诉。
[01:50.410] 模特好多头。
[01:53.170] 白衣服外边
[02:15.720] 车里的贵重美金，
[02:18.050] 那个车里的贵重物品拿一下。
[02:31.520] 我们那客服跟您说什么时间取车了吗？
[02:34.800] 得明天取车。
[02:36.850] 对。
[02:38.040] 我说这一妈妈，
[02:41.070] 我帮您问一下，
[02:58.020] 因为背着点人去召回，今天能取，
[03:05.020] 这不是说能取，
[03:09.190] 取不了那啥时候能取？
[03:13.890] 没有就一召回。
[03:18.180] 你告诉我时间，我听你说时间就完了。
[03:22.820] 好了。
[03:24.050] 您好得明天取。
[03:25.850] 明天到时我们给你送车，你先回去，你不用过来取，
[03:30.140] 然后我交代嫁给你送过去，代价是免费的。
[03:36.700] 我确实安排不开，不然也不能这样。
[03:46.720] 对，您先帮你们
[03:49.050] 先回去，然后您告诉我地址就行，我们奔驰跟大家有合作。
[04:08.370] 这OK是吧？好勒。
[04:20.870] 是有的OK吗？
[04:24.300] 261. 
[04:25.400] 您给我打电话吗？
[04:26.900] 是的。召回张玮在。
[04:29.680] 那就明天咱们这个合同
[04:33.440] 这电话在北京
[04:35.410] 在准备我负责，最后。
[04:38.400] 吃左边你在车里坐一下，我一会让我同事给你做预检，那小伙子把这车弄完，让他过去找您去您车里坐一下。
[05:45.480] 这车没啥。
[05:46.790] 你这样水乡早给他说一下。
[06:02.410] 给我哥。
[06:04.800] 然后我第一排还有个车，
[06:07.190] 这里边
[06:09.050] 我挨着保安挺
[06:11.940] 都泼到回来。
[06:13.580] 我都已经看完了。
[06:31.950] 早没？
[06:32.720] 上午和中午那会儿。
[06:34.220] 下午晚上都。
[06:36.570] 您这远吗？
[06:38.320] 在哪？南洋那边您尽可以。
[06:43.000] 您这外观考虑维修吗？
[06:45.370] 不用了。
[06:46.550] 先我甚至还了
[06:54.240] 顶头那间OK。
[07:00.240] 我跟您说一下，如果你想修的时候可以跟我来我们这修，我们有一个活动就是叫代步车补偿险的活动，
[07:07.720] 您交1498块钱。
[07:10.320] 修完车之后，我们把那2500的现金。
[07:13.480] 就是这个情况。
[07:16.450] 修一个一年一年
[07:18.800] 不止这些，退休这一块只要得小1万块钱。
[07:30.190] 咱们进屋我给你打份单子，
[07:32.920] 打一份取车单，村里的东西都拿好了吧？
[07:43.690] 你好麦当劳。
[07:53.890] 我这边
[08:07.440] 用了。
[08:52.730] 我个微信帮我发个。
[08:54.440] 只
[08:55.520] 吗？
[08:58.590] 那个是什么到黑龙江。
[09:05.870] 好拜拜。
[09:14.080] 了
[09:28.270] 了
[09:30.990] 对
[09:35.630] 你再说好好。
[09:38.670] 你们出来能给他出点钱是吧？
[09:41.490] 拿一点。
[09:43.000] 你看一下，因为咱们
[09:45.870] 教育厅的
[09:49.840] 你们不是说一下第一次，
[09:51.830] 谁知
[09:52.880] 下面的快点两年通过
[09:59.850] 那么优惠
[10:08.130] 开放
[10:10.310] 第二
[10:12.650] 你以后谁知
[10:16.870] 我们自己去
[10:22.730] 原告？
[10:24.490] 我没管。
[10:26.680] 点上不要不一样。
[10:31.780] 咱微信加上了。
[10:33.850] 垃圾在这。
[10:59.640] 李总806。
[11:01.000] 第100多少
[11:03.230] 点？
[11:04.680] 谁知
[11:09.070] 谁知
[11:11.010] 对，然后常态性创业。
[11:15.130] 然后
[11:16.310] 然后会计能不能给
[11:19.790] 上？
[11:21.150] 您拿份了。
[11:23.030] 在那个公司。
[11:25.940] 用大脚您签字。
[11:28.610] 我也。
[11:36.830] 然后一会您帮我发一下名字和电话，
[11:39.910] 收车人的名字和电话。
[11:43.480] 工作
[11:47.490] 还是和您的行。
[11:50.110] 帮我发一下，到时候我们约在下。
[11:52.690] 你把取得单给您，您这手就全办完了。
[11:57.600] 明天出发的时候我会联系您。
[12:00.450] 谁知你打个电话给你发了。
[12:04.790] 可以。
