[00:00.000] 开始接车开始接触，您之前查过电瓶的型号吗？
[00:04.090] 价格查过吗？
[00:05.450] 多少钱？
[00:10.440] 四五查一下，
[00:25.210] 句
[00:29.590] 场
[00:37.430] 场
[00:44.750] 是不是2415？
[00:48.780] 稍微这个是含什么的型号不一样。
[00:53.230] 问您就是说因为我不知道具体情况，您知道价格是吗？
[00:57.450] 我只是大概问了一下，
[00:59.820] 应该就这个我车配的是这样吗？
[01:03.890] 您这款车大部分都是配的是80万人次，因为我们要看这专业的一个
[01:09.340] 容量，咱们先去充电灯G
[01:14.410] 然后你这个不是还跟什么
[01:17.840] 离刘启平和什么性行为启平和平平，
[01:31.190] 你就刚放。
[01:32.590] 还没启动的地方。
[01:35.780] 是黄灯，
[01:36.900] 往往开了
[01:38.880] 这显示屏吗？
[01:40.870] 我们看一下哪个黄总。
[01:42.680] 我正好要启动不了呢。
[01:45.330] 这能看到哪个都
[01:53.800] 你先点亮了，我看看哪个灯
[01:58.210] 不用动了哪个灯。
[02:00.330] 发动机灯是吧？应该是亏电造成的。
[02:03.430] 对空间的。
[02:05.220] 电瓶吗？
[02:07.000] 推荐会引起故障灯亮，你不要关门。
[02:10.400] 没事，因为我们需要跟
[02:29.570] 公众号你可以做一下，不？
[03:14.600] 不用装车了，点调门就行
[03:17.010] 了，我看下里程有可谓
[03:21.560] 然后你看电瓶能看出都按时的不？
[03:25.560] 店名就在面上，8对他那可是打开前面的。
[03:48.130] 应该上车。
[03:49.770] 看了看了。
[04:01.880] 是80吗？
[04:04.360] 80的
[04:05.480] 也就价格。
[04:06.760] 那一块的现在。
[04:20.760] 然后您的轮胎给换了，女士您说一下。
[04:24.610] 您这轮胎是15年的轮胎，
[04:27.370] 正常咱们4年换一次轮胎，然后。
[04:31.570] 您看有一个小揪揪了吗？
[04:35.340] 究竟这里小啾啾就马上会这磨平了，你再看。
[04:39.680] 这个位置的。
[04:42.710] 而我们轮胎的活动
[04:45.020] 换4条轮胎的话，我们是免工时费免费给您做动平衡，4轮定位还给您轮胎总价打19折，
[04:53.000] 我上钟就放过一个。
[04:55.340] 换过一个是吗？
[04:57.610] 你打看看我看日期能看出来这个也没换过这15年。
[05:09.200] 这15年的
[05:11.900] 年年
[05:13.540] 对你。
[05:14.760] 你要换三角也可以这样做，没关系。
[05:17.420] 我没关系，可以给您打19折，可以免疫工人。
[05:22.450] 当时是多少钱？
[05:24.340] 在我们这换的吗上次？
[05:27.430] 离开。
[05:28.740] 应该是
[05:30.250] 的。
[05:35.760] 当时因为是不刮了碰了。
[05:37.910] 换了
[05:40.670] 家门口。
[05:46.570] 明天是否
[05:48.080] 无视在。
[05:49.340] 没事我这都啥价了？
[05:52.950] 其他的部门
[06:13.490] 还能用吗？
[06:14.450] 用户。
[06:25.060] 你是从时代。
[06:25.810] 50万。
[06:27.080] 10这种事吗？
[06:28.300] 单位行。
[06:31.440] 400。
[06:32.720] 回家就停的4，那到时候还能用吗？我只能回答您。
[06:36.720] 您后边还能用那个条件，你再
[06:39.620] 相比而言，
[06:42.870] 相比而言就算一分一条，
[06:45.650] 谁知
[06:51.320] 我看那个也有。
[06:53.400] 没有了是吧？
[06:54.590] 咱们看这个意思。
[06:57.560] 从这个位置和小啾啾
[07:01.330] 我看着看着看着也。
[07:04.550] 您是说那小修正吗？
[07:06.670] 小娟都有。
[07:08.740] 只不过磨的比较
[07:11.690] 没有那么深，
[07:16.780] 没有那么深。
[07:18.830] 什么这种
[07:21.290] 相比而言比。
[07:22.850] 说您
[07:26.560] 我给您查一下。
[07:30.550] 靠这个哪了？
[07:32.650] 你后面还好瞧也不行。
[07:52.490] 我再给您查查最高可以200是吧？
[07:55.600] 只要为200对吧？
[07:57.420] 明白了，青年这也。
[08:01.170] 年后完了现在。
[08:04.350] 的。
[08:05.570] 二知道。
[08:08.110] 20是吧？
[08:12.890] 4期的。
[08:23.060] 1309。
[08:24.260] 跟上
[08:25.360] 双方标价
[08:27.800] 打折。
[08:29.210] 可以，你买个工人。
[08:31.690] 1309，对统一材料费。
[08:35.510] 我觉得还好。
[08:37.420] 真的不好了。
[08:39.520] 我从专业的角度告诉你。
[08:41.620] 这后面还可以。
[08:43.940] 我跟您说刚才您说了这儿，
[08:48.470] 在这一层是轮胎实际的花纹的深度，
[08:52.450] 他跟这个要平齐了，就这小揪揪是一个提示，
[08:56.830] 他不是说一个就是平白无故有小揪揪，
[08:59.400] 它是一个集是轮胎的深度影响它的导水竞争和摩擦力，
[09:04.160] 抓地力，
[09:07.350] 咱们先进入。
[09:08.560] 把电瓶的单独给你打了。
[09:25.540] 杨宗慧女士。
[09:27.640] 您说了多少？
[09:57.410] 那就传开了，
[09:59.940] 肯定的。
[10:01.680] 行，我帮您查有没有货。
[10:03.800] 价格刚才查完了。
[10:20.420] 回家。
[10:24.300] 场
[10:26.230] 坏。
[10:34.820] 还要吗？
[10:40.380] 电瓶要吗？
[10:42.120] 环保回收了。
[10:53.550] 您加我一个微信。
[11:02.070] 到20万没有。
[11:04.640] 可以上网项目。
[11:19.880] 好
[11:41.630] 看一下电话，比如总经理，
[11:43.660] 谁知
[11:47.850] 证人强调取车单2415，
[11:52.850] 轮胎这边我确认完库存给您回复。
[12:02.570] 然后咱们保险多了一个新的险种，你可以看一下
[12:10.570] 代步车补偿险，
[12:12.440] 谁知
[12:14.500] 它是关于修车赔付的一个
[12:16.940] 保险的地方。
[12:21.560] 就是说您的车如果出现了碰撞或者剐蹭，比如说你想修修车辆的外观，如果有我们这个险种的话，您可以在修完车之后得到2000 5000斤的赔付。
[12:32.040] 交多少钱？
[12:34.720] 1498一年可以最多赔付两次，一次赔付2500。
[12:40.540] 谁知
[12:44.470] 这是新多了一个险种，
[12:46.160] 没有给你说一下怎么。
[12:49.310] 好
[12:58.510] 了。
[12:59.260] 正常咱们三代电瓶大概是两个小时，
[13:03.350] 然后电脑复位再给你洗。
[13:06.100] 然后轮胎这边查完我给你发微信，
[13:10.130] 然后有或者然后给你了交钱。
[13:15.550] 过
[13:16.760] 所有的收入
[13:18.560] 拿了。
[13:23.720] 好，慢走。
[13:25.800] 这儿咱都加上。
[13:29.360] 帮我联系。
[13:33.640] 下午差不多。
[13:38.190] 上项目
[13:43.810] 高压。
[13:45.540] 是这样的，你们还会弄完之后查一下。
[13:49.710] 漏电情况的怎么不会需要很长的时间内这样。
[13:55.890] 那是给
[13:56.960] 但是你在修电梯还得采购电吗？我们给您做，我们不仅对电脑很不错，看看您
[14:03.590] 你刚才报的故障码是不是因为电瓶配件造成的在抱着故障了？
[14:09.910] 然后您这车正常来讲的话，您是15年车，
[14:13.720] 一般来讲电瓶的使用寿命是4年到5年左右，如果用的好的话可能用到6年的努力。
[14:19.310] 也正常，您这个我觉得你可能是
[14:24.300] 一一个是一个三车正常，第二你里程数跑的
[14:28.600] 不是太多也不太少，
[14:31.260] 也居中，因为咱们这个车越跑的话，电瓶使用寿命越长，因为您在跑的过程当中发电机电池循环充电，
[14:39.760] 这样
[14:41.440] 麻烦了。
[14:44.060] 然后有问题我再联系你。
[14:51.360] 数据
[14:54.460] 商场、
[15:10.240] 场。
[15:11.800] 坏数据。
