[00:04.680] 先生您好，刘先生是吧？我是咱们的销售，免得心向叫潇洒的系统。
[00:09.300] 我想看看哪款车是0.9，
[00:14.240] 90这款展车是高配的，就是16 27多。
[00:18.480] 6对，现在凑的基本都是7度最多。
[00:21.520] 听
[00:23.400] 走量的基本上都是五十几。
[00:26.720] 实际到现在全班级有实话吗？
[00:29.410] 没有做好计划的话应该在58。
[00:31.720] 对科技包括购置税保险，
[00:37.500] 60的话总量的东西配的这样做可能在37。
[00:47.020] 没事也有小米他笑，因为后面
[00:50.740] 刚吃完饭
[00:54.730] 屏太小。
[00:56.360] 中国跟60大小一样，对，十分一样的，都是酒精酸奶。
[01:04.130] 但是
[01:08.090] 刚刚高中。
[01:10.990] 他的还有
[01:13.330] 这个高度的内容差不多。
[01:17.900] 整体
[01:19.120] 这个还是偏大一点。
[01:21.760] 就偏大一点，但是感觉
[01:24.280] 差不多得对，不是说差的特别多。
[01:42.350] 优惠。
[01:43.700] 但这个车的话目前优惠这款直接汇发了，但是您的置换补贴不会再
[01:50.170] 计算，像这款整车
[01:53.420] 不是几月份，大家看到三四月份，
[01:56.410] 三岁跟着我看，
[01:58.120] 相对严重的。
[02:00.090] 致远的话现在优惠
[02:02.170] 5万在置换补贴5万。
[02:06.810] 差不多。
[02:08.040] 所以当时
[02:09.510] 可是现在就是优惠情况
[02:13.130] 没有区别，和之前看的对整体价格差不太多。
[02:20.770] 差不多的。对不到36。
[02:29.000] 办齐的话应该在4
[02:31.090] 不到36。
[02:32.500] 谢谢。
[02:35.350] 你说的就算是优惠收紧是和原来差不多，但是
[02:40.450] 比少了大概不会一样。
[02:54.480] 之前是在我们店看的吗？
[02:58.790] 然后那边有一个电话，
[03:00.280] 我们店边上
[03:07.030] 那是假的，一边是假的，我们这有是假的。
[03:10.600] 名片没上架。
[03:11.700] 节电。
[03:15.460] 当时连发了北京。
[03:18.280] 他帅哥。
[03:44.280] 的。
[03:46.450] 这个是低配的，远的之一的。
[03:50.240] 低配的话，你看中控台这个不是皮质包裹的，没有桌椅的腿拖着是比较明显的，包括这车是没有导航的。
[03:58.370] 高不高？
[04:00.200] 数据。
[04:10.880] 您这前排调的合适吗？条合适。
[04:14.550] 只要您这高，反坐你后面可能小点，
[04:17.910] 但是市场有腿部空间是吧？
[04:25.310] 我去那
[04:26.670] 到后排开会。
[04:28.810] 孩子的
[04:56.790] 肯定没有。
[04:58.050] 高度是高，他们这个级别应该高度的少了。
[05:03.080] 头部空间。
[05:31.240] 这个地方您怎么
[05:34.910] 我觉得33
[05:36.950] 太了
[05:41.150] 了，因为可能像你说土地空间的话，确实因为咱们这个是属于标准的，它不是说家常这圈三是一样的，
[05:48.280] 这级别的我们基本都看了好长时间的
[05:53.200] 这个圆圈在，因为他是梅家成对标轴的，可能就是说相对
[06:00.010] 看了大概有多少，
[06:05.970] 还有
[06:06.780] 的。
[06:08.560] 都是可以。
[06:12.000] 而且咱们今天也
[06:13.700] 今年是咱们去年7月份成立的周年，
[06:19.570] 反正就这几款车型吗？
[06:22.140] 他对我们你看的那个是
[06:26.740] 说
[06:28.130] 我想
[06:29.870] 做
[06:31.030] 的
[06:31.870] 的优惠不一样，
[06:33.430] 颜色价格比较
[06:36.900] 如果
[06:38.490] 颜色的话他不会。
[06:42.830] 好，那么这个地方导演都新疆，
[06:46.440] 谁知
[06:50.590] 这种的。
[06:52.130] 行吧？
[06:53.300] 面对
[06:54.520] 不做
[06:55.450] 之前
[06:57.680] 都是那个阶段月份，对，因为是什么，那个时候确实疫情太严重了，基本上很少有客户进店。
[07:04.560] 他只能说靠着这个价格就是吸引一下做个宣传活动。
[07:09.990] 不过目前来说这个车整体就是说优惠之后，包括半级的价格性价比还算是
[07:15.590] 要高得。
[07:16.390] 而且像小孩的话，平常坐我们车里这车确实没什么味道。
[07:22.040] 这个是小碳包。
[07:26.610] 您好，请教个问题。
[07:28.620] 它为什么叫亚太？什么亚太是在国内造的，但是对外出口的
[07:34.320] 这种感觉。
[07:36.210] 37。
[07:44.520] 车头挺好看，但是
[07:46.080] 里边东边就中控内饰整体设计的，包括像您说的屏幕，
[07:50.990] 我是不是
[07:53.180] 多头是对比好久，
[07:57.570] 但是车头也不喜欢，那事还凑合，只能说可能还中规中矩。
[08:03.590] 第二三人都太贵，40多。
[08:07.980] 其实对这几款车都挺明显的，
[08:12.120] 这个唯一一点就是安全的。
[08:14.230] 对，安全沃尔沃它主打的就是安全系数，包括其实就是环保的一些，但是你要说
[08:20.370] 内饰的话，其实您看我们这些车型它都是一样的，
[08:24.110] 还是有着
[08:26.960] S90那是一样，他就是这种风格
[08:30.670] 比较偏向简单的那种。
[08:33.730] 对S90。
[08:35.400] 但是两个车的价位基本上差不多。
[08:38.520] 相对来说沃尔沃这块
[08:47.310] 他主动安全
[08:48.750] 致意的dk
[08:50.940] 全系都对这事全系标配的地方，
[08:53.500] 包括像您说手动刹车自动驾驶以及车道保持这些功能良好补助，他是标配顶配安全的配置也没增加多少对象，对仓位的话可能是倒车增加了一些
[09:06.910] 其他的
[09:08.380] 如果像您平常网上的视频什么碰，就是有什么假人什么那种实验这些对这都是一样的。
[09:14.510] 都是对Volvo的话，它是安全是不分等级的，就是从低配到高配，包括我们最小的是40可能办齐的车20 20出头，安全是一样的，
[09:23.890] 但是40的话可能整体框架用的钢材就不一样，像咱们
[09:27.790] 60和这款S90，它整体上A柱B柱这种框架结构用的是蓬篙，
[09:33.710] 这个就是强度比较高的，您可能看的差三，他们用的也叫超高强度高。
[09:41.800] 如果我看到
[09:42.500] 到时间你看它的文化之间的速度高于其他
[09:48.230] 不高的话那就应该是吧？
[09:51.520] 应该谁都是男的。
[09:53.210] 我刚才讲的不是这样，不要当时的感觉点豪华，
[09:58.500] 轿车可能看的家用也可以上，商务没问题。
[10:03.980] 一个人三
[10:07.880] 别的公车有可能会
[10:11.350] 的。
[10:13.090] 其实他们都是一样的，而且其实为什么您觉得不小，因为它是素质的。
[10:21.230] 其实横置的话这屏幕就不行，像好多品牌的话一般都实行测10点多，
[10:26.940] 像我们其实9英寸不会差很多，但是他可能像给我们培训说他设计的理念跟咱们用的手机是一样，
[10:36.370] 看文字信息都是数字的，像城市的可以看视频，
[10:48.480] 都可以。
[10:56.470] 手机。
[10:59.070] 行，我再看看没问题了。
[11:02.080] 了。
[11:05.950] 你今天早一点。
[11:07.760] 网上。
[11:08.940] 我们主要就在警车这边，
[11:11.520] 然后看看的价格更接近，心理价位都挺好的。
[11:16.660] 他就开会。
[11:18.310] 60R不一样，
[11:20.390] 有的通性价比高，有的是安全
[11:23.320] 一样的，我喜欢的。
[11:26.020] 因为我们小区也有好几辆最近刚的，然后
[11:31.200] 上也
[11:32.690] 后面前脸特别好看。
[11:34.350] 我前两次比较咱俩好看的，中餐不好看。
[11:40.320] 怕也差一点东西。
[11:43.690] 怎么说跟你想的还是说。
[11:46.360] 对。
[11:47.560] 三分哪个都有点不满意。
[11:51.270] 他10分就觉得有点贵太贵了，46 658就觉得前痛苦，
[11:56.780] 他就不喜欢前脸，我是不喜欢他那
[12:00.200] 第二排的。
[12:02.480] 然后前面中控也不敢，
[12:06.660] 这三两棵特别了好久，
[12:10.870] 太多了，看旅游。
[12:14.480] 对，现在都421款，把钟头都是一样。
[12:17.990] 这样因为
[12:20.790] 大概反对
[12:23.150] 他又
[12:25.690] 我一般改完了别的man了。
[12:28.370] 上一代到这待8年，因为他不在意这些细节，他可能就是说
[12:33.260] 都是注重这些安全方面。
[12:35.590] 他没事又搞个碰撞实验，他把这些你要说完全的话，其实可以改，这行这没问题。
[12:41.480] 对。
[12:42.800] 我不知道这可能就是说是理念的问题。
[12:47.010] 我没看过没问题，谢谢你。
[12:49.440] 能不过吗？
[12:50.520] 我自己走好好完了。
[12:53.150] 谢谢好慢走。
[13:07.510] 我等会我就把你电表
[13:09.420] 在11点了。
[13:11.230] 这是那两位先生就是穿红色半袖爱去哪了？
[13:16.810] 下一个牛仔帽。
[13:21.610] 你接吗？要接我就分过去了。
[13:23.750] 行行，我先下一个。
[13:25.840] 好像没得了。
