[00:00.570] 除了接待出售李先生，
[00:02.830] 然后吕先生是吧？是第一次来吗您？
[00:05.220] 第四有熟悉的或预约的销售顾问没有给您让我名片，我咱销售过刘赛，我来接待您喝什么，您在这咖啡茶水矿泉水学科目
[00:14.220] 不要了，咱奔驰之前推出一个服务公约，得先跟您宣讲一下服务工业的内容，现在是以客户为尊以礼相待，
[00:21.660] 腾讯经营合法得体，明码标价，公开透明配件渠道信息公示，
[00:25.900] 现在奔驰绝不捆绑销售，强制性消费，也不会使用甲见一次通航。
[00:30.940] 有厂家的监督电话是4008181884S店都
[00:34.920] 有要看车型。
[00:36.510] 我本身想看GRE，当时从BAC都没有站车，没现车现在其实卖的比较火还是对，
[00:44.100] 现在订车得等3月。
[00:46.950] 现在这种金牌销售车就是啥意思，就拍卖车上北京牌照就是您的，然后有特价
[00:53.890] 原因预测他还是个对。
[00:57.930] 都哪年的跑多少公里的话100多公里，18年的车。
[01:03.500] 18年12月的。
[01:05.470] 然后现在就一口价。
[01:07.920] 它这个牌子才我对需要我有牌吗？还是自己他有牌是吧？要上北京要求您得上北京牌照，并不是说着北京牌照就送给您了，行没关系，好的，这车应该是。
[01:22.750] 这你能给我讲讲他的。
[01:25.390] 底层还有这19年6月份的车1.6份是吧？对，他为什么会gg拍卖是个什么概念？厂家从厂家拍过来的，厂家的一些测试车，
[01:34.390] 没上过牌了，跟新车一样交了100多公里费，就是欠款的是不是？
[01:40.860] 对，这购置税还用单交吗？不交，但是新就是新车无非就是19年6月的车，
[01:47.810] 刚有100多公里的公里数，
[01:49.880] 然后要比新车要便宜点，是这个意思吧？对较合适。
[01:54.320] 优惠的多。
[01:55.980] 比前一个小时万块钱，对。
[01:59.960] 新款的现在都没车，只有拍卖车，现车没有。
[02:05.010] 这是多大排量？20T就是DIC350费。
[02:10.130] 300印度买。
[02:14.490] 什么是驾车？相当于说不是试乘试驾车上了，牌了就没上牌，厂家有些媒体当时可能在场地的拍照
[02:23.580] 或者一些测试，带着媒体的人来测评一下这个车，然后厂家可能一好像有200多台总共，
[02:32.380] 然后面向全国的经销商进行了一次拍卖，这是我们从厂家派过来的。
[02:38.760] 这个价格比如53万多就是一个一口价是吧？对他现在这个车
[02:45.350] 535,700就是这价格，所以购置税元这个价格上是吧？
[02:52.250] 然后不商量这价，您觉得合适您就提，不合适的话咱也不给您再便宜了，
[02:57.750] 应该比原车要便宜很多。
[02:59.830] 原车是62万多元，车62万多。
[03:03.950] 这个长度是多少？就这个长度4米6。
[03:08.360] 还有4包是吧？四干
[03:12.630] 三
[03:13.520] 4缸2.0T
[03:15.230] 像这种车也没法试驾是吧？
[03:18.440] 对没有私家车。
[03:19.910] 咱有DLC长轴的私家车。
[03:21.870] 就普通版的这运动版的没有。
[03:28.660] 有260有300的试驾车，咱们
[03:31.890] 传什么就其他选配什么都选不了，第一他就是个现车是吧？他就是这台。
[03:37.970] 也就这一个，现在他那个事现在GRC它里头都有些变化，没有，
[03:46.260] 就跟那一样，这也是最新款的，
[03:48.720] 以后再上市或者是大瓶的。
[03:50.890] 对，两年以后在上市的时候。
[03:53.640] 所以现在没变化，都是这本身也是新款车。
[03:59.640] 这空间比ml对以前M稍微小一点，小M le。
[04:05.690] 对这是原来的标K
[04:11.610] le就得4米9了，
[04:13.360] 这是4米6差30公分，
[04:15.260] 然后整体上的交易要比这大一圈。
[04:21.720] 然后这儿一现在也是比较好卖的车型，包括dsc，现在都特别好卖。
[04:26.490] 对。
[04:27.480] 对。
[04:28.500] 这相当于监狱运动款。
[04:31.890] 咱们常卖的不是加长，后边是用正常的方方正正那种。
[04:40.830] 行好谢谢您，别的就不需要给您介绍了吗？别
[04:44.320] 用不用先自己利益，你也没排队是ml本身也拍ML是吧？
[04:51.880] 到时有什么需要您随时联系，好的，剩下的都不用给您介绍是吧？试驾什么都不需要给您预约了是吧？
[04:57.950] 对，咱们不用行，明天会给您打一个回访，您看短信电话电子邮件哪个方便？
[05:04.190] 邮件行不行？时间您看上午方便还是下午方便，大概几点？
[05:09.030] 听说在这都可以，那行，那四五点钟简单地问问您，看有没有需要给您补充的问题什么的。
[05:14.580] 您慢点，感谢您光临。
[05:26.040] 136
[05:28.240] 138
[05:29.890] 87289。
[05:31.920] 感觉。
[05:34.190] 记得玩这
[05:35.370] 了。
[05:37.520] 快乐。
[05:57.830] 了。
[06:02.860] 对，没人。
[06:08.820] 这谁也不接，老这么盯着我，1000块光我接谁也接几分，比方接了多时间就走了，等都是那种客户是吧？
[06:16.550] 都不参加。
[06:17.850] 昨天谁也不接受，盯着我一个人喝的过程没叫错了什么
[06:24.130] 半边天
[06:34.850] 在定远。
[06:39.360] 大有。
[06:45.790] 的
[06:49.690] 划定了
[06:53.900] 坏。
[07:00.350] 车
