[00:00.660] 接待二次客户，李富先生看着LC
[00:22.370] 还搁我那客户吗？
[00:24.830] 还有我想问一下，比他的高级两个是哪个治疗一？
[00:32.720] 背面对吧？他的100对中间就没有带。
[00:38.910] 对就是这样一位。
[00:40.600] L这个三确实都是100了，90有80多的，有70多的，我觉得七八十。
[00:47.110] 这有啥区别吗？您不好意思，你说我这边不再有客户，您要不到那边让他给你安排个销售后边厅
[00:53.790] 另外一个词从这门出去到另外一个厅，
[00:56.820] 开车起码
[01:01.160] 还
[01:03.520] 客户
[01:13.530] 海哥。
[01:15.270] 我客户。
[01:19.550] 我客户
[01:20.950] 怎么样？
[01:26.840] 我还找你姐，
[01:28.510] 我们那师傅他还没完事，我刚才给打电话了，然后那车就不用看了，肯定是新款的318,800的，刚到的生产日期是6月份。
[01:36.350] 行，当然这确认好了，我确认好了我不去你也知道我上次不就因为那时候我就跟你说，我说那肯定是老款的，然后咱们这边现在能确认分清，然后车型然后一会看一下修车多少钱，
[01:48.830] 你坐车你之前充不了多少钱，2万。
[01:51.290] 2万是吧？行，我一会问问他，你要有价格就好聊了，就怕你没有价格就不好跟你说，反正那边因为我也跟他都讲完价了，所以我说这块咱赚点价位得你那边是2万是哪个评估的？
[02:04.870] 他们自己电压他们现金的行没问题，然后今天我再给你问问他能不能从别处再给你优惠点。
[02:12.350] 对咱们soso买一块地对待优惠，对，然后咱们就今天我一个舅舅我舅舅我就得了，那天我都怕那车被人订，我一看到我赶快就时间告诉你是吧？
[02:22.560] 我生怕被人订了，因为今天订了两辆定了一个灰的，
[02:25.540] 还订了一个白的，这边有人没有，我说行行太好，他们说蓝的人看展厅感情都卖了，展厅的蓝都卖了，你看换了一个灰的进来吗？
[02:35.410] 但我觉得灰色不好看，味道不太好看，篮子已经卖了，变掉了的还是一下子蓝的好看，
[02:41.930] 这个车真的是蓝的好看，好明天我去问问我们经理，老板基本上都是黑的灰的对。
[02:49.390] 一会儿他那车价格出来了，我也跟他说一声，然后别给咱低了，按照你心里边一起来，
[02:55.180] 然后新车这边我再去问问，
[02:56.720] 咱能从哪来找不着，我要从哪找我一下，我就直接定了就完事了，也有现车就那一辆我已经给你预留了，在你来之前我就给他们打电话，好好，我就怕没人能帮我照顾一下行吗？等等。
