[00:01.570] 在其他的用着没什么问题，都挺好的吧？
[00:08.460] 20491
[00:20.110] 吗。
[00:27.870] 的
[00:31.850] 二
[00:34.190] 要
[00:36.280] 这方面需要
[00:44.150] 的。
[00:45.120] 数据。
[00:49.220] 数据。
[00:49.960] 的。
[00:50.990] 数据、
[00:56.010] 数据。
[00:59.210] 上次是办过一个套餐，这次的B保养
[01:02.480] 是不花钱，
[01:05.480] D保养换机油机滤空滤。
[01:09.630] 的。
[01:13.110] 点评、
[01:18.580] 钥匙在你
[01:21.110] 过去看一下。
[01:27.980] 他在模仿。
[01:36.640] 远。
[01:57.410] 赢
[02:00.220] 没事，他们应该有一个预检，没事您等我一下。
[02:17.870] 这没减。
[02:19.040] 直接就给我一单子。
[02:20.670] 我跟你。
[02:21.920] 对你得减下来，后来
[02:26.870] 是这样的。
[02:28.030] 等他我要找得简单吗？给没遇见。
[02:55.720] 的
[02:59.720] 政权由换过。
[03:01.230] 对。
[03:02.250] 12 11万换了。
[03:05.090] 两箱油火花塞应该也换过。
[03:09.500] 我小花35话，
[03:14.400] 包括30
[03:16.720] 19万换的
[03:57.360] 花样超了
[03:59.050] 3000多。
[04:04.280] 没有不能再做第三
[04:06.970] 这个地方。
[05:06.910] 这个话的时候，
[05:07.790] 谁知
[05:20.960] 电瓶该换了有点渗液了。
[05:25.000] 时间上
[05:26.710] 有点漏深夜了
[05:29.650] 了那地儿就不会时间上这车。
[05:32.760] 13年的政策国内有过的话北京过去了。
[05:37.030] 国内有过，首先的话
[05:41.310] 价格
[05:48.750] 我说这车是13年的女孩，都是原车的，
[05:53.390] 这时间是该花。
[05:54.950] 也深夜了，
[05:56.540] 还没兑换了，
[06:01.370] 而且
[06:03.760] 了
[06:05.050] 难忘
[06:07.110] 是。
[06:08.180] 不错了，用我就醒了。
[06:13.330] 你感觉
[06:16.150] 我估计应该是用户。
[06:18.450] 对，玻璃上有个水饺方面我知道吧？
[06:22.580] 轮胎刹车，刹车可以，刹车，下次保养估计该换了。
[06:28.940] 轮胎您换过什么？
[06:31.120] 16年的车。
[06:33.190] 轮胎也该换了
[06:35.940] 了今天这科我那边验光国外用电的话最早的。
[06:42.780] 这是新换的轮胎，
[06:46.350] 结果刹后轮刹车片也得换了。
[06:48.940] 签过一个踩一个，这是系统，这是新的，
[06:53.680] 不是新的文化的。
[06:56.460] 看着花纹花纹好一点，
[06:58.840] 习惯18年的。
[07:01.390] 08年。
[07:07.130] 那
[07:08.360] 的开始
[07:12.010] 找出这才是
[07:13.530] 猫
[07:17.390] 这次换个电瓶换个后轮刹车片，
[07:20.360] 我不都完了，我这都给查一下账，我拿东西到时候直接拿单子打坏了，你先查一下补贴。
[07:26.060] 好像去了。
[07:27.540] 没错。
[07:28.620] 我给扯上吗？
[07:31.940] 对快快乐乐不要想。
[07:40.600] 数据
[08:33.000] 场。
[08:34.280] 数据
[08:41.260] 远、
[09:36.510] 远。
[10:08.420] 保养
[10:15.060] 您现在住的离这远吗？
[10:17.120] 您现在在哪？
[10:19.360] 知道。
[10:20.440] 在这边住是吧？
[10:24.330] 估计您那车子气囊的召回
[10:28.070] 还得有10来天。
[10:29.970] 应该就能到一批货。
[10:32.210] 父亲您这车是换一个父亲的。
[10:37.580] 换那个时间长，估计得车放那一天，
[10:42.350] 等到货以后我再约您过来。
[10:45.740] 现在也可以上门取送车，
[10:48.440] 现在也可以上门取送车。
[10:51.580] 跟E代驾合作的，
[10:53.360] 奔驰可以教代价。
[11:00.250] 那就看您时间是不是有时间您把车放这儿给您换了。
[11:08.000] 您这样等你电话了，行，咱们集团来接下来完了以后
[11:13.160] 可以把工具出来放。
[11:15.100] 就算差不多了。
[11:17.550] 但是目前
[11:19.640] 都有点排斥看到市场的我估计。
[11:26.000] 现在是在座的C级车的召回，
[11:29.040] 这不是吹的吧？
[11:31.710] 不SC就是纯C204您这世界OK。
[11:40.130] 属于C级车。
[11:42.590] 然后你今天割稻
[11:47.380] 一年多了，轿车的
[11:50.790] 我来吧。
[11:52.910] 花了刚刚成功了。
[11:54.970] 对，应该快了，因为系统上我已经看到有激活了。
[12:00.920] B宝我是为了把工具
[12:03.120] 里面放在车上，听到把对
[12:05.140] 知道吗？因为你车不在，我没喝酒。
[12:13.320] 后沙县这次给您换了。
[12:15.930] 了他们现在是
[12:20.410] 车子坐在这，
[12:24.590] 不太懂不行了。
[12:26.330] 这种办法已经有很多人想了。
[12:29.550] 好，你说跟银行拿个号，然后到了好在笑。
[12:34.420] 行。
[12:35.080] 我没想到。
[12:39.400] 有点着急。
[12:40.830] 因为
[12:43.150] 谁知
[12:44.690] 到40左右您看看，
[12:47.340] 现在有货，然后我再开过来，我能不能把货提前给他放在车上，
[12:52.930] 然后活要是干，谁知
[12:58.340] 然后您就安排个两三天不用车里。
[13:01.360] 行吧？
[13:02.250] 好，我们这样可以。
[13:04.830] 法庭在刚刚133
[13:10.810] 600万，
[13:13.040] 谁知
[13:15.960] 有人说
[13:23.760] 真的吗？
[13:26.990] 最新。
[13:30.660] 修车期间不用。
[13:35.790] 的
[13:44.960] 三年
[13:46.170] 产品，
[13:48.710] 人保
[14:05.480] 办理的
[14:08.250] 的
[14:09.480] 谁知
[14:17.880] 第
[14:23.620] 三
[14:24.800] 的
[14:28.230] 每天培养
[14:31.370] 这跟上网
[14:41.660] 或者之前也是，要不然卖相
[14:44.690] 这次的话。
[14:51.510] 这是您自费这一部分。
[14:53.580] 跟您说一下B保养是不用您花钱的，
[14:57.020] 做一个换一个后轮，刹车片换一电瓶，还有空调滤芯该做了，
[15:01.490] 空调滤芯空调清洗，再加上一个肉还有到的倾斜。
[15:04.860] 自费这一部分是4590块钱，
[15:07.560] 我将这个项目已经做
[15:09.350] 一下。
[15:10.300] 的。
[15:11.460] 一个保养召回估计
[15:15.630] 应该很快。
[15:18.720] 等到时候我这留下见，我给您打电话，然后您就过来，或者我可以上门取车。
[15:25.500] 您把您得留出一个两天左右的时间了，就车得放这。
[15:33.070] 谁知因为我打。
[15:36.280] 谁知另外。
[15:38.790] 看到两个数据，
[15:45.450] 我个人的。
[15:52.790] 拆下来那就见那电瓶我跟您聊聊吗？
[15:58.250] 的
[16:02.200] 数据。
[16:06.980] 话
[16:09.650] 场
[17:06.010] 的。
[17:08.610] 中午
[17:14.130] 12:00 12:00左右。
[17:22.430] 行，您休息会。
[17:24.360] 谁知
[17:26.210] 现在改了，现在都是打印出来的了。
[17:28.580] 再有您那玻璃上有啥这车保险是在上市在。
[17:31.600] 这放的吗？您保险也开了年好几年了，您想不想饭？
[17:37.900] 现在有一个机会释放一个代步车险。
[17:40.430] 可以走一次保险的。
[17:44.110] 这是一个逮捕车险，就是您要是想修他或者车上有伤想修的话，先上一逮捕车险。
[17:50.980] 过15天以后休，它是
[17:53.240] 大夫车险是1500，他给您发了2500块钱，1000能追一个1000块钱。
[17:59.670] 是现在保险这边跟
[18:02.080] 百得利跟保险公司合作。
[18:03.860] 的
[18:04.990] 完了。
[18:05.900] 就看您想不想修它。
[18:07.390] 这么说放那里，我。
[18:09.700] 我的一体机还都得重新量了。
[18:11.580] 而且工艺收音机旁对再说
[18:14.920] 换过一次换了一次玻璃了，反正那一小点就上面倒影响不是特别大。
[18:21.690] 那都放弃了。
[18:23.280] 行，您就休息一会儿。
[18:27.350] 一会我给您打电话。
[18:38.710] 没时间。
[18:43.110] 这次。
[18:44.080] 下次单。
[18:49.800] 坏
[18:53.500] 敢问。
[18:58.990] 数据
[19:01.750] 只要刘琦那250就该说了。
[19:04.830] 有话就刘备刚闹的。
[19:18.920] 这客户也舍得花钱，我之前走之前订了两个气囊能力通知到，每个没通知到了。
[19:28.190] 有一个姓葛的把到时我给打电话稍回来了，我妈我没留下。
[19:35.210] 得上门取车了，刚才我刚给打完电话就先做，对在他上门洗车，我跟他约了，他说周二。
[19:43.020] 上门取车行给他提前领出料了，零售过来上回就到了之后，
[19:49.960] 这其实就差一两。
[19:51.830] 完了
[19:53.850] 能歌唱的好听，
[19:57.720] 上门洗车。
[19:59.050] 上次就跟他说了，库房那边我说提前把料住在那库房，
[20:04.330] 人牵两头找谁签了，
[20:06.590] 随便你你抽谁都行。
[20:09.890] 谁都行。
[20:11.830] 后面。
[20:16.030] 你别用那个单子了，那个单子已经。
[20:18.240] 穿了得重新建一个。
[20:19.940] 不能来了我。
[20:22.200] 你别等他们来了，这没货那个时候。
[20:28.300] 你得重新。
[20:29.210] 建一个出的料，然后现在又到了一天那个单子你看
[20:34.960] 29号的上月29号的明天还有一天
[20:39.480] 天天回来，
[20:41.630] 天天
[20:43.710] 对，把它放到现在目前车间这个情况估计2300
[20:49.380] 6。
[20:53.970] 是这样，您车来了以后，我们可以把料站上了，就把车把料提前出库，然后放在车里，
[21:01.150] 然后回家就了，然后说车来不了，我没法点东西。
[21:05.290] 然后我可能就聊这个，
[21:11.970] 因为召回时间就是因为召回的车主
[21:20.690] 家里了，
[21:22.540] 我就这样，我就再让客户约您，我给您打电话。
[21:27.380] 行吧？
[21:31.570] 让客户来说。
[21:44.160] 号
[22:02.600] 登录
[22:04.100] 的。
