[00:00.030] 坏
[00:05.970] 五
[00:10.440] 数据
[00:34.130] 了。
[00:35.080] 我留个半年不开了。
[00:41.480] 晚上
[00:45.000] 对两门都没，然后我刚才把门打开他B柱右边了。
[00:49.390] 了可以。
[00:53.600] 这个声音明显跟以前已经变形了，B柱这块都已经了。
[01:00.050] 这里
[01:04.960] 这个应该不是。
[01:13.640] 你这次撞的跟上次一样5个数，
[01:16.400] 这次比上回其实严重。
[01:26.390] 您受地点在哪？您跟我说一下吗？
[01:29.580] 朝阳公园是吧？对我们车场。
[01:37.210] 欧阳公园停车场。
[01:40.810] 周围有监控吗？通过。
[01:44.520] 就能看咱们车发生这个事故。
[01:47.250] 所以为了非常避免后期，因为如果要是上边
[01:51.080] 就是说上面核实这个人心情不好，
[01:53.790] 他就觉得事故是假的，
[01:55.600] 他就会说什么复勘现场什么之类的，
[01:58.240] 因为电影什么的，
[02:03.330] 不知道平常说的对。
[02:05.440] 停车场里面不知道我们候车室太阳了，其实我往后挪了一下，因为我不能打了，人家到
[02:12.930] 然后我一看太宽了，你看你从这里面
[02:17.110] 太宽了，
[02:18.190] 又跑到那边去的话就太快了。
[02:20.370] 人管那就。
[02:22.060] 对，实际上我就是碰到这个城市，然后我挪了一下，然后让别人过去了，搁这天天早上上班什么
[02:29.350] 9:10。
[02:30.680] 一开始再开点，就大概有
[02:34.380] 有点叫时间真的了。
[03:23.560] 您车钥匙。
[03:25.330] 对。
[03:27.290] 又得出了
[03:29.260] 最少一星期，对是最少还是不？
[03:32.890] 因为主要您B柱比较麻烦，打开这瓶好像这个软件有前段。
[03:37.990] 没有您这次修车比较麻烦的B柱其实换门还是比较快，主要B柱
[04:05.070] 你早归
[04:06.290] 我们应该站在两边做。
[04:19.040] 检字标你还用照吗？后面知道吗？
[04:21.700] 他检测标好像之前应该也有。
[04:25.620] 应该是。
[04:28.290] 手机查的上面帮我看看我这轮胎什么，没事吧行，我有时候想一想，
[04:33.730] 我想看着看着，我就觉得我可不会在办公中间督查好毛了，我就唱这，您只要进店甭管是做保养还是干什么，别的小活轮胎都是必查的，
[04:44.580] 都是必须减的快3万了，是不是该做保养了吗？
[04:48.440] 上回您什么时候宝贝养您有印象吗？
[04:51.350] 他们应该3月
[04:53.150] 白点一条跟那不是说1万公里到咱们需要保养的。
[04:57.780] 行，然后您这次如果说喷气应该从前杠就是送的一直到左晖了，
[05:04.310] 加上B柱也可以，反正外观好，主要报弄的就是B柱这一块，然后再加上一些查线路这些线什么的。
[05:11.910] 比较麻烦，周总我前面检查一下。
[05:15.060] 我真的是现在已经害怕了，
[05:20.960] 杀伤了。
[05:24.150] 你看还差1000多公里就3万了，
[05:28.570] 我就每天80公里，每天下面早饭，
[05:35.700] 这个灯真的是有点问题。
[05:39.500] 本身仪表材料没有报检，这种说明功能应该正常用的，他如果轮胎比如说我们轮胎被扎了或者什么，他仪表会它会有提示的，对，比如说他压低了或者查了的话，
[05:52.100] 它会提示
[05:53.430] 胎压的一个报警。
[06:23.610] 对，当然了。
[06:24.960] 还要让我了会有吗？
[06:41.830] 待会还是有点太大。
[06:43.320] 太大了，我应该开一个很小的小轿车，奔驰这已经算比较小，乐乐在温室里头。
[07:00.870] 你们周日餐厅开了吗？开了。
[07:03.330] 可以吃饭可以一会我给您发一个，
[07:10.050] 早上跑到朝阳公园去练户外瑜伽，结果真的就听到这样的结果，瑜伽没练成，心情非常糟糕。
[07:21.410] 你家狗是颗畸吗？不是，秋天。
[07:25.930] 我看有点像。
[07:27.480] 好。
[07:29.590] 我比较喜欢大狗，
[07:31.680] 你看那狗，
[07:33.040] 你家那狗还挺小的，
[07:34.720] 我刚才都挺大个的站起来，
[07:37.320] 差不多到我脖子差不多。
[07:46.280] 前两天我家狗跟哈尔奇打架，回头给我来一口我家狗，
[07:50.680] 把你了把我咬一口，昨天我有个朋友也是被他自己家狗咬的，凌晨半夜1点吃一点，我那是
[07:57.520] 明天休息给我咬一口，井，姐关键流血了，紧接着去医院打针了吗？打了。
[08:03.550] 他不小，
[08:06.040] 她没流血我可能就不打了，关键我家手平常也打疫苗都是。
[08:17.910] 下面这个没事吗？
[08:20.640] 应该问题不大，大便没什么大事。
