[00:00.790] 接待首次李女士看C
[01:18.950] 萧公嘎胃口了，接待您这么明显。
[01:57.180] 第一次来咱们店。
[01:58.460] 是的。
[01:59.490] C200，C200枚白展车。
[02:02.660] 对因为后停摆了一个260，把C200的话跟它大小跟260是一样的，然后配置会低一些。
[02:10.020] 比如像全景天窗，那只脚先装类似于
[02:13.050] 背景天窗。
[02:14.270] 对，然后前台没有加热，没有记忆，其他的你里边大眼都看到
[02:20.940] 了，然后一个少个电尾少一个那种
[02:26.670] 还有一个就是发动机，有一个1.5T+48伏电机和1.5T
[02:32.200] 这带电击了，这是带了一个辅助电机，变更动力就更好，那电机是什么概念？
[02:38.790] 我理解您的意思，就好多人一提到说你这质保吗？
[02:44.550] 质保整车质保。
[02:46.790] 好多人会问到说你这是不是混动？
[02:49.680] 我们特意强调要你算混沌还只能算微混，
[02:53.910] 他没有纯电型手机，
[02:56.320] 只是作为一个辅助动力，然后他是等于把发动机上的启动马达
[03:02.700] 换成了启动电机，
[03:04.460] 搁以前的话就类似于是马达先充电，然后
[03:08.470] 转动发动机上发动机启动，
[03:10.770] 然后才有动物对吧？现在等于直接是进入直接扭动发动机，
[03:16.430] 类似于你发动机在还没有启动的那一霎那间，其实你送就已经到过了，这是起步的状态。另外就是你急加速猛踩油门的时候，
[03:25.300] 他电梯也是直接铺，
[03:27.330] 电机最大好处就是它有直接来的，
[03:30.020] 他说为什么好多电车上来之后就是三四秒的这种百公里加速，
[03:34.220] 它的近日要来得快，
[03:36.080] 但是它的持续助力就那么比较多。
[03:39.530] 对，其实就是解决小排量的时候，在低速起步的时候，启动的时候急加速的时候也就不足的问题。
[03:47.220] 所以说你像他为什么现在它叫260，
[03:50.790] 之前2.0T的要200，
[03:52.790] 它的百公里加速比之前快了0.2米，
[03:55.700] 也没多快，对，其实严格意义上讲，但是他这一点武器你得这么想，他少了0.5的排量，
[04:02.550] 对吧？
[04:03.380] 所以说现在其实就是取代它发展不是很好的，差别不大，落地化31万吨，
[04:09.060] 200200的话也就29万出头。
[04:13.480] 最低了。
[04:14.490] 我待会给您算一下，因为每个人情况都不一样，说没有，比如说你有没有置换指标，
[04:21.770] 现成的指标，
[04:23.200] 现成的指标的话那就是优惠65,000，全办下来的话可能也就差不多得25二十九万三四这样。
[04:30.550] 对这个。
[04:32.920] 这个礼拜31块7836~32万跟你们发布会，新车什么时候？
[04:38.990] 哪个新车CRV见过吗？
