[00:06.610] 你好。
[00:07.660] 是刘先生吗？
[00:08.820] 你好，我是咱们店的销售顾问，我姓成沉香，有着我的名片，您好，您是第一次来我第一次咱们来之前有没有预约过？没有就直接过来了。
[00:17.990] 行，我来接待您，然后按照公司的要求，我先给您介绍一下服务公约，内容，是客户为尊，以礼相待，诚信经营、合法得体，明码标价、公开透明、配件渠道信息优势，
[00:28.900] 绝不捆绑销售形式消费，绝不请假一次升华。
[00:31.440] 40081811884门电动服务电话，
[00:34.120] 本身也是咱们整个汽车行业里边第一个承诺不收取信息服务费的品牌，比如说您现在买任何一款车型，
[00:40.850] 做分期怎么都没有其他费用收取。
[00:43.400] 咱们两位主要想看什么车今天？
[00:46.060] 我给你介绍一下，主要是给老爷子还说要鱼子就是
[00:50.870] 我换就好弄了，还是偏
[00:54.850] 今年退60退给他换一下一直喜欢奥迪，我刚进农家，你们两位先喝点什么吗？茶水咖啡可乐确实没有什么让我特别的心动的东西，和我看了分值，其实我没怎么考虑，平时
[01:09.410] 开奔驰还是偏偏偏年轻点，对不喜欢这种力，飙车会员绿标的，你到小店生意你看看主要是一
[01:19.170] 意义，就是蓝色的这种车型，还有红色的这都是
[01:24.170] 然后我看陈丹您刚才登记的是一个E级车，还有一个什么车型好吧？
[01:29.280] 看看SUV的小coolK粉明白了。
[01:33.410] 就是说咱们想要轿车还是SUV，现在暂时都可以考虑是吧？对。
[01:39.410] 行明白，Q你到现在开A6开了多长时间了那车？
[01:45.130] 14年14年的14年66年差不多现在开了多少公里了？5万多公里。
[01:52.110] 5万多公里开的不多，这好家那个车还是家里车比较多，那车用的怎么样还行吗？
[01:58.750] 用的感受还可以，现在就打算用这台车来置换别的杂志话，就。
[02:05.030] 因为边他们出来了，
[02:06.630] 他那个车正好标在我身上。
[02:09.180] 我宁夏明白觉得我这边我好操作明白，对，我就想找一个也能给我车收了一块，没问题，也能直接都方便了。
[02:19.010] 可以，然后你这黑的有黑色的这款车的话，咱们黑色这边都没改，其实我老觉得这一的黑色
[02:29.820] 出来时有多长时间了，对一路对五四二十天没有。
[02:36.620] 不是特别什么不喜欢黑蛋。
[02:39.610] 不是他开肯定还是黑的，就我自己的感冒。
[02:43.450] 咱们对于新车这块预算有计划吗？或者有要求吗？
[02:48.310] 换的话5050万左右都可以接受，较出来都可以。
[02:55.050] 最好还是因为家里1还有Q5还有一个待器具化剂，对吉普这边我的基础3.6的我也买得早，04也是14年买，那就是说最好换一个轿车问题对吧？他还算换教室，
[03:09.250] 叫说或者形成小金库。
[03:11.700] 后边的我也可以考虑，等于咱们这C就是将cc幸福的
[03:17.810] 咱们主要是家用为主。
[03:20.270] 加油车主自己开是吧？对稍微的。
[03:23.520] 软件那块还是稍微沉了点。
[03:25.920] 对于汽车的时间上比较常见。
[03:27.660] 我12月前12对，所以我打点空调这些都感觉这时间点62月前，
[03:33.990] 他12月退休，我就当12点了，我就直接我说那who在我下把他车拿来开开两天，
[03:41.710] 然后我直接就一套了，就走完了就完事了，对。
[03:45.260] 然后上北京
[03:47.100] 考虑全款是什么情况，我没有什么一下无所谓题目，我只能看你哪个优惠更大了，我简单总结一下，第一个咱们预测差不多50左右都行，
[03:57.750] 然后的话主要家用为主，把园子开，然后时间上十一二月份之前，
[04:03.080] 然后北京号牌主要是想看，因为家里面有些有厂家选车的都是有机大气也好，或者是说SUV也好，
[04:12.610] 要送，为什么最好是换教学？
[04:15.240] 其实如果说按照这个情况的话，我给您推荐的是咱们一三百桃花，
[04:21.430] 因为他不喜欢lee比较空，对我要第300豪华的499,800的那种，
[04:28.250] 因为那个车的配置是最高的，他一直是里面最高的，而且比如说像全景天窗，
[04:34.100] 导航360度影像剥离声音，后排电动座椅调节，最后标配。
[04:39.080] 所以说的话我觉得E级车的配置从外观上刚才差不多，外观的话跟他差不多，
[04:44.910] 然后龙骨不一样，然后它的配置比较
[04:49.560] 然后整理这个东西的话相当于3.0排量，
[04:54.120] 2.0T的，他的高功率198。
[04:58.110] 行，咱俩12点能差多少？
[05:00.750] 他三四万块钱8000多块钱，我说如果差点钱还不如买高品质，
[05:05.180] 对不对？配置除了动力，其实其他的都差不多了，主要动力
[05:11.210] 除了东西以外的话，就是因为它的高配车型的话，带有后排的电动座椅调节，还有
[05:17.710] 店后台的不是
[05:21.140] 后排的电动遮阳帘，还有不形成影响这点数据。
[05:27.010] 咱们找个车给介绍一下。
[05:30.140] 特点。
[05:33.000] 产品
[05:36.010] 的
[05:37.420] 谁知
[05:40.100] 等等车我忘了哪个，我给你问一下，咱一三百有点看不见。
[05:44.430] 根本这个号码一三百的豪华美展车D300的豪华退出去。
[05:50.210] 楼下没有楼上。
[05:51.300] 上。
[05:51.740] 有个一
[05:54.690] 有个意识上了，这几天天天话说我也花
[06:00.000] 我现在说
[06:10.680] 咱们带你去楼上看一看吗？
[06:12.220] 然后你现在应该是第三百，现在是连土豪还是挺的独立的。
[06:17.950] 独立的就是左右两块也是这样的，不是这样的，是那种大的。
[06:24.680] 我带你去楼上转一转，看看有没有别的车型可以选择的，咱们加上咱们的人走吧。
[06:30.300] 那小孩走了，
[06:32.860] 稍微晚一点。
[06:34.250] 这边
[06:35.400] 了。
[06:38.350] 数据。
[06:39.560] 场、
[06:43.450] 五。
[06:58.400] 场
[07:01.650] 场
[07:03.460] 五
[07:19.910] 机场不好意思。
[07:52.280] 上班你说。
[07:57.320] 什么车？
[08:00.430] 998。
[08:02.620] 9九十九我给你先看看车，一会我过来在前面。
[08:08.050] 我不是吗？
[08:17.270] 我看一下。
[08:18.190] 还在。
[08:21.680] 行，您
[08:23.320] 大概什么时候来？
[08:28.320] 我那行话您来了您还得回去，你等会我
[08:32.510] 好勒。
[08:33.610] 你看不？
[08:35.230] 这顶吃饭我就看价目表上耽误你，
[08:39.880] 你不得安排我明天早饭，
[08:42.780] 除了早饭你可以卖这么多车了。
[08:46.360] 我这卖车多的人多了。
[08:50.040] 我就认你立场。
[08:54.040] 达标的是吗？
[08:58.300] 对绿达标。
[09:00.430] 怎么？
[09:01.840] 你给我说个数据，第4S
[09:05.780] 对我买大标的。
[09:28.810] 价格你再问了。
[09:33.490] 三
[09:38.150] 快点。
[09:55.950] 买55,000。
[09:57.150] 谁知
[09:58.820] 这类保险
[10:00.270] 对。
[10:03.070] 因为上牌最好的店里不在家里面的话，你看
[10:07.160] 你回家去。
[10:10.210] 对。
[10:12.340] 这里出来的话，一个礼拜的时间，
[10:17.350] 你把土地赔偿以后，
[10:20.780] 对，反正你看你要不唱的话。
[10:25.360] 2500。
[10:30.550] 参与
[10:32.810] 好
[10:47.770] 事实上
[10:49.820] 他不是豪华版，
[10:52.310] 他这个是465,800。
[10:55.040] 他不是自己配的，
[10:57.150] 或者三五块钱，
[10:58.180] 后边又火辣了搜索了，这不是他这不可能是上面比较多，然后没有开门没电了。
[11:07.170] 这是一块是不是？
[11:09.310] 不是他谁知2块三两段，
[11:14.190] 感觉上高中就像一块
[11:17.670] 三，然后这边可能还有126有一点。
[11:40.240] 对，咱们展厅里没有摆大标的豪华的，咱们
[11:44.020] 看看260也行，2002这不是标了，这就是哪个
[11:49.920] 运动就是标轴的。
[11:52.690] 标准轴距的
[11:55.740] 标准跟咱们常州的还有点区别，一个是前两隔山那一块，还有讯飞的那种
[12:02.230] 运动的谁知
[12:04.230] 设计，然后还有一个是
[12:06.360] 他的目标，谁知
[12:11.600] 短期的调整，
[12:13.290] 然后后排的
[12:14.610] 这个空间稍微短一点，差点滑下来。
[12:17.590] 然后前台的话它的
[12:20.680] 板式版不一样，你也是垃圾。
