[00:01.990] 沈阳接待首次现在开始。
[00:04.340] 王女士是吗？杨女士？
[00:07.660] 是没错。
[00:10.000] 是杨女士吗？刘帅召业。
[00:13.640] 杨女士。
[00:15.630] 比较
[00:17.910] 小妹多谢。
[00:24.300] 你好，我是杨女士吗？
[00:25.920] 那就刚才您登记是吧？
[00:28.550] 我看一下没号码是不是您？
[00:31.300] 63是吧？
[00:32.880] 没给我开过来。
[00:35.570] 也开过了。
[00:36.700] 9063是吧？
[00:39.660] 行了，给一张名片把销售施洋您好。
[00:42.500] 咱是第一次来咱们这儿，不是之前也来过，原来我
[00:46.400] 业务员他好像是离职了，后来有一个姓什么了，我也不知道你什么意思，说给我打电话，到现在也没给我打，说说3300回来以后C8
[01:00.150] 既然是C300回来以后说跟我联系，我说刚才跟您说了，你给我找一个好一点的，我考虑好点点的，
[01:08.670] 可能我还能这边多看看，如果不行我就不要了。
[01:14.190] 我就是听别的专家了，我一直选我已经看完哪了，六里桥那边谁知
[01:20.190] 还有钱咱们
[01:22.610] 应该是彭龙。
[01:24.960] 叫什么？我们拿夜行吗？咱找地儿坐着休息会。
[01:29.440] 需要喝点什么吗？还没找到啥。
[01:32.240] 我在开车，因为我也跑了，我的感觉。
[01:35.380] 小费300，
[01:37.520] 还有我买的有些事情我现在都不理我这茬，您。
[01:42.700] 我应该可以，我要不然我先试驾一下是吧？您驾驶本拿着的吗？拿。
[01:48.640] 等我一两分钟我给您问问看看车在不在好吧？没事。
[01:54.750] 看一下您说咱们展厅里没有摆在加入C300百乐一个乐不是内
[01:59.760] 妈妈在停摆了一个260每百个300行吗？您？
[02:03.030] 说完了行行好了。
[02:05.380] 一样都一样，就动力不一样，像所有的来说都是一样的。
[02:10.610] 好。
[02:23.350] 分。
[02:24.540] 也交才300是。
[02:26.070] 吃不了了是吗？
[02:28.250] 感觉。
[02:29.610] 这不在了吗？
[02:30.910] 没有。
[02:34.320] 260。
[02:35.960] 快。
[02:36.810] 没有怎么办？不过店没人加油。
[02:41.360] 当天这两天都没让骑车。
[02:43.640] 所以没人那个没用。
[02:45.320] 这上完了吧？
[02:46.640] 就去年买。
[02:48.630] 没有。
[02:50.120] 谁身高？
[02:51.560] Sj300没有。
[02:52.400] 青年别人什么。
[02:54.420] 这两天。
[02:54.930] 都没让其他啥车名称应该查查，连汽车人的名都没请示这个。
[03:00.380] 你是他刹车现在。
[03:02.120] 我他妈家的。
[03:03.510] 他们那时候没啥。
[03:05.770] 我们直接答。
[03:06.930] 都知道昨天就知道没有，我今天都一不查这种。
