[00:00.000] 4:51，
[00:01.290] 杨宇接待
[00:02.840] 负责冯先生。
[00:05.670] 你收吗？
[00:18.840] 您好，我在前台您在哪？
[00:23.420] 没有他那个号结果。
[00:25.810] 进去了是吧条
[00:28.120] 我在西边庭上黑。
[00:32.530] 行行DS旁边是吧？
[00:36.130] 好了，我找您去。
[00:38.360] 看着。
[01:16.400] 我这样行。
[01:17.280] 该半天就行了，上边的他们三号别走，
[01:22.440] 我们都在前面抓的，
[01:28.040] 我觉得不能答应，你看了今天客户开
[01:30.260] 了介绍过了，
[01:33.730] 你怎么了彭先生我就等好友了，不好意思跟你好久，我一直就到这来，可以开庭到这是你好，我是本店销售顾问梁宇，
[01:42.990] 然后给我名片内容这就行了，这个车
[01:46.320] 这个车是20卡的吗？零款的合同无效不是之前不一样，我们
[01:51.280] 花园桥上看到你们的事，一个个第4个一个柱子似的那种
[01:57.550] 都叫二逗留，他分配制有的是在那包围的，是古代的，
[02:03.350] 它等于什么4个塑料的这样的项目，我们这就叫包围。
[02:09.740] 第一次量空间您是加了包容吗？这也没加了原车，就这样的，没给您再改，你介绍吧对咱们的约过对吧？
[02:19.320] 要不要喝点什么水，咖啡不下，喝了开车一会给你谈价格没问题。
[02:24.880] 我不知道您说
[02:27.110] 我们整个介绍，我们秉承服务公约，你们做整体介绍，
[02:30.500] 没有捆绑销售扣为尊，以礼相待，先说一下诚信经营合法得体，
[02:35.460] 明码标价、公开透明，配件渠道信息公示，
[02:38.670] 绝不捆绑销售强制消费，绝不使用脚架一起多好。
[02:41.860] 我们
[02:42.760] 这也是有多种授权的，包括迈巴赫AMD5值都有，
[02:46.660] 这也不会向你购买奔驰迈巴赫AM记及smart品牌车价格到货时间4008181188是服务金融电话，这边有没有巴赫楼上也有车，
[02:56.530] 隔壁也有。
[02:57.490] 咱们比较大，
[02:59.980] 一层二层都有车，
[03:01.650] 主要是来看交C2楼就20，我们已经看到你这是第几家了，我问一下你
[03:09.690] 手刹在什么地方手上的？
[03:12.140] 每次都得要抠是吧？其实不用，当我们在驾驶的时候这不是档位对吧？
[03:17.870] 咱们往下不是N档跟D挡不是一对吧？
[03:21.840] 只要我们系安全带，直接跳过N档，直接挂到D档，就这样
[03:26.530] 稍稍用力翻到最下面，
[03:28.510] 那么手刹会随之自动自己放开了，那天试驾就自动杀。
[03:33.220] 对你要去管不用管，脚都会感觉顶一下就有这种感觉，那么当你停好车以后，
[03:40.080] 让你注射到P档，
[03:41.540] 他就直接双击你就不用停下车了，当您熄火的时候，手刹会帮您自动垃圾，
