[00:02.490] 出色，张女士。
[00:04.580] 你打电话吗？
[00:06.240] 是张女士吗？
[00:08.930] 张
[00:11.090] 是稍等您。
[00:18.200] 金伟雄就是和
[00:21.530] 伟大。
[00:24.220] 宝贝您刚才咱俩对都是张总是是吧？来给您真正上过这张图。
[00:34.790] 没事。
[00:37.220] 可能第一次来我们
[00:39.120] 之前记不清了，因为
[00:42.540] 我之前希望不管以前有
[00:47.380] 对，有段时间可以主场投资。
[00:52.460] 好了，上市的吗？
[00:54.510] 没想过的。
[00:55.610] 可以。
[00:56.520] 这都是不对。
[00:58.120] 定的。
[00:59.110] 等等牛肉他早上送价格，还有晚上。
[01:07.770] 我想问你一下理解我们今天是吧，地下就是小笑话对吧？
[01:13.920] 谁知
[01:15.640] 要你恰巧
[01:17.220] 就想看了。
[01:21.060] 然后我找他对吧？要不然楼上行了。
[01:24.580] 而这次打电话没约过吗？
[01:26.560] 没有，来到这边之后便通过快乐吗？两位茶，咖啡、可乐、雪碧什么呢？
[01:34.620] 然后还有两种车，
[01:36.480] 我系一种是这种型的，是那种轿车的，
[01:41.320] 原来我在这个比为什么没有办法
[01:46.500] 差不多是吧？
[01:49.450] 但我大概了解一下。
[01:51.360] 但是。
[01:53.150] 不下曾经。
[01:54.110] 后来一直在。
[01:55.600] 终于。
[01:56.450] 终于上市了，因为要是咱们范。
[01:58.450] 别的车。
[01:59.320] 不想再等等再。
[02:00.330] 等等。
[02:01.410] 确实是挺什么的，车外观什么的挺
[02:08.180] 可是挺难买的是吧？调整。
[02:11.730] 挺难的那车因为。
[02:13.640] 我们也等半天好吧？
[02:15.140] 喜欢车站
[02:45.410] 我看看。
[02:47.550] 请坐。
[02:51.720] 60多万。
[02:57.760] 又咱今年就这事，如果这时候要是定没问题，
[03:01.920] 我就不考虑。
[03:05.100] 现在反正颜色你还能挑，一共有三种。
[03:10.450] 白色。
[03:11.900] 灰色
[03:13.030] 跟蓝色。
[03:14.260] 蓝色是深蓝色吗？不是有市场的。
[03:17.870] 我跟您说白的那就不用说了。
[03:21.110] 灰色。
[03:25.440] 因为
[04:06.290] 是
[04:08.000] 他其实
[04:09.840] 有时间考虑买。
[04:15.700] 我还是挺喜欢这款车。
