[00:00.000] 先过来看下车来。
[00:01.710] 这就依散热器，我这边倒到沙发。
[00:06.510] 没事我弄就行哥。
[00:18.290] 按着气刚刚
[00:21.990] 这个叫三首汽，其实就要减轻水箱前面就出了好多苗，
[00:27.080] 你就听一下快吹一下，
[00:29.480] 完了给吹一下得了。
[00:32.850] 我没发出去。
[00:34.140] 去了没事完事洗车了。
[00:35.870] 先存着。
[00:36.980] 那边也没地儿。
[00:39.530] 完了，对，您说驾照身份证拿了吗？
[00:43.720] 那倒是给我用一下，行，完了我开个单子。
[00:47.460] 拍单子您得中午点吃午饭，10:30到饭点了。
[00:52.810] 王洋我估计完活得2点还得拿手机。
[00:57.860] 他们对，当然我帮您弄好好拿微信。
[01:02.520] 还是跟微信领就行。
[01:05.950] 完了11:30不就开始午餐就开始了。
[01:09.570] 当时我接完车您先去估计首保完活差不多，
[01:13.830] 这两点住他们的吃个饭。
[01:18.320] 上车。
[01:23.160] 得给我先回来了。
[01:26.650] 没来再给打一电话。
[01:30.440] 家主人家跑深圳含义。
[01:42.630] 行我用。
[01:45.590] 过来这边。
[01:46.860] 这车估计刚来还没维护好外号外搜出来。
[01:51.370] 上刚回来没有驾驶本不用了。
[01:56.280] 这有点脏，晚上回来马上行行尽快输着急。
[02:02.630] 好谢谢辛苦。
[02:05.890] 好了，多谢。
[02:09.160] 你快点更好。
[02:11.520] 这块我看看应该今儿还不快，就这么点小小形。
[02:19.520] 跟抽烟到时候打招呼，但是中午因为这饭点他们到时候也吃饭，就耽误工夫。
[02:26.790] 但是他们跟我们一样，中午都不休息。
[02:28.800] 西安了。
[02:31.840] 吃完饭回来有活接茬干，
[02:34.180] 没活做。
[02:35.710] 了
[02:44.670] 马上回来打个电话。
[02:46.900] 来。
[02:50.520] 当时买车留的还不是您的信息，我得给你换一下。
[03:05.510] 讨论。
[03:09.140] 你别好了我给你
[03:14.750] 是不是拍照他自己扫描扫进去。
[03:18.560] 自己扫描过去。
[03:24.430] 光线不好，对不上焦。
[03:29.400] 对了。
[03:33.620] 电话139这号是吧？
[03:37.740] 留您电话，139
[03:40.550] 11934296。
[03:46.360] 谁知
[03:50.410] 每周送保养是吧？
[03:52.430] 我给您查查，我这是第一个表示没找着。
[03:56.100] 50693
[04:03.140] 一岁很少先回头再说，我先把这用了再说。
[04:09.290] 这不正好叫A宝宝手宝从A保作业，
[04:12.660] 二手保鲜先用再说，完了加上C是吧？我唱别的。
[04:19.080] 2531811L
[04:23.430] 450693。
[04:34.180] 11点，
[04:40.790] 第一点是
[04:46.430] 没事到时候冲下车。
[04:52.110] 他们是吧？
[04:53.870] 反正就冲着就把外边树的什么冲掉了。
[04:58.400] 要不他什么？
[05:01.330] 谁知
[05:06.400] 坏
[05:14.530] 水晶
[05:24.450] 我想去哪儿，那钥匙在哪我跟前。
[05:30.430] 就买汽车了吗？
[05:32.040] 有费用吗？不用洗费用，您戴先生直接去直接走就行是吧？就等洗车等仨钟头了。
[05:39.010] 我跟你爸爸叫来了，让我们这老师都带进去了，
[05:44.520] 实在不好意思车他知道车上边有枪，他知道去哪了，辛苦了，so我谢谢您先生看懂慢走车，
[05:52.770] 爸妈就来了。
[05:54.860] 看了车不是他那车有问题，他是坐车回来的，造车回来有问题以后只着急用车，
[06:03.400] 车着急用车，我说您早点来吧，早点后来发现有问题，说那就先不修了，先开回去，
[06:09.910] 完了反正等等
[06:14.690] 老孙去了，谢谢先生。
[06:19.240] 1003跟光光能洗车等等一半钟头了还。
[06:26.220] 刚打电话就叫刚才跟我说话那哥们让他说回来给洗一下去了，因为我那不夹肉没法去，我早去了，
[06:34.490] 无驾照没回来，没好穿还费劲。
[06:41.450] 泡突然肺是多了，
[06:44.030] 单子您还要一份吗？反正我就报了一句，我几率保养，我说到时候给您却水乡不能不收钱了，行。
[06:50.240] 别的没啥事。
[06:52.320] 您就掏手机，我给您领一餐券，到中午您吃午饭就得了。
[06:57.810] 他去吃饭差不多争取吃完饭终于让您走。
[07:03.430] 首先还是微信有一个公众号叫百得利集团，有
[07:11.410] 有事。
[07:12.760] 您先找公众号，待会我看一眼登录了吗？没登录您登陆一下，登陆好了到时候我直接给您送。
[07:20.400] 加一下。
[07:21.630] 马甲就是点，放大镜点没放大镜，上面放透镜，
[07:26.930] 搜索我对你的在下边写百得利，直接写百得利，
[07:35.300] 然后他号名叫集团，
[07:39.550] 第一个就是一个不
[07:42.930] 下面下边的第一个
[07:45.560] 集团D这个是点第一个点，第一个它结果
[07:50.720] 点它就行要关注一下。
[07:52.720] 完了下边有一个我的
[07:54.640] 给了我的
[07:56.250] 最下面这方边我登，然后他这边有一个点头像，您
[08:01.830] 登录就也简单的输手机号。
[08:13.680] 完了把验证码输刚才页码放松验证码，
[08:20.750] 完了等他验证码
[08:22.840] 一点。
[08:26.240] 长期
[08:30.010] 就提了。
[08:30.930] 然后我这边直接给您打赏，第二条不用介绍，那到时候最后走时候我这三圈就行了。
[08:37.360] 上面这不是没有吗？我先给您看看。
[08:41.360] 几位过来您就好勒。
[08:44.620] 您那电话你再给我念一下，139139119110429。
[08:49.230] 7896号。
[08:51.350] 一位是吧？发过去你放心，谢谢。
[08:55.840] 你参加那不就要一了，到时候吃饭时候你就拿手机点一下就看，
[08:59.820] 点开它就拿过来，点开了以后还给他们扫码就行，现在就开始了，1:30到也开始导演。
[09:08.910] 你先吃饭，我先把车送进去了，我给打电话就行了，您等我电话能尽快咱就尽快。
[09:17.150] 好吧，没事您客气。
[09:33.260] 上
[09:36.870] 五
[09:46.500] 的
[09:49.150] 着
[09:50.500] 远远
[09:52.430] 卡片，
[09:53.600] 非话
[10:02.780] 坏数据。
[10:12.360] 的
[10:18.590] 人。
[10:24.190] 拍拍网
[10:31.260] 完蛋了，结果
[10:39.610] 三
[10:45.510] 但是月
[10:54.890] 明白，谁知
[11:00.160] 还不错的。
[11:02.060] 然后一天还是应该是
[11:09.510] 走。
