[00:00.560] 27号丁橡胶
[00:04.190] 卡
[00:09.590] 138101
[00:12.850] 1018
[00:14.300] 9852。
[00:17.960] 场
[00:51.040] 数据
[01:02.460] 的
[01:15.090] 我告诉你。
[01:16.370] 的。
[01:19.980] 谁知
[01:52.820] 这样的中午略。
[01:54.500] 他人家黑的吗？
[01:57.670] 反正也不你看他们哪里
[02:04.910] 还可以了。
[02:11.560] 还是关着我那个拿到明天到期。
[02:15.830] 一会
[02:18.680] 下雨了做完后楼下往上拍，这个案子里面看一下，
[02:37.320] 这边
[02:38.070] 我不能
[02:39.810] 来
[03:06.790] 启动一下可以
[03:07.600] 感受一下。
[03:39.560] 谢谢。
[03:40.400] 我进来是吗？
[03:58.000] 一会咱班所有老师接给咱们讲述了就。
[04:00.570] 好，这个怎么开？
[04:01.890] 怎么着？
[04:03.770] 空调大小，
[04:08.680] 然后在玩，
[04:10.480] 上校教官去了，
[04:12.060] 给了我把钥匙我上车点
[04:16.840] 再来了。
[04:17.940] 王源。
[04:20.440] 行。
[04:22.040] 你现在到家了。
[04:27.720] 媒体前厅
[04:29.380] 信不信？
[04:31.000] 我看您看看也没啥不好。
[04:33.880] 话说开始哥想说用我开，
[04:36.890] 咱互相把手就办了，去交保险去。
[05:10.610] 您上来咱们开着点歌，
[05:44.430] 同学好像客户辽宁
[06:10.480] 我去交钱，
[06:30.680] 还没弄一会他讲完之后直接送过去。
[06:40.410] 还是颜色。
[06:41.930] 要看看你
[06:45.010] 我觉得没有白的那么显得亮，这个也不尴尬。
[06:52.720] 话说这东西不理，
[06:55.900] 以后要分析，
[06:57.700] 你期不好找报配，
[07:05.830] 你去那二楼那工位上打着，
[07:08.200] 等我一下拿着手机看。
[07:13.480] 了
[07:35.010] 你们来了给
[07:38.440] 了
[07:40.370] 我。
[07:46.010] 行。
[07:51.330] 一点。
[07:54.030] 我认识。
[07:57.500] 场
[08:02.490] 数据
[08:04.460] 坏数据
[08:08.520] 数据
[08:10.120] 场。
[08:11.090] 数据
[08:57.430] 数据
[08:58.400] 场。
[09:00.650] 数据。
[09:45.960] 数据
[09:47.000] 数据
[09:51.670] 来看看，
[09:53.770] 用
[09:55.790] 教活动。
[10:06.960] 985号是姐的微信，你电话是吧？电动马到我的
[10:24.750] 3179。
[11:30.730] 你好，我是咱店金融专员，我来跟您核对一下咱们的金融合同。
[11:34.610] 您看一下，
[11:37.050] 您这车开票价是273,800，您选择是首付一半带一半的话，带一个136,090分~18期，
[11:45.800] 每月您还一个112块9毛4，到最后期的时候您再把这尾款一次性还就可以了。
[11:51.940] 方案您看没问题吧，自己付款千万。
[11:54.950] 每个月我还
[11:57.790] 拿100多就可以，因为每个月还100多到最后的收款。
[12:01.940] 11年半之后，我待会帮您绑一下咱们微信公众号上班有完整的还款计划，您从哪儿看就可以，他是这样还回不
[12:10.790] 是分期一个月还给您的话，每个月还点利息，然后对
[12:16.290] 这不用签字，这没问题的话是给您留存的，然后签合同的话还是跟之前一样，是给您二位发一个链接，您从线上确认。
[12:26.620] 还款卡是留谁的，我下了一个卡管家，
[12:31.850] 你必须得中农工建这四大号，
[12:38.720] 我还没过。
[12:46.960] 没带。
[12:48.000] 您有卡号没有卡号有没有这个号码？
[12:50.770] 有什么关键的？
[12:52.930] 你还
[12:56.700] 上次说是没有，
[12:58.440] 这就是手机的交通
[13:01.670] 等待了。
[13:03.270] 对，不过这个是费。
[13:08.250] 牡丹卡是吗？
[13:10.500] 能让我试一下，正常是要储蓄卡的卡号。
[13:14.690] 咋对，因为这个是能透支的，我记得应该是对这肯定。
[13:19.390] 这能透支应该是不行，我去试一下。
[13:25.720] 明天是不是这个？
[13:27.240] 我就没带可以让他试一下。
[13:29.590] 您能找到卡号也可以，有手机银行上班应该都能查到卡号。
[13:34.430] 没有。
[13:35.660] 支付宝明天不是我就没有办法。
[13:49.960] 你再没找。
[13:52.460] 我看到好几张，但是到那边。
[13:56.640] 没用的费用。
[13:59.770] 注销吗？
[14:03.170] 行业表示。
[15:40.360] 836,900一半一半，
[15:42.710] 就拿出36,900，加上这个也能上门服务费用2500，
[15:47.080] 国家的扣代缴的购置税24,000，
[15:49.600] 实缴的那些你选的保险一共8600，
[15:52.160] 还有精品，
[15:53.980] 那里风6000。
[15:55.510] 然后首付。
[15:57.120] 168,000。
[15:58.600] 应该178,000减去个1万是我们，然后但是您得提前买这个月供银行卡里面走上透支的额度，走透支卡额度，像您还款没成功，哪个一条挣点工钱，希望您用了。
[16:12.410] 快快。
[16:14.320] 咱俩3点就行。
[16:17.520] 然后我刚才把合作链接发到给您二位发过去了，您按提示操作一下。
[16:23.250] 你操作
[16:25.280] 他操作进行是不是您也需要。
[16:28.520] 你们俩是不同的链接，我都写上名了。
[16:48.960] 这两个都
[16:49.840] 我给你。
[17:06.190] 身份证是不是要拍？
[17:09.950] 不是，这是面部识别。
[17:11.760] 还有没有跟上次一样可以做？
[17:18.290] 出不来。
[17:22.100] 您点下一步。
[17:27.210] 您这字体网调的太大了，它显示的不。
[17:30.890] 您不强调用女士的手机操作吗？
[17:33.740] 咱们不能再这么。
[17:47.730] 上面这两个文件您需要分别点开。
[17:50.670] 第一个就是我跟您核对了这个合同，
[17:54.280] 还是可以放大看信息的放大，
[17:57.260] 手机换了，然后还要填写什么，不用您。
[18:01.060] 确认一下没问题就行，然后您点。
[18:03.320] 下阅读并确认就可以了。
[18:05.350] 第二个。
[18:06.730] 是授权美元从卡里边扣月供。
[18:24.370] 上边的加号，
[18:34.590] 23工行的对。
[18:38.060] 每月他会从卡里面自动扣款，
[18:44.440] 这上面没写金额是吧？
[18:46.430] 是这样，您看这张表这有一个合同号是跟您合同编号是一样的，它们按照这个年限
[18:52.710] 还有金额去扣款，
[18:59.950] 然后就写字就行吗？
[19:04.570] 不是一下全写完，它提示您写哪个G点一下清楚。
[19:09.160] 点一下清楚一点。
[19:10.700] 清楚。
[19:28.270] 好了应该就可以了，然后先生您帮忙。
[19:31.480] 谁知对他手机显示不太
[19:37.470] 上面。
[19:39.240] 剩下研究反正31362，不
[19:43.840] 感谢马队。下面发表一下。
[19:52.240] 能收到。
