[00:00.000] 京NL8Q。
[00:02.270] 86
[00:04.150] 一
[00:06.590] 现在是离咱们这儿近是吗？
[00:10.010] 头一次来这
[00:11.600] 教教我吗？
[00:12.600] 头一次我得用一下您的驾照跟形势。
[00:16.900] 在车上吗？还在您身上，我
[00:19.410] 我前天登记过了，
[00:21.300] 我没有之前登记过了，在这做过保养，没做过保养，但是好像给我登记过，登记了他要给你登过去的话，我这一扫就出来。
[00:31.340] 您的信息什么的，上次什么入保险的时候。
[00:38.250] 入保险。
[00:40.280] 跟我们不是我们这个系统，
[00:50.190] 说给我登上了，
[00:51.810] 你看这就出来了，
[00:56.760] 给您
[01:10.400] 372
[01:11.880] 35。
[01:18.640] 139尾号12对138。
[01:23.030] 这不是我的，不是您的。
[01:26.960] 1381197119706690669。
[01:34.050] 13811970669。
[01:39.490] 谁的电话他有可能就是聪明，
[01:46.070] 车里边种物品手头需要用的您都刷好了。
[01:50.670] 没有。
[02:09.490] 你这车是自动落锁是吗？
[02:12.700] 没有吗？
[02:13.900] 没错。
[02:23.830] 那天搁在墙角
[02:26.530] 查了一些
[02:37.810] 脾衰的弄不起来这东西。
[02:40.170] 弄不起来，这个痘印不也有，对，那批车得弄到一
[02:47.020] 一传出来，您甭说咱这德系车日系车都拽不出来。
[02:52.530] 呵呵。
[02:59.670] 这块修一半多少钱？
[03:01.660] 3850。
[03:15.110] 这也是
[03:18.310] 这不是昨天
[03:21.220] 跟着不管了吗？
[03:23.410] 明白了，谢谢您，有可能是别人给您挂的，你比如说咱
[03:28.260] 咱开门车的人家
[04:54.510] 现在是58,096，
[04:58.080] 有不到一半了，
[05:00.410] 不像咱们上屋里了，
[05:21.640] 拿着点。
[05:23.050] 前台。
[05:24.760] 如果说那什么的话，
[05:26.550] 您要是为了节省时间可以提前约一下。
[05:31.300] 他不就是时间有保证了吗？
[05:49.160] 三
[05:52.270] 号
[06:00.080] 我看您车上有etc。
[06:04.470] 如果咱给您换完玻璃之后，您得去找etc公司
[06:08.550] 去做个设定去，
[06:10.270] 就找了etc公司做个设定，因为他那etc，然后他后边它有一个按脚一一摘下来它就断电了，
[06:19.730] 就重新设置。
[06:24.030] 你刷完玻璃山上
[06:25.780] 查了以后得重新
[06:27.420] 就找到同引用一下，对，说白了他用他干这活也用不了一分钟都。
[06:33.620] 但是没他那设备你设定不了。
[06:37.690] 我刚才看了车主本人什么都是您一人，您拿着行驶本拿着身份证去就行。
[06:44.850] 您这钱放哪能贴膜了吗？
[06:50.800] 老哥，
[06:55.940] 还打算贴吗？
