[00:10.910] 市场。
[00:16.970] 窗户。
[00:20.420] 楼上转转看看。
[00:23.640] 厂牌
[00:25.870] 的。
[01:02.290] 快起来。带您看。
[01:06.500] 这个提到进了。
[01:07.710] 近看他跟那有什么不一样。
[01:10.230] 我现在心想关系，
[01:12.360] 您连
[01:13.980] 手机。
[01:14.880] 没有是吗？
[01:22.220] 自动连上了。
[01:24.330] 场
[01:28.880] 这个是一个软点的厂房，奔驰这款衣服他分。
[01:36.210] 两种谁知。
[01:39.890] 两个版本。
[01:42.400] 把这个关上吗？
[01:44.400] 是把盆开一下是吧？您稍等，我得给您拿一下钥匙去。
[01:49.770] 这车没试驾车，因为太少了。
[01:51.970] 太少了。
[01:54.060] 这一年可能像这种敞篷车也就来杀。
[01:56.810] 这种。
[01:57.860] 这是肯定吃不了，咱们先拿钥匙我看看，行我给你拿一下。
[02:15.280] 张波怎么
[02:18.410] 说？
[02:23.300] 都跟他说完了，给他打电话什么都没事了。
[02:31.640] 没事，我微信跟他说就行。
[02:34.690] 也行，肯定有在天天的做魔一样。
[02:42.440] 行好勒，好谢谢也不用这样。
[02:46.480] 谁让他怎么回事，还拿一个什么版本还打通不一样。
[02:50.400] 反正你也不会，他说这不对，因为你面对。
[03:01.280] 怎么长话电话？
[03:08.640] 号微信号我那说你能不能。
[03:11.490] 客户去学过了。
[03:14.660] 了。
[03:18.670] 然后我把钱给了出来。
[03:22.620] 跟数据
[03:28.380] 产品
[03:32.350] 女孩？
[03:33.440] 场
[03:39.530] 号。
[03:48.280] 7左右。
[03:50.160] 二。
[03:52.720] 查卷。
[03:54.530] 刘美娟。
[03:55.860] 忏悔。
[04:32.700] 垃圾桶您给我就行。
[04:34.280] 没事。
[04:39.600] 我帮您看一下彭咱看看。
[04:42.650] 这一点。
[04:43.880] 飞抵的
[04:45.050] 在这种黑色
[04:47.080] 去年来过一台深红色底的。
[04:52.000] 但是车身是银色的。
[05:01.030] 不行吗？
[05:02.120] 2020款。
[05:18.650] 对吧？
[05:22.530] 这车不会吗？
[05:23.980] 这车优惠也就1万多。
[05:26.070] 这么点。
[05:27.400] 这是进口的吗？对整车进口，你要进口的话海关杭州肯定
[05:32.600] 平安镇红应该没这车。
[05:34.340] 没有屏镜头交一家S还有大忌。
[05:37.980] 但那些都是国五的，现在没有过6的，他们您上不了牌在北京。
[05:44.090] 这里都会那么了，楼下。
[05:48.760] 硬顶的应景差不多能优惠有3万多。
[05:52.360] 要多少钱？
[05:53.420] 办完了比他的便宜10万块钱。
[05:55.610] 60多。
[05:58.630] 便宜10万块钱这么多的。
[06:00.850] 对，这辆车得查出来。
[06:04.450] 优惠能相当于百比。
[06:06.980] 有几个？
[06:08.430] 我们不说点位那种，我们就直接报现金。
[06:11.970] 好吧，紧接着
[06:13.210] 他底下那蹭到试驾吗？也没有使价格，就这种属于小动车型，咱一般都不配试驾车。
[06:19.180] 在澳大利亚还有
[06:21.300] 没办法大概多少钱，我给您算算，行，我把庞反正先弄回去了吗？
[06:28.700] 再回给您，是您要是今儿定给您问问经理，但是不会有什么太大的浮动，
[06:33.210] 经理权限也就比我们多了3000块钱，也就这样。
[06:36.750] 你别发给我先大概看一下你行。
[06:39.880] 行没问题，我把盆收一下也行行，没问题。
[07:15.470] 您先看着车，我给您算个价。
[08:01.010] S
[08:02.600] 叫S分两个配置，一个是对买，一个要豪华动感，办齐了120豪华150，
[08:10.230] 你们比拼的。
[08:12.610] 30多应该差不多都不行，他们100。
[08:15.700] 100%零点。
[08:16.730] 一百零几？
[08:17.940] 这个吗？
[08:19.070] 他有什么。
[08:27.750] 但平行进口车一般不太推荐您买。
[08:30.780] 就没有质保。
[09:00.130] 所以就这一台或者台
[09:02.820] 那就得先车。
[09:05.090] 订的话自己拿，定的话咱们后边没有配额，
[09:09.150] 没有配额的车的话那不千胶漆的，
[09:12.000] 只是收集一个异性定金，等不了的话可以退，但是要是订的话就可以颜色什么？
[09:18.340] 可以这个县城就这100万，这地方高配。
[09:22.720] 这是低配的离开，咱基本上来的没来过OK，就是说300的那种没来过。
[09:28.430] 楼上还有其他车吗？楼上没了，楼上办公区了吗？就这两条是吧？
[09:37.090] 明天上里边转一下，行，那天算我差不多算报价也5分10分的。
[09:41.720] 谁知
[09:44.230] 还有天津吗？
[09:45.870] 没有，咱西安都是在外边。
[12:03.760] 一会想找。
[12:04.840] 完了边好这门口就行，我倒下去找你。
[12:15.060] 这边只有要不然您先对这边指导很近。
[12:19.110] 一楼也是这个位置。
[13:16.490] 三。
[15:03.720] 胡歌
[15:04.520] 帮我盯一下儿。穿了不要了。
[15:09.280] 谁知二货小广良。
[15:14.100] 30
[15:16.350] 多分钟算一下到了。
[15:41.670] 咱算了两个分析方案，咱先说存款
[15:44.650] 指导价咱们这村633,800，然后刚才楼上那才是增配一个墓室条纹，是高光晨露最多了一个4080，所以指导价变成了6 37,880。
[15:55.130] 然后咱们现在我刚给您看了，优惠的是2万是617,800万，
[16:00.720] 然后购置税是54,000多，在国家征收的基本上没什么对进口国产都一样。
[16:06.680] 多少保证金？
[16:09.280] 他征收的比例社交比例是一样的，
