[00:00.000] 623。
[00:05.640] 稍等。
[00:16.700] 交上来的，还有平时
[00:18.610] 不管
[00:23.040] 大哥你是加班的。
[00:27.670] 刚才讲
[00:37.680] 张先生的小鸟
[00:39.770] 小S
[00:41.400] 小S很有感受过了吧？
[00:44.060] 没有IOS。
[00:45.640] 门口
[00:48.560] 交易
[00:50.160] 或者王先生
[01:10.990] 你早上怎么都是介绍。
[01:12.790] 咱俩站在一块报价给你说的，咱俩说的时候一个架套就干了。
[01:17.870] 多少钱价格？
[01:19.820] 报价5万。
[01:21.560] 谁知
[01:25.100] 100。
[01:26.950] 公示价格、
[01:28.420] 是加15，咱实际上加5就行。
[01:33.990] 太难了我已经。
[01:37.300] 等你说他们俩人光机都在那聊，你报一下啥不一样不敢干。
[01:42.450] 谁知
[01:44.200] 的
[01:54.500] 你好张先生吗？
[01:56.850] 您好，百得利奔驰的分给我接待您在什么位置？
[02:09.010] 您稍等一会儿。
[02:24.560] 您好，张先生吗？您好，欢迎光临百名知青项目将向北到明天。
[02:29.460] 今儿有预约吗？张先生？没有，你过来看一下第一次来咱们店是吗？
[02:33.590] 弟弟是在你家吃点什么吗？咖啡可乐造成的，比如商店里快过来看看。
[02:39.170] 行，这样为了更好的给您服务，当时有一个服务公约，我给您介绍一下，
[02:43.800] 客户为尊以礼相待，诚信经营、合法得体，明码标价、公开透明、配件渠道信息公示，
[02:49.570] 全部捆绑销售，强制消费，全部升降椅子冲。
[02:52.400] 好，下面会有400818188服务监督电话，
[02:55.670] 奔驰是第一家承诺不收取金融行业的品牌，您可以放心购买，
[02:59.860] 电台就是准确，要不我们加三分之，所以你还再买一个好好。
[03:05.520] 您让咱沙发那边。
[03:07.890] 等会写行，倒是等会谁知没有选好的车型吗？还是都给您推荐平台？
[03:13.930] 咱买个大点了。
[03:16.140] 要看SUV选好了吗？
[03:19.920] Sb180
[03:22.030] 三。
[03:24.290] 其他没有了。
[03:25.860] 咱们这都可以从不买，昨天买什么EMS，你知道你了自己头脑什么呢？
[03:32.630] 你拿点盒子来这也行，咖啡、茶水，
[03:37.790] 还有没有产品了？
[03:40.000] 的？
[03:44.270] 说
[03:45.040] 大宗商品中
[03:47.570] 主要是有商务用途是吗？
[03:50.680] 我们的方面比较低，
[03:54.840] 我们都是
[03:55.840] 因为我们有一个什么
[03:59.960] 目标，
[04:01.290] 有个指标能够你们的
[04:07.200] 连办公室干什么，把自己开着玩吧，明白吗？来客人皆能贴吗？对吧？明白了。
[04:12.810] 您现在咱家里用奔驰都什么车型，感觉嘌我们400，
[04:17.320] S的SAS0，你好。
[04:21.380] 还想还有一个还有轿车，sc已经有了，对您在买轿车的话，其实车型可能就有点重复了，
[04:30.270] SUV还是合适点，这是100 100万的车，4折3G2S
[04:36.010] 咱是家用也行，包括也能兼商务450就有5个了。
[04:41.920] 7S吗？
[04:43.360] 都是7多的，都是7折，对5对的话一般客户就选交易了。
[04:48.360] Nana了，这边没有，为什么您像很多接触到的原来是老客户，
[04:55.250] 做地产的工程的、金融的会买GS实际上也会做商务接待都可以的，它也是一款商务SUV车，
[05:04.650] 他这个都是新的。
[05:06.040] 对，7座的后排座椅，如果说可能多数咱用不着，
[05:11.780] 您可以放到后备箱也都可以。
[05:14.220] 它的实用性还是挺强，谁知他有两款现在一个动感一个豪华，
[05:20.270] 1,188,000，然后豪华的话是1,418,000。
[05:24.420] 公示价咱是上北京牌，对，我上北京牌的话，完了
[05:29.890] 上北京牌的话，动感型优惠完的话是1,088,000，然后是咱们的豪华型的话是1,288,000，这车行有三个弟弟吗？哪个？
[05:40.010] 128给您的都是实际成交价是我的权限，我刚买完一台你可以不长时间。
[05:46.630] 没事，我正考虑是不是还再买一个一样的。
[05:50.760] 娇S对你要看过跟您说您明白这车的话，现在咱们上北京牌它的公示价格
[05:59.350] 优惠完也比他指导价的话要贵了5万块钱。
[06:03.000] 对抽象。
[06:04.100] 但他比如说平行进口的就20多个，
[06:07.480] 平行进口的话对了差不多，
[06:11.570] 比较动感型的话压差了10多万20万差不多，对，应该很实在差不多。
[06:18.560] 但是咱是想常开，还是说开两年能笔账能换？
[06:23.660] 我可以，还有。
[06:26.160] 为什么问您这个？
[06:27.990] 因为我们干起了，包括天津港也有哥们，你要是找的话也能帮她给您找，但是
[06:34.230] 因为我不是北京人，一般我们老家的大哥我帮他们找错了，我中枪人，
[06:40.490] 我黑龙江人待会先生人家说哥您是人家办的，您嗨，
[06:46.270] 我们俩大约三和我签。
[06:48.670] 他觉得哈尔滨上的黑大那边，
[06:51.570] 这样哥你知道吗？为什么咱们家我给他们找那车，咱们家当地您也知道，
[06:57.150] 我知道手续办齐不齐的，他就能上台当D有事儿也都能产了，对。
[07:02.960] 但是不成北京你要能买北京上牌，您说
[07:08.440] 大概得90多。
[07:09.880] 跟中规版的价差其实不太大，而且那些车都是以二手车的名义进过来的，他进了国外的车是最低。
[07:19.860] 然后他在港里面，我哥们他们是前天后场您想要的配置，其实那些所谓的高配全都是他们自己加的。
[07:27.190] 我知道像我们一般买着我们从国外定从集体外地
[07:31.580] 那就进来，
[07:32.740] 发现国内地区不要往了，对都没有没到，所以说现在就很尴尬，我指标到期的快你知道吧？
[07:40.970] 但是你要说外地为啥都愿意要，
[07:44.670] 说白了他买便宜的手续办齐不齐的？
[07:47.350] 不是90万这价比那便宜多了，
[07:49.580] 而且他一笔账
[07:51.290] 比的更多，怕当中规的来抵，但是你要北京上牌就不太黄色了。
[07:57.610] 所以看看到时候买一个，你看有几天起来，
[08:03.080] 部分现车不全，比如看看四五十年前段时间买过，您知道销售S的车一直都比较少，为啥它的售价
[08:11.530] 一直都比他指导价贵，也不在这
[08:14.570] 了。
[08:15.440] 凡是我多问一句，自己出钱，工地出钱，
[08:19.260] 是姐自己这两款车底盘发动机、变速箱是一样的，您之前买的是动感的还是豪华的？
[08:28.870] 宝马前两天买的，前两
[08:31.260] 是网上买的。
[08:33.000] 没有。
[08:39.780] 亦庄那边不知道哪买的8号、朝阳、东、瑞达。
[08:46.000] 都是瑞达对吧？
[08:49.080] 百得利跟博士算是北京两边比较大的地方，少了车型您也能看到比较全吗？就算是气话，谁知
[08:58.160] 现在买的什么车有现车吗？你要说我帮您查一下，不用要求看一下，小孩看一下。
[09:05.830] 主要是解开了。
[09:08.030] 明白了。
[09:09.800] 动力配置这块他有现在他用的什么车有没有的了？
[09:13.920] 达到这车尺寸其实比霸道还略大一些，它的尺寸跟陆群相对来说是接近的。
[09:21.500] 对，看看电车小，您稍等我拿药了，您稍等。
[09:42.880] 夕阳S
[10:11.090] 留个电话。
[10:14.250] 010
[10:18.270] 368您。稍等会您会
[10:27.270] 马上
[10:36.190] 了吗？
[10:43.150] 售后
[10:49.720] 我看看。
[10:50.910] 等会儿。
[10:57.990] 让他从这边过去是售后，然后售后接待，让他给你R前台安排就行。
[11:03.670] 我的现在车在那边了，你让他开过来，到这边来我跟那边说过说是吗？
[11:10.090] 不是你让他先开过来，然后直接到前台售后让他给你安排。
[11:14.770] 不是我那个车昨天晚上请我的，已经挺过来了，你这么着东南我现在给人办一首这过不去，
[11:22.070] 从里面进去就让我这把子前台，我就跟他说这情况，他给你安排人就完了，就是从这过去了。
[11:28.770] 这块房子后面就是收回来了，然后一会马上回去找你了，行行东西都带了是吧？
[11:36.400] 就拿。
[11:37.500] 对你先过去了。
[11:39.720] 回家。
[11:40.950] 专业。
[12:01.450] 春晓，春强。
[12:05.510] 加上S展厅全的钥匙你拿的吗？
[12:12.480] 好，多谢。
[12:26.910] 跟谁知
[12:52.190] 双方
[12:53.120] 咱门口有一台，我带您瞧一眼好吧？
[12:56.190] 手机钱包咱别落下，帮我把动感的
[12:59.950] 有一豪华就跟你配置开汉版了，从外观上然后龙骨包围会不一样，
[13:10.130] 反而预算就差不多100 100多的价位之内的。
[13:15.210] 这个讲5个是吗？
[13:18.180] 你这7对关键这7座后面两段根本就没用。
[13:22.250] 对，要不是不用或者说出去玩，就是公司用你后边那两段也根本用不上。
[13:33.030] 可能偶尔对让用户我知道我就跟你说偶尔都没有了，你这位有已经
[13:40.870] 你说有几个什么对有有两个都比不上。
[13:46.510] 给诅咒了都是给。
