[00:01.110] 电话29日李先生收到。
[00:04.560] 第二天通银
[00:06.240] 对电话各单位。
[00:08.360] 现在的太假。
[00:09.880] 查了一下，相对就原来
[00:12.300] 他说他之前篮子，但是在你要求的近，你打电话咨询谁知
[00:18.040] 谁
[00:19.310] 又对谁？
[00:24.110] 李先生是吧？阿里先生您好，销售顾问吸引我的名片，对很高兴为您服务。
[00:29.770] 两位看一下武器是吗？不是咱们看哪款525还是530530哪个配置确定了吗？领先的四驱分享了，那就标配领先型的吧，没问题。
[00:41.290] 有喜欢套件吗？两个套装风格，一个豪华套，一个M套之前了解过吗？
[00:45.970] 都行是吧？谁知M套件的
[00:52.710] 爬到那款情况下，轮毂是我们自己改的，
[00:56.170] 前杠包围的造型，
[00:59.280] 他三段式的M杠，咱们瓶子杠就是金属注射条，然后侧面那底大边的包围，轮毂的形状，方向盘的形状是个顶层的颜色，
[01:09.110] 这个车的话现在官方价格是466,900，然后看您分期买全款买这家又会是不一样的。
[01:15.100] 全国
[01:15.900] 全款是吧？您是北京牌照吗？
[01:18.180] 有置换车辆还是新桥的号？
[01:20.320] 说话吗？置换旧车，然后咱们这是由车管业务的，可以帮您评估，都是免费的好吧？
[01:25.720] 您看一下价格。
[01:27.610] 目前的话530领先豪华我们家这个车的话，
[01:32.520] 如果您要是全款买下优酷版，裸车价格是
[01:35.660] 406,500。
[01:38.400] 对，然后额外算套餐做一个8800就
[01:42.720] 裸车价格406,500全款购买，然后发现23
[01:47.630] 6万多块钱，
[01:49.360] 然后装上套餐的话正常都是13,800。
[01:52.360] 贴膜脚尖镀膜这些虚对。
[01:56.610] 都不知道还要花1万多价格都是有的。
[02:00.720] 他有一个套餐，有什么装套餐，我。
[02:05.060] 对，其实套餐价格优惠每个店。
[02:06.470] 都是有的都没有。
[02:08.320] 没问题。
[02:09.360] 咱们没。
[02:10.470] 对，我可帮您算一下，在这坐一下都是可以的官职吗？
[02:15.910] 就看每个店怎么办，有可能车价报的高一点含在内。
[02:19.050] 都是有可能的，女孩吗？宝马目前就是这样，6万多。
[02:23.270] 最高多少了？对。
[02:29.170] 分之5还有一个三个点，
[02:31.010] 如果超过60万，
[02:32.760] 30，
[02:33.750] 你对医务人员有优势吗？
[02:37.960] 向前看病的都有优惠吗？
[02:41.050] 现在宝马厂家这边针对大客户这边个人都取消了，目前只有。
[02:45.930] 是公司的
[02:47.850] 医护人员好像。
[02:49.010] 也一个。
[02:49.880] 公司卖车，
[02:51.420] 公司的名字都有，
[02:53.660] 是有优惠的，个人都没有了。
[02:55.670] 医护人员好像是没有问一下。
[02:58.320] 我们
[03:01.390] 你医生买车有优惠了吗？
[03:04.460] 医生买车有大客户吗？没有吧。
[03:07.290] 你之前不交一个医生购车的吗？有大客户吗？没有。
[03:11.640] 你像个人都没有，对。
[03:15.200] 之前我记得他说让咱拿什么东西，但是我去年是有今年都取消了，对，去年以前的话比如说500强企业，
[03:22.990] 然后医生、教师、警察、公务员都可以，今年都没有都取消了，一个
[03:27.910] 500家企业一位医生现在都取消，没有只有公司买车有大客户支持，
[03:33.890] 这厂家给它喂的支持，现在就优惠666万多点，对。
[03:44.470] 埋有现车吗？
[03:45.980] 你看到哪个？
[03:46.980] S哪个套装帮您查，基本都有现车。
[04:03.070] 还有
[04:10.450] 数据、
[04:21.430] 你这车多长？
[04:24.040] 5087车身长度轴距31083:1的轴距。
[04:44.190] 他这边上侧门条原来有这个吗？有，鲨鱼腮一直都有的。
[04:49.850] 对。
[04:50.740] 我还真没注意，都有，对，他那不是装饰的，是有功能性的，是通着的。
[04:56.310] 你可以从侧面看它前面。
[04:58.540] 日在前方那有一个空的看到了吗？进气格珊，
[05:03.120] 然后轮胎高速转需要散热，这一个是能够给你散热，另外一个就能够减小风阻扰流降低油耗的。
[05:09.840] 它都是通的，不是装饰的，都是有功能性的。
[05:12.670] 对，这是动力学组件。
[05:14.350] 叫空气动力学组件，它是一个套，对。
[05:21.270] 但是在以前热情那种
[05:23.770] 受不了。
[05:24.910] 要是他要黑的。
[05:26.640] 外观颜色吗？没有，我外头买了一辆一般的话母系就是黑色或白色，他买的不是武器，我爸生
[05:34.050] 不到三二十二十二三岁她买了山西山西是吧？
[05:39.020] 尽管37。
[05:40.510] 三他还没到车，那不说得等俩月订的。
[05:52.630] 你现在有什么赠送吗？
[05:54.910] 没有赠送都没有加预防，可能这套窗门赠送，
[06:00.350] 而且投的什么贴膜、脚垫乱七八种，是这些东西让你下1万多块钱
[06:05.010] 的。
[06:05.710] 你又还6万完了现在。
[06:07.100] 1万多相当于。
[06:08.700] 1万多，
[06:11.010] 对吧？
[06:20.840] 运动场和什么都一样，对，价位一样的豪华套运动套件卫视一样。
[06:27.680] 可以。
[06:31.680] 宝马一样的，对，价格是一样，你喜欢哪要哪个，你可以交流做，我帮你倒水。
[06:36.280] 没有我记得。
[06:42.720] 还有一个55是吧？
[06:45.520] 对，525是属于武器的低功率版本，没错。
[06:49.260] 现在办完大概就42左右。
[06:51.900] 完了多少，这办完得将近47，
[06:55.220] 46万都不到，四十七八四17打住了，对。
[06:59.260] 47打住了。
[07:00.950] 好，这了。
[07:07.010] 但是总之咱俩是去年
[07:09.700] 是什么？
[07:10.830] 去年优惠多，当时这小伙子不咱俩的东西为什么的？
[07:16.050] 去年也有多少，去年看看年大哥，去年突破500强企业，还有医务工作者他都认识，但是现在有多少当地多少
[07:25.830] X1展厅这款应该尽的事，
[07:29.050] 我没看哪个配置，它应该是有1.5.0这两两个版本的20T的四驱尊享是吧？
[07:35.540] 半年也不到32 31万多。
[07:37.230] 是今年都换成电子的，导致对从去年这个时候开始换的卖了一年了，
[07:42.500] 中期改款的X1就前两人都变了，中控台也变了，对。
[07:47.050] 对现在又7月份了，去年基本上9月份开始换
[07:50.890] 了。
[07:58.400] 去年9月份之后，
[08:00.760] 5月份。
[08:02.180] 咱们没来电话，对，9月份之后你这风险是8月份了。
[08:06.680] 对，宝马的车一般就是国产车，9月份是一个节点，生产日期，让进口车7月份
[08:13.520] 他都会比如说20赶到21款的一个交接，
[08:16.060] 要是以后的话对四驱顶配你是1.5T20T
[08:22.340] 2014级顶被班机在你31万都不到32。
[08:25.540] 对，但是你看一下，
[08:28.470] 对价格一般都差不多挺稳定的，有除了那个店
[08:33.160] 电子版的中间屏幕变大是在25的，然后有M的方向盘，然后隔山前两有点改变，谁知
[08:43.470] 奔驰那就看自己喜欢他喜欢包了，要不然我们两个人这一年没坏明白了，宝马就召开了6年6年对，然后当时你们给我估值，我先D后来我们俩又看你所有宝马店都有这个套餐吗？
[08:59.200] 一样，任何店都是一样的，都有
[09:03.100] 优惠力度也不大，我5。
[09:05.420] 武器价格一直。
[09:06.060] 比较稳定。
[09:07.470] 对。
[09:08.760] 优惠完了也就40，办完已经46万都不到47，那就跟奔驰一样，价格差不多。
[09:16.360] 不是，但是这奔驰今年对医务人员有优惠，
[09:21.470] 那个是给我们专门的优惠，
[09:24.110] 房也就是6万。
[09:26.040] 他价格差不多应该现在45下不来应该。
[09:29.310] 一三百下不来的，45。
[09:31.600] 差不多46万还优惠7万。
[09:35.140] 您可以算给你算一下，D300基本上跟530价格差不多，1260便宜一些。
[09:40.560] 一三百对我的价格他7万块钱优惠券，
[09:46.360] 他给您说个大概让他详细给您算起来，可能还有其他的费用。
[09:49.960] 要不我不太了解奔驰什么套路，你可以问一下，但是他俩价格基本都是一样，客户反馈的。
[09:55.730] 就一三百跟530价位基本上都是一样的，不上不下对。
[10:00.040] 对就这样子，唯一那边还好，他给我业务人员有优惠，明白，
[10:05.590] 而且送6次保养，然后我们这边目前的话就是置换情况下，如果你拿迈腾置换，
