[00:00.000] 转型。
[00:04.750] 2020年7月29号张伟客户精致如交涉录音。
[00:39.540] 行，这是您的车是吗？好。
[00:42.370] 我在茶楼给他们照一下，我看着办。
[00:50.120] 您是本人是吗？
[00:52.130] 好了。
[00:53.080] 这车谁都要开花。
[00:56.690] 我们真有了。
[00:57.900] 老司机跟着听听好。
[01:05.720] 是那个吗？
[01:10.230] 不是吗？然后从这一起往那边走着。
[01:13.300] 我这没
[01:16.320] 我车上集合U聊了。
[01:23.850] 没事，我先说爸爸，我进攻附近负责您这说的功能介绍。
[01:28.120] 张美给您订车初中大票保险，我这主要负责工作的讲解时间差不多咱们40分钟。
[01:34.300] 三买的是C260的标准，绿车
[01:38.260] 车架号您再核对一下。
[01:39.740] 755665。
[01:41.280] 跟您签的合同一致，外观电视也查过了是吧？
[01:44.920] 行，之前有开过奔驰车辆吗？
[01:47.290] 开过，家里有一个LK。
[01:50.550] 老子见OK是吧？行。
[01:52.400] 还有。
[01:59.050] 还有有些OK是吧？行。
[02:01.320] 这车多了一个新功能叫me酷联。
[02:04.290] 我待会给您实名认证激活，具体一会手机能拍软件没问题，哪位准该坐副驾两位做。
[02:10.660] 边咱们就讲一下功能好吧？
[02:14.160] 我这一会完事客服一对一面访，就咱们签几个字就可以。
[02:22.400] 表示看一直都开着是吗？
[02:25.040] 我就开了几回，行，主要是启动是标配钥匙，在车内踩刹车一下启动键即可。
[02:32.240] 上车对面阿姨您走后门没关上。
[02:36.350] 对。
[02:37.680] 首先座椅的调节还是在门市，这都没有变化，墙头调不了，对。
[02:43.530] 头枕是手动的，手动去上下前后调整，
[02:47.880] 这些一样所指开锁中控收镜子，
[02:52.070] 洗车机错车手动调整，受镜子是
[02:54.950] 这上面对都一样。
[02:57.350] 按量左边左边镜子根据视角4个箭头对应位置，
[03:01.480] 梁右侧条街右边也是一致的，
[03:03.880] 4门玻璃一键升窗。
[03:05.800] 对，下面按键点亮，后排乘客玻璃动不了，小孩想着点就可以，后边泡泡玻璃层纸，
[03:12.720] 是吧？
[03:13.300] 后备箱还是在这，往后，但是打开往前尝试关闭，因为是电尾不用下车，这都一样，这个是电位它就自己能够关上灯，没错。
[03:24.950] 大灯也是自动大灯，左手营销区域一般只向UTO就不管了，
[03:30.180] 进隧道下地库平常都是自动开启，
[03:32.760] 左侧雾灯雨雪天您摁一下，开的时候橙色小灯有提示您，
[03:38.550] 右边这个小旋钮，黑色的上下旋转代表的仪表盘的亮度调整商量下，
[03:45.030] 手刹变成金属件，以前还是脚踩的，
[03:48.850] OK是吧？上锁是踩一下，解除是提起来对吧？现在就都不用管了，这个是手刹，仪表盘对应的
[03:57.220] 红色圆圈、P标识，手刹一下就刹住了，不用管了电子了。
[04:01.980] 上锁状态下卦。
[04:04.430] 自动就解除了。
[04:06.100] 行动绝对停车摘为P档以后，
[04:09.770] 灭车或是主驾一开门看手刹，自动上了，自动就手刹就不用管了。
[04:16.730] 都变电脑了。
[04:17.910] 傻瓜，对，越来越简洁。
[04:20.400] 对。
[04:21.480] 放盘。
[04:22.400] 左侧只有这一个胆敢功能转向灯左右一样，雨刷也是一致的，零是关闭位置，小三角指向零，
[04:30.670] 自动对区县是感应指向虚线，只刮一次，没关上，等会你这个机器盖什么煤矸石砖没动，
[04:42.200] 全员自己管理。
[04:47.290] 不应该没关系。
[04:59.510] 指向虚线只刮一次，
[05:01.940] 下雨自动刮，不下雨不刮，
[05:04.100] 实现机械等强制慢速度一个
[05:07.480] 快速的一个根据需求选择就行了，玻璃水还是这个案件，
[05:11.560] 黄仁露回来闪亮一下对吧？远光推出去这都一样。
[05:16.000] 方向盘的调整手动卡扣在这儿打开，根据习惯前后高低，调完想着锁死就可以。
[05:23.470] 中控着有点小变化，以前那世上只有4个箭头，中间又OK键，
[05:28.490] 这个案件就变成触控键了。
[05:30.730] 首先
[05:31.550] 这三件控制左侧仪表盘对应这三个控制右侧小房子按一下主界面
[05:37.300] 直接滑动去选了，按一下还是确认OK键。
[05:41.640] 轮胎缺气会提示，
[05:43.350] 快到保养会提示，
[05:45.100] 冷却液对应机油确实都会有提示，左侧是返回，
[05:49.590] 形成你的基础信息里程10.7上下滑动，
[05:53.540] 白色剩余油量续航145公里，
[05:56.590] 平常驾驶习惯记录百公里，油耗平均速度架时间公里数，对总理车辆和驾驶员公里数
[06:04.070] 当前速度
[06:05.820] 导航、收音机、媒体电话这4项和右侧大屏是完全一样的，
[06:10.440] 待会右侧做介绍，多了什么仪表盘的风格选择，
[06:14.270] 现在是黄色的运动状态，可以切换成经典
[06:18.000] 或者是前卫，喜欢哪个界面自行调整就可以。
[06:22.420] 一般搁在行程里，
[06:24.410] 档位没有任何变化，
[06:26.470] 雷达位置变了，以前老将K雷达在这和后风挡玻璃上面对吧？
[06:31.190] 这回看一下
[06:33.470] 挂档手刹解除雷达或在大屏弹屏前面放了一个锥筒，咱们看一下雷达的状态，
[06:40.030] 接近的话，
[06:43.330] 雷达就蹦出来了，
[06:45.530] 颜色黄橙红离得越近，颜色越深，红格亮警报响，
[06:51.210] 这个就是极限距离30公分了是吧？对倒档上推
[06:56.530] 倒影是一样的吧？
[06:58.050] 这回绿色的是后杠了对吧？红线是临界点，
[07:02.780] 宽限内侧的还是轮胎的系统位置，从方向盘刚你怎么拐弯，左右两个细黄线的车宽，
[07:09.110] 后雷达看着，同时这个车不一样的是左右4个门也在雷达了，以前只有前后杠，这回左右两边离近了都会有惶恐提示，你就记住了，这一圈离近了红灯一亮咱就不动车就可以了，对，
[07:22.630] 这是一样，
[07:23.720] 停好车直接
[07:25.420] P档灭车手刹就自动上了，
[07:28.680] 锁车离开就结束了，没有手刹了等于
[07:32.840] 右边大屏幕开关摁一下断电或开启。
[07:37.270] 操作的话，咱们这儿三根尖以及右边中控板以前是个大园扭对吗？
[07:42.720] 金属的上下退左右转是吧？往下按是确定这是一致的，
[07:47.350] 这儿左右滑动点击确定这是一样的。
[07:51.610] 中文导航升级媒体电话对应的英文导航手机媒体电话，
[07:56.500] C级车的导航取消了没有了，它升级成车辆的K车载了我待会教你怎么用。
[08:02.130] 收音机一键进入调频都是存好的，上下滑动看似切换这都一样，
[08:08.170] 音量还是上大下小这也一样，把您的手机蓝牙打开蓝牙电话给您垫上。
[08:14.960] 设置开蓝牙，告诉您拉下名就行了，用蓝牙拨一下。
[08:20.360] OK iPhone。
[08:21.970] 49，
[08:23.900] 系统搜索它会直接找到您匹配的蓝牙，
[08:27.420] 找到以后选中它，
[08:29.260] 就自己搜索队，选中自己蓝牙，它会提示您的手机做一个配对。
[08:36.090] 连佩佩然后允许
[08:38.630] 通话记录电话本一样会同步车内。
[08:41.450] 右上角电池电量移动信号会出现，
[08:44.640] 右侧的放大镜就是手机的通讯录马上会同步车内，
[08:48.660] 右侧的创造性放大镜，
[08:51.240] 这就是您的通讯录，
[08:53.420] 这个忽略就行。
