[00:00.960] 接待二次客户交周客户孙美容女士。
[00:53.630] 应该怎么。
[00:54.360] 客户现在要交你交钱之前我要坚持我该怎么编辑的东西，
[01:00.640] 你交通结论这短了，
[01:03.510] 你是好几天了，你要休息答应截至今天在一次定期更新，还平均一节他。
[01:08.890] 了之后我应该边际，比如说我结过了我应该
[01:12.870] 好了。
[02:40.710] 去看一下。
[04:57.800] 走。
[05:10.540] 下班我怎么打不通。
[05:15.680] 你明天到吗？你直接打的条路。
[05:20.670] 现在我这个需要网吗？
[05:22.500] 你这是昨天已经扣了是吧？
[05:27.090] 我还有一个定金，前几天都没有给我点心，您说管着点
[05:32.570] 需要网吗？电信的结账给你打他，我发现品牌
[05:37.120] 可以找。
[05:38.050] 我跟你还有
[05:41.780] 你现在
[05:46.780] 找你直接找到了，你再问一下应该能吗？为什么一下？
[05:51.450] 你问一下网都来了吗？
[05:53.170] 修好了。
[05:59.000] 心里真的。
[06:17.530] 非金融梅花现在能查上吗？可以。
[06:21.880] 没，我就说可以了吗？行了。
[06:28.400] 我昨天下班打过来的。
[06:29.790] 知道吧？
[06:32.400] 你是不是来捣乱的，去自己范围上申请去。
[06:37.050] 范围上身份证。
[06:38.030] 对，都是存款。
[06:40.120] 现在不是找经理签条了。
[06:44.950] 怎么弄？
[06:46.190] 我也不能你收获的收获，
[06:49.400] 你确定我们也想不是他。
[06:50.980] 铅条吗？
[06:51.630] 又怎么样？
[06:54.480] 这一个月我就没有认定昏了，
[06:57.280] 我就一直都是10 10 10 10刃的，没有。
[07:00.900] 昨日现在都是发挥申请，让他们现场给你审批，打出一个单子就行了，合同现场把你干掉了。
[07:07.740] 谁审批？
[07:10.390] 是杜晓丽。
[07:13.810] 不是不晓得，还有一个是
[07:16.000] 我应该两个人。
[07:19.350] 怎么弄这个有点微调。
[07:21.280] 不会吧？
[07:22.240] 我不备，你问到我前台干嘛了？
[07:26.470] 给我们。
[07:37.880] 这个也给了
[07:38.920] 现在的身份证在后边，
[07:43.480] 有。
[07:46.310] 首先我给你个订单是吧？
[07:49.090] 电子什么你帮我写一下，授权你这应该是0点了，就是当天的单子。
[07:53.930] 没有，我也是像这样第二天点的他。
[07:56.810] 我系统里面在显示它没有点，你要看看你是不是哪里度过了，
[08:01.170] 哪里出了问题。
[08:02.920] 我的昨天马朝也有一个
[08:06.950] 你是不是当时做的时候做了两
[08:11.240] 我可能会有两个订单，对有两个订单我们只会收一个，你有一个空挂着的，你就显示有一个
[08:18.470] 是您没有了，还有
[08:23.560] 我说
[08:25.650] 我想
[08:26.410] 把交了。
[08:40.510] 为。
[08:41.640] 我想问一下用魔笔做的
[08:45.580] 单子就是那种限时限题，我把定金全都录进去了吗？
[08:49.560] 然后是不是你们那便衣状态才行，你先往上面交钱，交完钱我给你收一笔，然后你再变更一下。
[08:55.700] 还行我明白了。
[08:58.070] 好勒拜拜。
[09:01.840] 您把
[09:04.980] 给你哪个？
[09:06.620] 你刚才是有问题的，这个没有，我这个是
[09:10.430] 跟上。
[09:11.340] 我看了一下。
[09:12.310] 一个的订单我确实有一个多的
[09:15.330] 一个待支付定金，你现在只能看到你这里有一笔。
[09:19.700] 为我也已经有过了。
[09:21.320] 得什么时候见？
[09:22.390] 你现在待支付定金状态。
[09:24.460] 为什么？
[09:26.010] 你通过sp见过别的。
[09:28.240] 没有，因为。
