[00:00.100] 好的，你在。
[00:01.750] 今天再次给您报。
[00:05.160] 您好，我这边是百得利奔驰4S店的，看您在网站上有关住了奔驰车是吧？
[00:12.090] 对。
[00:12.840] 先生您好，咱们关注的是一级的车吗？
[00:16.590] 阶段。
[00:17.700] 1260213。
[00:19.420] 300。
[00:20.740] 200是北京牌。
[00:22.080] 北京牌是吧？
[00:24.030] 打算什么时候购买？
[00:26.380] 你都不了。
[00:27.290] 我在忙是吧？1月份左右。
[00:30.240] 也月份左右，这车的话现在就电话目前报价应该优惠7万多。
[00:36.150] 还是固定吗？
[00:37.140] 落地。
[00:38.290] 到手和B能多少？
[00:40.550] 低配的那种。
[00:41.360] 你这边是进口的还是？
[00:43.990] 国产的。
[00:44.990] 不的觉得有进口的吗？
[00:47.680] 进口的是叫槽板的。
[00:49.590] 还有疼痛，但是我不用技术不是我还是必须没有吊牌。
[00:53.850] 目前没有现车。
[00:57.230] 他
[00:58.790] 进口不是有，但是也是干白了，但是他有什么轿跑版的，还有红色的。
[01:05.170] 对吧？对胶胶合板的有，但是您不是没不像。
[01:09.130] 要和时间
[01:10.260] 4角的区别。
[01:12.570] 的。
[01:13.020] 哪个您说国产。
[01:15.700] 对。
[01:16.660] 佛家价格上没什么太大区别。
[01:20.020] 我知道目标的地方还是你们要不来。
[01:23.070] 指导价一样。
[01:25.210] 您是说国产这块吗？不是。
[01:27.840] 已经国内的北京对不对？我对标规格标地标和标准的一个价格。
[01:36.790] 价格是一样的，指导价是一样的。
[01:39.600] 我是看我愿意选两个标而已。
[01:41.470] 对是的。
[01:43.350] 他们来摆布。
[01:49.630] 谁知
[01:53.070] 300
[01:54.350] 300就是600多万的。
[01:58.410] 40 46万多指导价。
[02:01.500] 便宜队友。
[02:04.260] 就办齐的话44多多。
[02:07.340] 优惠券多少？37。
[02:09.270] 39. 
[02:10.420] 39. 
[02:11.670] 23. 
[02:12.240] 对39估计落地了。
[02:15.770] 四十四五。
[02:18.130] 茉莉就是搜索，
[02:20.080] 感知到这边连保险百分1乱什么大道理小段。
