[00:00.000] 给我没用了，咱去结算办手续就行了，然后他那边跟您说一下，他俩就OK了。
[00:11.760] 还有个什么协议，我开过来我再看看。
[00:16.590] 他
[00:19.520] 在哪？
[00:22.560] 对吧？
[00:29.660] 不要进来了，你看一下。
[00:33.210] 你说什么钱手机。
[00:40.160] 不会看得很长
[00:45.270] 的。
[00:49.560] 我现在这等还是
[00:54.370] 多少？
[00:55.980] Nano完了，谁知
[01:02.010] 你看这玩意儿这叫什么协议？
[01:07.850] 他说
[01:10.600] 要先走。
[01:12.670] 你这边放一下，你保持点距离没人你喊我。
[01:23.630] R你扫过中文版了是吗？没有。
[01:27.350] 没找了。
[01:29.080] 可以了。
[01:30.800] 你们在这方面不少。
[01:34.350] 那就得重新录一下，在路上走。
[01:39.080] 谁知
[01:41.960] 不是没找着，
[01:44.450] 没看见昨天录用别人跟我来的开车来的，然后
[01:50.090] 我先输入我的号，
[01:52.760] 后来
[01:54.700] 数据
[01:56.670] 的。
[01:59.830] 不用花
[02:05.600] 的。
[02:07.050] 数据。
[02:11.100] 数据。
[02:15.230] 了
[02:22.050] 到
[02:29.540] 他们那种他
[02:30.870] 我还没出门。
[02:33.030] 怎么还没出门？
[02:34.220] 工作的时候目前没有量，
[02:36.860] 可以又有工作量可以继续用了。
[02:40.550] 然后下来
[02:42.640] 我在乐一下，你天天给自己找出来了，
[02:46.290] 你打这样的等等。
[02:50.510] 稍等看看。
[02:55.100] 节前结账台上。
[02:57.690] 能不能还行，咱家还行。
[03:03.940] 到时候我在这里
[03:06.230] 没问题。
[03:10.290] 感觉
[03:11.100] 客户拿多少真的是截至了这要求。
[03:19.050] 还有一个判断的基础，谢谢你。
[03:30.540] 来
[03:32.010] 来。
[03:33.950] 开过来了。
[03:35.480] 拿。
[03:57.760] 的。
[04:07.450] 贵了。
[04:12.930] 但是贵
[04:14.140] 管辖不会再陪安全的东西，
[04:19.680] 安全的东西对不能的价值
[04:33.210] 7300块钱。
[04:40.310] 那天因为水彩咖啡猛又干
[04:43.250] 了，
[04:45.410] 我说我踩得清，它是大牌的，
[04:48.700] 我什么事？
[04:50.150] 频率32M
[04:52.670] 人家要克牌号，你怎么又整新？
[04:56.560] 你怎么又改了？
[04:58.180] 主要是我这新车没有车牌号，车辆号码、M号估计。
[05:03.670] 是二。
[05:06.440] 你带来。
[05:08.660] 这个能做一份或者。
[05:11.450] 的完了拍照了做省事，现在就走了，没结果了。
[05:16.240] 我想的啥时候开，然后等对F。
[05:20.770] 到
[05:40.510] 别人家的
[05:43.430] 搜索他们。
[05:44.590] 您这边
[05:47.040] 反映首反映的领导有点眼睛有点快。
[06:03.960] 不是你写的是本车全责什么意思？
[06:07.970] 对方哪些风格？
[06:10.170] 您是三者车。
[06:11.980] 但是我看这条描述的意思好像是我的，你看
[06:15.220] 车牌号，
[06:16.620] 这是我的车牌号，对您的车牌号跟车您看您的车牌号为这个车变局发生的
[06:24.090] 剐蹭奔驰这个的
[06:28.450] 本车右前部损失，我是左三者车左后车门你准备开车。
[06:34.770] 不是看他这个车牌号，这不是我的车牌子吗？旅行车发生碰撞了对方是吧？
[06:41.120] 就开始录音的车牌号码。
[06:43.620] 订车这码事了。
[06:44.960] 对。
[06:46.460] 这里面没有显示对方车牌号，我觉得这个地方应该是写对方的车牌号。
[06:51.840] 不是威胁您的车，因为这是赔您车身。
[06:55.030] 就这不是还我吗？
[06:58.470] 你看本车全责，
[07:00.800] 核事故已于报案，并本身本车指的谁这么严格？
[07:08.520] 你看您的车牌号，本车我理解就是3541。
[07:12.880] 35410是吧？
[07:14.890] 5万，这是我被广告，对是您被管的，别人的东西是给您的。
[07:21.570] 赔付您东西的这个人是协议。
[07:25.250] 对我知道我明白，但是我现在这一条你现在不等于这个是有一个延迟吗？但是我现在说的描述清楚是别人挂了我，
[07:36.360] 比如我是3541，就是有一个车剐了3541，但是
[07:40.160] 从看的话，你现在就是35414就把自己吗？
[07:43.600] 这不是就在3541于行驶时挂3541吗？
[07:49.100] 本车右前受损，三者车左后受损，无人伤本身增长这是三四万了，案件的时候这个号可能是。
[08:02.630] 您要不您问问。
[08:08.870] 保养清单发票你先收好，行，待会早间看一眼就。
[08:13.300] OK了。
[08:14.400] 你先开始没事不着急。
[08:16.520] 这是个技术问题，就是和他的在保险，
[08:20.250] 谁知别人称号。
